mappxqmkwz,lfnciokpgv,Pet,cyitfgvsiy,daeyessccv,ksgzicjpws,edlawggukv
lnnqspuwqi,0.1575,dog,-0.025,-0.3875,aweelvpetx,dwopaemnct
0.036,724,cAt,DOG,0.3985,-244,nwsulfpgkj
cluicoycmg,cAT,dog,oktrjkjtki,ofbvjczmsc,dOg,418
58,-351,dOG,hbldjigosj,cat,kmlkswdjfl,Dog
rxwtgbwyfj,175,CAT,Cat,-539,0.25,-0.173
0.494,-0.44,cAt,0.109,bqcnaolgjq,dyemzrtvhz,-698
683,caT,doG,trjgczuzuk,0.1645,964,-738
-0.472,0.083,62,dOg,-708,dog,392
alpzejhbof,cat,Dog,dOG,0.3715,-926,-0.1635
DOg,-0.0965,txyujdqwcr,-0.0435,568,crpeteotop,qtptphtsok
jerbvqanjo,-0.1955,6,Dog,389,cat,hdqzyleuxf
-511,gydzixwgri,cAT,633,0.373,394,dOg
qlxubkjkfp,pijlpvbcfi,doG,-807,859,jtnppyinss,doG
Dog,CaT,CAT,boatbguyjv,osnthmgbdb,-0.485,0.179
-119,ntzrduvfyo,cat,0.045,oxjliowvig,0.484,DOG
dyutklocpi,dOg,cAt,0.369,916,conmeuktwe,0.128
0.0775,759,CaT,-0.095,0.048,0.0065,0.314
-277,0.4165,Cat,fddmjiudkf,86,-0.2415,-0.497
bonucqlskz,-0.349,427,ladydpdosk,-0.3475,0.0995,-336
oncwdivsta,ypbibailxg,0.3625,898,-405,-0.2185,185
608,-0.3765,dOG,nrcanuvlir,stuufonxso,hbxncqarph,-727
cAt,dOG,dOg,cAt,798,bkpnquavax,318
qsrqtocfsl,-0.021,DOG,cat,-0.284,-617,0.232
-0.44,573,-0.3245,cAT,-62,dog,235
-48,xxicmcelqz,vwuaxyqyfa,DOG,-0.472,kxhgahybuq,ucgoeadkbh
-0.057,-0.225,zbundfxqge,ebpebpqbco,hknyfjxjjn,vvvooaesgn,-0.148
0.42,490,-0.3405,41,wffnpnahwr,dqesirkhbp,cAT
CaT,-430,DoG,585,0.138,-0.0745,0.3875
-0.337,0.384,DOg,cjnygvsiqa,0.319,-0.3835,194
DoG,0.2025,CAT,-637,qxztjdnzlr,CAt,krcxhhketo
-0.3075,-0.499,-0.3725,252,-497,dOG,Dog
ufqykkdodd,-171,894,222,vzeokhvspp,bpyeehebkq,cAt
hfvpwatgzv,editefbnhm,CaT,viyxxzqoab,-0.4415,ppjuclfhha,dOg
xoehoykwwk,-0.3735,Dog,-0.119,xrqahxlhxt,DOG,0.006
-0.177,0.294,0.348,-580,-0.058,oecfntjfga,bjrjhkosyv
-153,CAt,910,vgojohiqym,pszxetjfvs,-0.263,-0.488
0.132,-0.456,cAt,-397,775,iekcbcxavk,caT
0.414,cAt,DOG,0.397,urkjmqlzet,-81,0.345
vsamilxtte,zekjniyvtz,CAT,ritagughnj,wlyeafphdb,veuuwiyuzz,DoG
