pezksfxleh,etoyrxprkz,Pet,yhbscaazvi,purgwdxmqi,ndpjcmaont,rfniltpixz
DOG,grnoahaosp,CaT,-243,gfktoyhoxr,mdbsgmvaum,fyiuyrrbpr
btrlvswthq,0.005,CAt,747,-0.2545,-505,-722
45,bkpbwnuvju,cat,byokhnduuy,kzqkmnuogl,0.1615,-342
ndfhjbutek,cAt,caT,kxrdgfyjya,cAT,715,0.167
kabcvovyxq,cAT,DOg,635,0.3885,dOG,0.1085
803,cat,-0.077,-0.411,-0.0045,0.205,0.445
466,0.0185,doG,725,uklqqheenk,917,kbumnamtmy
doG,-79,CAt,ukqokqqneu,ujlgeyirqp,-0.1765,-0.4985
-433,wqqsqhzhzo,0.276,doG,-0.0525,0.115,363
caT,99,0.346,uwhhrzyfor,-0.1505,-0.3595,-204
-0.4335,222,Cat,-865,0.2685,frpbifpefe,913
cat,kzlsifescu,avzcfgsorl,609,bprmbzrqog,-0.258,prcsytwhfb
0.3905,dtlthrzmol,cat,-0.4915,0.0605,-340,131
fnyajjimhi,0.2475,Dog,cAt,-0.48,dkgkckxxyc,-0.158
gyyzlznmzu,-0.432,DOG,nczoyumvml,pjmouaorou,renobcndty,0.39
DOg,dOg,CAt,0.0045,0.2085,oamimxoxmo,0.096
-0.435,635,cAt,0.074,-730,309,doG
kforrwipch,235,Dog,-645,0.441,-0.351,393
49,rorthrdxmg,dOG,-0.037,csdfjcqzgj,ywhnduzvjp,0.187
368,cat,Cat,CAT,dOG,-571,0.3065
0.0825,gppmrjdear,706,-125,0.3155,0.1595,-0.4695
30,axkrdtvqat,CAt,76,-356,608,pbicugnopd
dog,-0.296,Dog,851,-460,cAt,390
DOG,884,CaT,mnbqjtwnyj,0.0075,-461,dlzwezblif
bneqgxawxs,DOg,DoG,-0.1245,-123,pcsiueblxb,0.2475
mzerymcsof,-361,dOG,323,hoenteejsd,pnsfekurwd,cpgaiggdrl
idszebxnkn,-296,CAT,0.4355,osmfyqwdjb,DOg,caT
-207,-0.471,ptbximzqmo,fvkmmvbgsp,434,162,ixhubrodau
mxomtomfwn,0.2495,doG,0.388,0.352,CAT,efwtbhvjma
0.2775,rpddzakdho,0.284,-0.0115,-770,568,fktrezgbro
qlcdvwmliw,535,-959,0.4375,lbcjlspica,-0.193,inevbaquyj
ykuululyvw,-112,dOg,-0.1915,-466,xotzuzgkli,Dog
zedaxbpray,-0.398,uzmxhcvzle,kncogxggpk,0.333,985,-0.2455
-0.334,-0.083,CAt,Cat,278,fknclmixpy,-0.0425
-755,-122,dOg,wufrseyawa,tsbfpatvsv,kmsxfykjhd,0.3365
cAt,-502,DoG,565,0.2645,cAT,cnjcpxrxqp
DOG,-0.0965,caT,-0.0745,ycemfyfsvb,avvkctawqz,0.291
638,dOG,DOG,-0.409,DOG,333,-0.1055
-0.482,-0.174,dOG,ijjnnuhhnd,99,-846,DOg
-0.313,CaT,CaT,536,0.2715,-685,-595
758,Dog,-0.324,-0.46,mdqcispedj,cat,CaT
0.1345,0.1255,Cat,0.1895,DOG,sqacsfzebz,-0.065
24,-0.02,DOg,635,exeidqmisd,-214,0.2575
0.2895,-0.16,Dog,486,-143,tbgdcqqgun,0.1525
995,dog,brjbbpdfrk,0.299,dog,265,299
hmiypadzsu,133,dog,dOg,bwpnjnbhhi,-0.049,-0.2635
bzmrnjsoyu,0.2235,-0.158,-299,-93,-187,-314
aakrqhxtpg,-297,dOg,rbtohrjcsm,-688,yphwewohyw,DOG
CaT,CaT,zmaxavlqsr,bhacxfafnb,476,0.3845,328
doG,anhadrxccp,CAT,-294,764,fpnnmiwqxi,0.489
0.1845,CaT,CaT,-108,caT,-650,0.1225
171,wbqyqwtlul,DOG,-239,dog,CAt,0.3255
-0.373,0.0475,Cat,775,-0.342,608,219
