ctskfiumlj,genfxysgxl,PEt
0.1655,0.085,-525
eemiogqdcl,-0.052,0.4195
0.3755,blihqmmaes,dog
760,101,doG
cskvlsnorh,wlifyanixz,359
132,-0.477,dog
vensmkutfg,dog,CAt
CaT,doG,caT
-786,dvxatvsqbl,kutqnlqywy
-0.0305,dOG,dOg
CAt,-0.0835,cAt
estysgmgzu,-808,dOg
-175,pzbcjwncyn,cat
doG,-40,DOG
CAt,dOg,DOg
-10,0.469,-0.054
0.109,pojypokdsi,dOg
cwjvkzbxiu,-0.213,doG
17,-0.162,DOg
0.3725,-0.0965,dog
-481,CaT,-0.005
0.144,rbaydaketu,Dog
zhvlyjzujq,-608,Dog
818,670,CaT
669,921,cAT
0.218,isjaydygwj,dOG
jxqikzifms,628,CAt
caT,-0.4305,dog
CAt,Dog,CAT
lhsgpixzcf,dog,cAt
dog,928,cat
-412,cat,CAT
451,caT,Dog
-550,248,ewkcokowst
xieclwwutd,0.3635,CAt
-0.262,DOG,rlmsnohmuu
caT,zabubumtpy,0.2105
eoipovoggl,-0.457,CaT
nejqkrygpv,dOg,cAt
441,pzpmpqdcxj,-0.2845
-0.4005,-0.0905,669
-432,qgpjpcplqx,bncizrhpge
-0.248,vcikvadcya,dog
-0.358,kuxbdlpcod,cat
348,573,DOG
caT,-0.1725,-0.0225
0.4315,-549,dOg
mdwrfngqsl,0.3915,bftoxuwsgj
904,-908,CAt
0.076,cAt,CAt
-0.017,qgupaisooa,cat
0.2325,900,-988
-0.403,-181,dOG
0.08,0.218,dOG
170,0.2655,caT
apyexxpxzh,369,0.244
0.0285,-0.4835,CAt
-523,0.041,cngoazixns
xtfjostpid,nplzrsnvah,DOg
-0.4835,0.011,dOg
-0.444,2,qbpjtrqrai
dOG,617,cAt
-297,qbiuyrpejt,174
-471,-224,cAt
mtlhqburbo,-574,cAT
kpvckfzwtu,-0.121,Cat
omqojuemuh,-259,Dog
Dog,DoG,dog
caT,dog,dOg
0.4315,-0.1195,doG
-0.0225,qnifofbrbm,DOG
