xntmkmzese,fjrderaltu,odljfqoxiq,ezwpbyqbqj,dtqourifda,kqvswytzqr
-955,814,0.311,150,yaqwvxvaro,zbkvcljncl
ylwdsuvobp,186,539,405,-0.039,711
ukckvlxcxr,DOg,caT,-0.3015,0.051,Dog
-0.3105,740,-534,DOG,125,Cat
-322,-409,70,srjblotkfa,-434,0.0355
tmskkcrcig,dOG,CaT,fpckzptpds,Cat,-0.391
foydlylbwi,0.274,xgamyidgej,CAt,nghasmmzzf,0.3055
-0.1205,0.142,cat,cat,0.1095,579
-96,580,CaT,czzvunpkru,0.0255,0.387
388,449,DOG,qgqxxohmol,bbjpddtzjc,834
-292,626,dog,0.1865,xdgugfdvzg,cicogiqzku
796,cAT,qplceqenyy,-0.2295,-0.309,127
eqemcjsybn,-439,wxmrrgrygv,-707,DoG,lulvugkikq
-0.2695,320,xezbgtxhcm,fgiqdymuyo,-0.3575,0.4065
DOg,0.159,521,-515,sxhjykcini,dOG
DoG,-27,dOg,DoG,-486,-488
-0.145,0.1305,rgeaotravo,451,DoG,tydhdgaspy
ftzzewjmem,416,-0.2885,-726,-0.1445,-0.1635
-79,-0.0555,dOG,DOg,619,smrootaqwp
DOg,Cat,57,-890,ffrfpelwhw,-301
dOG,0.1585,kqqovrzyqj,cAt,-637,0.385
ymkqpwakzh,-0.4185,jfieiacgps,0.444,-215,156
kephmozvue,DoG,-55,-349,CAt,nazmzmedzu
0.1925,203,caT,-0.4895,167,628
921,0.391,pdbfmpvjfp,ugchtwdude,0.138,-549
0.1615,-0.3535,0.318,382,tjnrrjssxj,smlsfovvrl
0.2495,Cat,DoG,pgrdyguvxb,-0.448,-305
-0.4945,0.168,885,-499,-0.444,878
-0.3295,jggnplhckw,0.436,CAt,-0.451,-0.424
330,bzfejpvhcj,0.2195,82,-869,-530
957,DOg,0.209,0.4785,cAT,626
-0.307,dOg,gywhjpyqvh,-966,-0.179,CaT
-0.293,0.496,doG,-466,DoG,-615
doG,-0.4505,caT,benyhrbddc,CAT,DOG
961,doG,rkzgntpoce,ariqiuqpsg,wlgjydjbvt,cAt
-749,-659,gtaulottic,-0.4555,zxihdkkzax,0.29
0.359,uvblkdnknz,-0.422,-0.1775,528,doG
umfaabdgiv,-0.385,dOG,-764,0.459,aqtqibhlfd
986,Dog,0.2455,DoG,hyqdhklnxi,0.0945
-0.33,0.375,mwkdrktfcw,xoqjxycdng,0.279,-173
-129,-0.277,-0.1075,azkxtjzwwx,cAT,0.1775
-0.4675,xcdzoyneqh,dOG,cat,cckeumgygr,-115
CAt,-562,-0.3795,-979,-0.4175,DoG
Dog,0.197,0.191,vgbssbarvl,665,dOg
450,-0.1655,nuuuaxxrhs,acesomhvhb,bhdvfmtiyp,phovjkklvp
xxfdezlrnw,CAt,-0.001,-0.114,CAT,-0.4915
wmaodzrtgq,0.092,Dog,-482,-53,mcwvfmpcps
0.29,62,-182,0.348,aolmascuwx,rfckepxwep
253,qeoofpxvvu,861,DOg,30,doG
yvxxcyjubz,-0.419,wvwaowzrns,dOG,-468,-750
-0.0295,993,DOg,0.146,-230,-267
