yhbqhbyryu,tfpwuffaxz,zxwrezotiu,lhbhmetcjp,kbszzwfzxt
-0.163,0.303,cAT,jmpldxuhae,374
0.057,-750,DOg,0.1955,32
ywvcaakrkz,-975,-0.4855,vefweausbt,dog
-0.1945,0.4325,bnqjdqnzix,0.1565,CAT
gyfliutcoz,0.237,qyadupxjhp,cAt,-206
0.4025,882,646,-674,101
-612,xdnbbnittd,DoG,sxehjadyga,0.0935
Dog,oqpnajxeuz,vfdoaqvdyq,apomllxwex,isuljwpboy
0.4905,DOg,580,CAT,0.152
0.036,xyfpylixja,-736,-675,pnynycwdxm
0.4,-698,413,dog,500
0.419,ymjvfwdocg,Cat,CAT,875
0.2555,fnifgqrxjg,-231,609,412
-0.34,pkljvgnclg,0.297,dOG,dOG
-0.4835,dOg,cAt,flaoivnblv,cAT
zinhldjbav,vfgwvxgzxw,-229,ktqmqvtftc,gegawawmnz
Cat,-239,ckkhoblerv,mcczyzaunm,tqcanadzpj
dOg,390,549,-261,-0.48
0.2925,0.068,tkrnbwzffs,0.3395,-0.1265
npjmesnici,-0.281,-227,dlaiwbsptq,-662
0.1625,avixjcpwwx,0.3865,osoqabiubs,wymlnlfmae
-0.043,-138,dOG,Dog,0.492
exotlohluk,cAT,617,ivwuumrxag,szatsbndga
oyhjvgdnah,748,dzznpfjlwp,-55,-0.119
0.029,0.131,-0.062,552,-220
waoqejphak,CaT,arncdzfakj,-0.2325,-796
392,-203,-0.3015,crmlwnglos,otcayhxlde
llsyzlxmmj,sttdujpika,cAt,-0.461,hjejjohdft
tlkinwogqz,dbvmljjnbp,-0.4655,0.483,urtufvbwdn
CAt,rlbuwhedgo,0.4365,-0.2715,507
DOG,0.0425,cat,-0.382,Cat
Dog,0.0595,0.0825,dxedstknuw,576
DOg,kjhjwryfgi,-627,fbrmtglusl,-361
DOg,snvwxnmlaz,dOG,-242,-0.0995
-0.1295,0.061,-0.3845,-0.2865,-0.149
220,137,0.102,DOG,0.364
DOG,-687,-0.1325,evebedwhfa,yxgcmdtbtu
-897,dtvemjmjhx,0.139,-166,waiixyqqxu
tzllukyqie,0.139,0.299,-545,756
159,qprcjskzxv,cat,-0.0285,0.0275
mosovkabyr,-0.3485,-0.117,-571,pxevhzsbre
0.288,0.4575,-0.0175,-848,801
CaT,Dog,-890,-0.1975,-0.415
-0.4185,txtaspjywu,0.3495,caT,smokzkhiaa
wgpgtqboqx,-0.404,-0.2045,DOG,-11
-841,-541,kkjgjtglue,pjyricredi,0.2925
