saiudnxlzv,ftbimuyrcb,flwfmdrrtu
479,-540,-0.3765
-0.065,-0.4555,0.22
-0.0135,176,-0.1395
tkjtesgeql,lacsikdqqw,CaT
DOG,-0.4285,-0.2555
-978,0.0805,rrntwvuibs
vfqcfxrdgs,DoG,-748
-0.3405,-0.4875,xbmstzxmwu
0.0555,whacvgdvgh,-26
259,0.3795,kipqkafgfh
ebrutodfas,20,caT
-904,ocpiefbkbr,mxkqffkuev
vxmlqpxmye,CaT,-259
zhprymfpsn,118,779
61,0.0615,DoG
0.286,bbnpcurpwa,-0.426
-319,xkhggssrny,yiehvulvlv
0.186,DOg,qzclzmrymz
-920,50,zqteilquua
0.1325,519,jznguudtdw
zpubxfjdnx,qtxkoqrjeh,vsijhoyrhb
-0.375,DOg,0.4485
0.467,CAt,wsdbxjtwyk
645,buwehpztli,0.1425
xzdqdflwzt,-965,0.115
610,-904,-0.148
384,laffjtslyw,0.2815
jjkknknjgw,71,dog
0.3885,xelouhqseo,487
0.3105,-0.1085,-897
119,DoG,vaxcdtfudp
-356,873,xdwecmaanr
rlrvwqzxzh,heqyhkwrmw,fnmrlhbqws
0.3495,-956,dog
-0.4605,qswzkmlccl,csqecvyfck
0.122,DOG,doG
614,Cat,-887
0.12,wyhgyjfgem,DOg
epqjuhpwaq,0.205,983
133,okyluhszsq,-270
caT,pkzciyrhkn,-561
syfskfardg,-994,aqbceqfjdw
rfrneyfsre,103,0.417
14,0.45,ngyrvzbiie
