fxmlyjebxp,ckwdtehsun,pET,apjwrkqycr,sefdgkybwa,qbtndcrmtu
pbdfirfflg,962,cat,-541,ryuxbnqnrh,irgvzpmmfb
-0.183,fpeocaicge,-514,0.316,0.2635,828
bejxgbmspe,-0.465,DoG,xarosrebzj,0.106,0.243
DoG,tncyqbhown,Dog,0.3455,CAt,-0.0645
onmqapyczl,0.4715,cAT,-101,xthrjiepnp,wulpqfndqh
-0.305,0.2065,cat,ywmzpslmmz,21,-929
803,122,0.302,-499,829,-339
kjrusxbydi,58,dOG,474,imwhsozjlo,-0.3585
0.4545,DoG,doG,-14,bqqebvdueq,265
qhscsmwhdq,DOg,dOG,Dog,-0.2505,-775
-309,-0.321,Cat,doG,rzsofzehit,-0.4785
-0.2975,-0.298,doG,-0.261,caT,-0.156
mbhrzielri,0.495,DoG,-0.459,icguppbzjd,Cat
-0.1765,iinkmzszwy,cat,lsukxrobvl,0.386,dhendrgaqx
0.295,cAT,Cat,-0.3575,-0.2115,699
-0.2535,ydeepbiupz,Cat,122,CaT,dog
-541,dog,cAT,-898,714,0.4765
Cat,eccaqkhslc,pxrtuesemt,qlngegzaox,lzwxujvyih,0.44
694,caT,wfqoveajsn,skxswunros,odslawqoyi,tqjehjqtal
0.328,-813,-0.203,-417,ifioyjhfwo,-0.478
-0.174,Dog,Dog,cAT,0.221,807
hguybtovbk,-0.249,853,CAT,-0.1465,0.421
-360,-0.0595,caT,573,609,0.1475
0.2085,xxdeikgbxw,dog,dxvsavxsvg,dog,CaT
610,khfukdipmd,0.0305,0.3905,0.4115,0.153
CAt,-611,251,0.491,-0.03,-71
DOG,0.2305,DOg,-0.3215,507,-281
661,601,0.443,gwpnqgqwig,-650,-317
pnvpfaostw,mvctpuhxfr,CaT,0.361,-524,0.345
-357,0.3225,CaT,0.0985,-460,cvomcghqti
DOG,Cat,Dog,-512,DoG,0.2895
CaT,-903,122,788,tktzxngmzv,0.2965
0.045,0.066,dog,81,CaT,827
jecxtjcnto,exnnrcqhko,-0.2985,zosadyxauy,stmyfrxqab,-0.235
-236,0.12,empseioexf,50,0.0945,-10
dog,gakeiamica,poywdsngaf,0.4475,0.052,-0.1295
-800,DOg,-0.0935,-258,tpwedbmjws,0.1655
-0.4825,-252,Cat,70,387,DOg
-0.355,DoG,ylxlhcvyvs,bdggqpicyo,exayzrmues,htwwicihmd
matpsqnpry,CaT,dog,Cat,0.014,29
tzasfxmlzw,0.473,DOG,hxdviumbrl,CaT,ikgzirbyng
0.3845,DOG,cat,0.3765,ceidmuzwll,xofbupszlo
cAT,0.08,CAT,0.319,11,-96
dOG,-101,CAT,143,-0.458,dpnewlzwma
0.4315,0.1105,DoG,-242,0.492,-941
lmlqaqrcok,-448,dOG,-0.47,-28,kmadmuunwx
-0.204,352,DOG,0.06,-122,0.461
dOG,-0.162,cAT,-356,qqviprrhpy,-808
-0.1495,968,CaT,-0.1255,xjjagfrtkf,dOg
419,flhfnoflum,-0.271,0.2745,0.098,Dog
-0.4865,-785,Dog,0.1405,dOg,dnpmzytfoc
82,tqodfvpruh,cat,0.471,taoasmobro,0.304
CAt,802,cAt,0.065,0.406,-551
-487,zdbsrglwwp,-143,dOg,0.063,0.3245
DOG,0.493,DoG,aqmfbylyea,203,6
-660,-0.0915,430,doG,qdjeywrnyr,CAT
doG,CAt,-0.4315,DOg,-80,572
lvfefufpcv,wldiiopxmr,cat,-463,-536,cAt
798,mfwfqiqzdn,CaT,vygmohxvdp,0.14,cAT
zzpfdenbuj,dOg,CAT,jsayeuphcx,-0.417,gjoxywrkby
0.407,0.2585,dOG,-935,-754,pyoorctqta
97,bncagidpud,DoG,cAt,cegkldilpq,-591
xquprvzbfn,DOg,cAt,hcyqxmbacu,Dog,323
dOG,-0.292,CaT,-0.439,-280,-323
fkuusffhzo,altlaonylf,DOG,itunzarrjp,347,649
-0.0185,-0.491,Dog,fcduyqlmqh,-539,rzugffgqax
dog,408,vmihhdizqm,777,heekrehmga,815
cAT,-632,DOG,-512,DOg,xautoimpyf
-130,skkxpfgqjk,caT,822,0.1585,tozatnnmza
185,210,DOg,dbdcaalfnp,-864,973
-0.0255,0.0765,CaT,srnkilfisc,slbvxbfpie,372
0.3515,821,DOg,pyimstjmnv,dljmubiosi,-128
nyrtvvpolw,CAT,0.216,0.193,yxdgqaacww,mcomacgphk
uaequvnwju,doG,Cat,0.143,0.223,0.4665
uhdldqtpfa,CAT,qmeclkcqbf,-0.099,cat,-0.136
opbzoupxgb,0.3905,dog,458,-928,mwopcozgkp
827,591,ouogcobhve,-0.4565,uolxtayxri,0.239
0.0575,danvaukndc,nkxpxbjvte,310,591,-150
42,qegsajkoqa,cat,-852,gbcotjevcp,movlskdcxn
-635,-0.3155,DOg,-507,896,CaT
0.0725,-7,wzonbmfaqo,-948,-0.055,DoG
-686,kldqvjhtxr,CAT,971,CAt,-0.0515
nmrsdqioye,xdkxcmfrtd,-111,guyuuxnxoe,DOG,0.179
kdbjizcfma,909,oerdsvulpo,hndfsxkthk,510,113
CAT,CAt,DOG,urvmxbjwdg,ozrvjrmhkq,-0.334
0.292,0.0595,DOG,0.3745,-0.388,uxyuojexsp
0.449,0.0645,507,kqyngyepeo,830,caT
0.0955,9,-90,-855,gfdjzmbsnb,-0.0145
-391,caT,Cat,DOg,fzsgnvenlr,-756
