bzsvweuggx,PET,onavafgcyd,qcuzbnqzpq,btogyjtfhu,jvdtxrgkrd
DOg,caT,plfqtpaczc,-0.3545,-0.37,-0.475
CAt,-519,tzqvdjerxd,rzhxggjwqi,569,-0.3215
DoG,CAt,0.2055,okvdvxuquv,-238,0.0315
Dog,CAT,-0.111,tkbeksglje,0.4195,DOG
-514,DOg,175,732,0.2175,-0.256
-569,CAt,-0.3875,cAt,cAT,-0.057
58,-0.076,svzmnoauzp,-0.3675,caT,cnwxyzgfuy
0.168,cAT,-0.169,-0.3595,iqiigurosu,pkagoacsmk
iehkrdqyxg,dOg,Dog,-245,-776,319
doG,729,809,527,dog,cAt
-139,ljnkxarixr,rgtllviunz,umrcdhjemu,bficsnydfc,0.2625
-0.3805,-0.4445,-230,-0.352,clbtjvdocs,mobkzghkrv
txdkofyjlx,615,-927,-0.005,zcjjisglmz,rnjmgvzcyf
-0.1045,cat,cAT,Cat,ndirmrezme,cAt
-385,cAt,0.397,poflfnkkau,0.001,-532
0.467,DoG,qesunjgwjr,caT,cAt,CAt
139,203,wdnjhmldws,cAt,DoG,DoG
CAT,dOg,939,-0.021,-302,-0.423
-0.02,CAT,-0.0245,edlcyermhw,hxpgaasxxh,Dog
0.0045,dOg,ilwmwqfvbl,hjfoilgiuf,-0.4015,671
0.2305,caT,-112,0.4295,870,-0.3485
zqrjiptkhi,vjaeivzvir,lzwcnbvaky,0.366,-588,-0.2115
eclqtnahno,402,0.299,0.1885,cat,pmfekifpix
CAt,CAt,7,boegmodmuk,810,dfprtotyeq
0.244,CAT,0.4685,htgtdrptbi,mncsrvjtox,-590
0.1375,doG,-0.448,0.168,0.47,cgikrdfweo
jmkmmneypk,dog,Cat,gvydtjjyat,CAt,-705
dotuceqqho,dOG,pvgjiehwxa,587,vmhciukahr,-672
CAT,754,-294,-0.2235,Dog,doG
rwdnjishls,Cat,-0.3595,guniicomvw,oastqfcrrr,0.246
rweupzigzq,dOg,-0.3875,-269,45,371
dgngjxjjzh,drkdyzkpwx,173,kxiacglxke,CaT,0.122
468,cAt,-536,0.113,-0.39,-0.326
CaT,-0.3805,CaT,tqernqyggr,-217,sltjlmzrqb
dog,DOg,dOg,-0.2255,-0.382,-0.2105
-0.376,CaT,-0.4685,ngokdouulx,-0.0765,ynktctdcps
cAT,dOG,973,DOg,klfmnbennx,axolhuwxoh
htggtxfogd,DOG,xatlhohcxi,jbzoazjqfa,CAT,-749
-11,cAT,CAt,33,0.365,CaT
doG,CaT,0.0785,fsuzweftdt,-0.198,0.2635
vkpmhtgtzg,0.3575,vehtovfnsi,-0.402,kavjflejno,20
ifyxkopdmy,-0.331,lsffulmdkk,gumkxedyng,DOG,-291
ikjdpiuzbo,DOG,-0.1505,pqduhkwlqw,-0.2185,cAT
40,cAt,deklulfptq,javygvygjg,dOg,463
-0.2305,dog,-0.1755,dOg,0.486,tfluwsoiej
0.137,cAt,qopwlzzsjm,0.3435,DOg,575
845,doG,Cat,tfshxlhjjr,zppwplduif,-0.491
caT,dOG,247,0.423,-33,-722
-0.451,DOG,glhzxdsrfn,samrzbqjkx,306,-0.124
0.313,DOG,-0.174,0.036,-178,cat
-27,rfqmyiifsz,-0.3895,0.425,doG,0.4815
-0.082,cAT,dOG,fnyqkcwasl,wijobgdqgs,nhjzzevobs
dog,cAT,uiotsabcwe,ggrxxzsipy,645,zemeenmlhc
589,CAt,uwxqbgawar,nlvplmmiiz,swqscyxxmp,doG
265,DOG,969,-0.0205,DoG,juxvopcntq
lhvnndsnuj,489,-0.2215,caT,ybkelahztz,0.1885
caT,CAt,-0.4605,hpmfzlvzij,caT,cAt
397,cat,-759,aptzelqqmj,dOg,dog
ikrvxiawkf,-994,-0.1885,cAT,0.3385,-0.13
961,cAt,-0.192,-327,-794,iibiwwuhni
846,cAT,0.197,CAt,aimqhlwidv,-222
0.264,-933,0.1555,vgmbuqtjwa,-154,0.139
-945,Dog,dOG,722,-894,pucmouywcl
-0.05,dog,-789,-0.4125,kqlaiyqfve,DOG
909,-0.39,zpearafxhd,757,-382,dOG
-0.2605,DOG,otlenwkqkq,Dog,-0.4645,-143
adipvmzxsd,cat,396,14,582,0.125
cat,cat,474,-208,0.0245,caT
fojzfpvigl,dog,caT,570,-0.3555,fxjnnagdjv
-683,glcwqgdshp,rnfovgqvmo,jnsmzljsrs,caT,qxngaojsnn
-378,caT,-241,qvhhpzjevd,-0.0825,ohfmashzxm
211,804,dvunvwtiaf,irdxxggeej,-0.485,egftsrbffu
gohtsibzkj,cAt,494,phhyippiha,259,dOg
-107,gnjpohvbls,-0.1915,-625,-392,394
jxzspkdenr,DOG,lozibpdwmx,992,982,-0.0315
ufdouqsnqe,CaT,dOG,-154,xjyjlgpufy,vuriwwqgks
-0.0315,Dog,870,bbbanvjtmy,473,410
ruuquumcpa,Dog,zxwuqqsgrs,327,cAt,0.2715
pbtkpffzdz,CAT,qjiwvvyvne,caT,xkbfmwtyeb,zuxsehftal
0.2505,DOg,dog,-0.418,zzqzubgkaf,-0.381
879,-630,xrhwwvvnhr,algspoezae,dOg,0.1215
-0.258,CAt,jaoiuqhzyr,0.4595,dOG,-0.333
432,dOG,-92,vximrrflyc,bxaclntnfn,-0.081
-0.2135,0.165,-0.1005,DOG,454,roaabkdmlr
DOG,CaT,-771,0.3915,-0.013,-688
atmjvyccwg,CAT,-0.3615,-312,-0.463,bcxfelvtxj
-0.2745,cAT,-683,100,CAT,owdqywkbpk
671,Dog,-0.492,0.2295,-0.373,-330
CAt,cat,0.1415,-366,612,-0.2615
0.446,DOG,kicoxhmavc,-81,-83,0.0005
-0.2315,imbsbaocch,280,CAT,-326,CAt
-817,dog,42,48,-0.484,0.3
-22,peppditvzy,dog,CAT,0.309,dhqjyxhgsq
-0.171,dog,-0.209,-549,-774,wohwvrhyln
853,Cat,0.212,cAT,-0.323,Cat
