xybpecskob,fdzjdxglxz,kurzabjrdl,Pet,qekemndier,dcglneejjh,pvgbrljrmz
zxalvrnsdm,-732,CAT,CaT,auihnqiepb,DOg,cAt
CaT,ojuzfcvjvt,CaT,DOG,cat,348,iwywpwpbpg
0.002,tefcoegvlu,-819,DOg,scqohklcbt,Cat,jsyrfuwkue
cgohplpxgw,166,-615,dOG,lrmaegumut,778,825
0.363,0.072,0.0215,CAT,0.368,CAT,-447
0.2165,CaT,0.23,Cat,yqnriklubs,CaT,-0.0255
kwkbvmjdni,277,oojbsiqsec,0.4935,uzkqbdifed,rytcvyqjby,-0.196
cat,vlurauaijh,CAT,CaT,pahdqwbhdl,-0.1725,cAT
-0.1885,jikvidpegd,nhuyhjsgty,dOG,-0.223,spmfjrzvwh,-793
afoexzfctr,0.225,-556,0.397,466,-0.476,0.14
0.4665,0.1275,udirmxmcdc,0.19,Dog,-514,0.356
539,108,izpmfnwtnw,doG,0.368,296,caT
caT,Dog,-52,doG,-0.444,nxmamowlsc,-0.3715
CaT,110,vaviflaipj,DOg,-794,-440,-132
242,hbjlpqjzmd,245,-579,hbdgwuwsck,cat,185
pfmxxuexsk,DOG,27,doG,CaT,cfyszeomsj,Cat
xhwqulkxtr,-968,0.1565,Dog,-0.1765,CaT,DoG
dOg,cat,CAt,doG,0.1605,mszfskmqep,-633
0.187,-807,0.2585,cAT,0.2705,0.4095,0.3205
-0.096,CaT,882,-488,0.3845,118,-200
-0.448,caT,rgtavitihv,-0.4015,etmjvndcms,cat,0.1715
bacprmfkqx,0.0335,115,cAT,0.1855,akmzodjktp,-977
ijtgideeez,cAT,caT,DOG,qfgfemyzas,hvbhimldes,mvujdoytlb
dkdnfsmhfc,0.2105,0.1315,peiovoeghl,-0.095,-750,rvqxrqbpmx
qfchhdelro,0.352,0.1255,Cat,cat,116,ubavysszld
-0.0235,477,dOG,hqtkcwwpyu,0.1985,dOG,egpinhvqdq
xvckgjanib,0.1585,djmvzcmikv,xlygwewpqq,-47,ewhxcilqrf,cAt
-0.326,okrrdfgzxh,-0.169,dcillbufhm,canxjbaibs,-0.2465,0.1275
0.321,Dog,679,Dog,hjjivlcypc,-0.11,rnsunwgncx
-38,0.2965,-0.1425,523,0.234,czhaxwhwlw,DOg
-0.3515,DOG,532,741,njqymgfnyc,-0.408,0.4425
jbmozctqpt,0.2105,0.335,DOG,0.106,wdevervtxf,sckfmkrwuf
tzohqifukx,tcfblrjbxp,dog,CAT,910,CAT,cAt
-0.2815,egasyjdeot,CaT,167,298,ymlteezevp,0.4525
-0.2165,989,-0.3655,dOg,-0.39,534,-0.1535
-23,-907,0.0585,DOg,-0.121,svblvjoogc,-0.0245
-165,CaT,-483,dOG,91,-609,-0.0265
ddenlkjwry,-776,-794,cAt,303,zrhumqszrx,-184
yivsgukgvs,-639,-464,rvimmwlhic,0.0285,fyobyiigfa,gesjporlgv
844,0.018,-0.343,dog,607,fnmujtypgq,668
zmtlyedrzn,208,DOG,moccagvmsk,93,kflcchpece,mneskzqlrx
-0.2215,inwpbjmcon,dog,doG,814,dOG,-978
0.465,-288,0.467,dOg,lipzrhrywl,-128,-839
enomsidxgt,CaT,cAt,scjoxgwjbg,-0.4495,DoG,-0.217
-235,fgvnmjvxsy,17,CAt,xdujivhrng,CAt,CAT
ateinurqir,cat,ilzxnwgggj,Cat,-951,-911,sckytbdzzw
-0.1575,ppdrzbzakb,Dog,doG,0.464,yngfrsovvq,wjsfcycbch
szcunuicvp,0.089,0.41,zlfxmwrqls,-0.256,rfvxitpwhy,-0.4285
-0.033,CAt,-199,DOg,32,lkfrokudjd,Cat
0.071,915,-0.0275,-888,-690,-1000,ltfeerdqwv
fpuwksagtz,lomlfwoikn,-989,Dog,-0.2815,-0.1045,yaemhuytrk
424,fjxdvgggpo,ndicznnpgj,dOg,sibhewhagg,dxoyjraldw,0.3115
-167,miyyarlpxh,rybyquvlhh,doG,ykibkivhkb,cAT,CaT
ciotnphzfg,0.195,bggnwrwtnf,Dog,600,caT,714
-781,-137,DOg,dog,0.035,cAT,-0.1685
0.3135,dftxfsjvdf,nliiwvkymk,caT,swiinujqps,-771,btlphmfjlj
hynocgjcwm,0.4245,rvcwfwilfr,87,783,-0.477,gerbhzlxzh
womqrscaob,0.0905,27,cybflbyufx,-0.2435,CaT,753
0.0925,510,427,65,lsbnqosbzz,0.1725,-0.3975
737,-0.4945,866,CaT,rtlmievevd,493,0.0105
plhuzbbpti,0.1555,ntrakvvwox,doG,572,567,cAt
-635,-0.412,-0.0735,doG,nzernmivxl,-0.474,0.367
-503,902,cat,cAt,818,0.1345,-793
0.3425,doG,czsfnnkvbk,dog,-19,-0.037,-0.0435
buezbiwmvp,DOg,DOG,CaT,-829,CAT,-701
qzrolfhstg,qpkzpwybto,0.442,Dog,484,-0.0685,wvmocrknnl
0.3365,fuyouptphg,0.256,Cat,Dog,964,cat
DOg,cAT,0.044,DOg,cAT,-431,-991
52,3,sudedxexzf,0.457,-0.4275,ftwjrmsald,-0.19
zetnvhwyqk,478,853,0.4265,umzskbsizr,-0.0865,-351
986,985,804,Dog,dOg,-0.2935,eoxkdkctzo
71,305,nsyujzbecu,CAt,0.459,-291,Dog
-448,-37,lbzprbgydt,DOG,hybeloodpp,-139,dOG
0.358,-0.414,caT,DOG,qabyeuzplm,DoG,qbbtqmmped
