jzjnvpcwwp,rumcsoeluy,nvlumenjfy,chiypnuaor,gxzzprrgci
damnhdykmv,cAT,0.1885,80,0.3685
ykvklkgted,tmwkfwlphu,880,caT,0.491
-0.3275,-0.0065,0.132,0.1255,kkjybhblms
-906,-0.343,-404,CAt,tganexkodz
552,43,rfmhckdvrd,125,caT
568,-0.409,-37,35,flrykhiytl
-0.2295,-0.1355,cat,99,496
bgwmpwgwhj,0.052,583,-462,dog
-0.1145,pbqycrzbrb,-429,806,432
-380,0.096,-952,310,463
tltrcgpepd,-0.311,-921,-0.4025,bdkgcnlnxv
lwlluaweow,yrwsvrvcxx,griofuzbxf,820,-0.2245
glxrapjpqr,-118,doG,dog,Dog
woubukvizo,DOG,602,ydcqdmpiod,lmnapfixex
0.3615,guolhfucnj,-159,0.3705,dOg
-218,228,kwmrazvnud,ruxhbztmyu,oysxjiibpj
gssulmshpl,-854,494,CaT,rbamvjbjnn
-266,552,-0.4535,-0.0325,jxubcykvbd
22,0.0485,309,rkyyahzmce,0.0885
lbhomowgdh,14,CAT,-0.169,969
Cat,116,DOg,-0.332,usqjjmpume
