ceucgpscwy,urapqyltmj,puojzzsgay,nntboeovnr
cmwrzmonxi,DOg,-0.4545,CAT
-40,66,-0.4245,DoG
-238,yhcnozmrzf,-465,-643
cat,0.272,heqtmoefjs,Dog
-180,CAt,-0.162,ncokmrttdg
izqtpntear,-594,sxrrhluive,779
827,-210,-0.2935,vokcrzqcap
0.053,528,980,0.3035
zokztwrzzi,DoG,dOG,-0.218
-0.0005,-0.169,dOg,rfcsnbnrri
0.4305,0.072,913,CAT
CAt,-0.484,xfteypvopb,-7
xkoleplgwk,dOg,549,aofllryjfa
bmlxcqtszd,Dog,Dog,-0.478
-726,Cat,jbjltloiir,CaT
fbdhsbkpcn,doG,doG,fmfirwoqlo
-0.402,dOG,0.3895,-0.433
lxgwsletgs,CAt,cjrgtcatvx,-373
yysbimlnzy,-956,-145,0.0075
0.2445,-588,wlkthhkngd,-0.386
-618,oabpyrcwmb,dehebnabim,jzybzqxqsg
dOG,kyhigpohae,-986,CAt
-339,mkrtpakhdn,pexldbavhn,0.245
DOG,0.257,-180,0.301
ftsbrhedth,dlwftusbxg,dog,inkdktrxnw
210,lrkcdsziva,cat,dOg
434,macqkuopzt,0.2785,0.035
-0.4645,DOg,CaT,-926
sujpmgosxb,495,-0.0545,-308
-960,-0.347,-927,954
zkbvlasvpa,767,CaT,489
256,0.1175,-556,-238
DoG,0.178,cat,0.5
-95,Cat,-745,0.234
mrzzxbkvhj,cttzthcein,amhcazsisw,tltsopwtom
nepxkrhuhm,0.2885,cat,424
cat,ixutucbmra,vbjupjxkzq,mejwfsfgbv
doG,xaictyvnzu,glytovlefd,lmpkqdiyhj
-0.048,-882,kspfyxizzk,dog
Dog,0.31,0.493,qsneowpkxm
crcvrhcjfk,ivsayqarxn,nnkbuzecao,0.2485
-0.3635,-0.164,0.4145,7
-0.245,-505,fckjemndkm,-0.351
tbpgjvcmvr,772,wpfhyxufwq,-883
xylxzkpvbw,qbuahlzkdj,cAt,0.208
-235,308,dog,knapzlnxju
dOG,111,-0.3485,904
-481,uhjxamzbtc,pjoshjnaem,415
-291,xqarrxwyyu,cAT,scybjexduq
0.097,0.391,rcrhrvhlzr,qriyakhmne
0.1915,dOg,cnpixmeksi,0.4455
cat,396,cAt,0.1585
DOg,0.423,DOG,-0.1925
dxaciqlnux,-0.432,-0.2145,qzagdfkeaq
-855,oytggqzkxd,715,hngucoctyi
0.418,398,0.0615,jhdgqfscyz
-757,615,-0.0645,-167
0.196,0.064,-520,319
-0.32,-0.272,939,DOg
0.259,-610,ovgdnqoolb,-442
-329,dcegtcxtgp,0.43,0.2255
-0.275,gekdtnbfvr,CaT,952
xegyycpsum,DOG,680,995
caT,642,265,dog
wsvxlbvppe,441,844,0.2985
-129,-0.299,689,-125
-365,doG,vxvyfdecvu,596
-0.142,yoekgbbefa,qnvvbnqbwu,ooiydbymwf
216,ahujpeuljl,-0.1285,CAT
uwjzbcuwnp,-764,-0.3895,cAT
768,cAT,762,jcjfrkcvnk
koksjpprys,hxgvizqduw,0.1875,-0.2745
0.16,445,fejaslxwrn,cat
1,-415,879,-566
-99,pmysvdmqfd,-805,320
-0.4455,cyqxrbgcvv,cAT,-0.2455
584,323,0.3095,192
