blshucbmay,hegazjsjdu,bmaqxkkciv,cakwjoitfa,rsukinwiif
pudxckuuny,-938,0.3365,-0.47,-648
cAT,cAT,dOG,byeuvyjbbd,-0.1405
-403,-0.1005,508,CaT,422
caT,768,ymrkrlvcmv,-0.222,pgsnbhpshc
wxloduktch,cAT,iawdugedqq,617,rjcpwziyff
evmignycyh,dog,-0.144,krfvknedkt,doG
825,0.0375,cAT,-0.17,yqmuhdftik
xeextgycxe,-627,cAt,0.4265,-226
ubqrzqocgj,0.4635,cat,ficuwjnumu,421
namsnslyjf,0.223,doG,DoG,-0.301
caT,ksaagbvpzf,cAT,-0.271,-987
uxvaiwuqwh,ycayqntxjd,-0.4075,-0.073,emklkkowrr
-393,-368,gkqligavea,danbizypkz,bzqpllmgkh
-0.221,phmwabodxi,0.204,xumkmjudez,-488
cAT,pwgcxcrwsc,dajlulfwus,-0.3565,-0.138
CAT,-0.0295,cAt,-0.086,-1
-0.1305,498,240,quyiibwtjj,-139
titrwlvbxl,dOG,-0.293,kzuuuzqgdg,-541
Dog,CAT,dog,gzefudtbqo,qghcsedmsg
cxqnuiqqza,539,-0.101,0.068,-911
rzfobeloyr,0.4595,940,cfiltxgkjd,0.2645
-462,-157,DOG,cAT,0.4385
ggnjslsjjj,0.4545,bqwbkiutqu,0.4915,qqdxhzwlti
971,-0.0715,-0.416,mryshtdmoh,-994
cjjkrgloby,DOg,jpqyvvskad,604,-820
CAt,-303,-255,0.4755,-166
643,aecaniksoz,0.4915,qodehogkol,354
lbikwpbxle,dOG,0.3175,gswdtxafze,320
dOg,-0.4425,-19,wyppnqnmcw,-224
873,cAt,CAt,-0.0275,0.25
strffkhjkr,bbtthvjuto,-0.3585,DoG,sacukkqlaw
-20,pnxqjmdgcr,-503,-0.1325,0.106
0.484,DOg,cAt,lkdhucczwo,kzlipiqotu
-0.036,sxsicddfdm,554,CAT,CAt
300,-0.0975,fcivpwnyfe,989,-994
Dog,CaT,qdolbbeuru,avlxptwunf,0.4555
-215,cat,-971,CAt,dog
190,iklaraxbfk,-0.392,eshpirnxof,195
ezhwwkumcx,-99,DoG,opexjyrvsc,472
axmqlwxrjx,309,uaetuqftmo,0.268,0.2225
0.269,-78,-944,cAt,DoG
lvkhjpqjfl,qehnceldbf,-0.4175,DOG,-567
nlhgjxncvy,dxzovtendb,CaT,973,0.4805
-632,CAT,0.4395,455,-304
-0.1965,-63,xdtpfkuanv,-0.1145,0.0275
512,mbzfcwzhjc,oihiqaujnb,tdpgdkyyeq,cat
0.4135,dOG,80,-0.078,cAt
830,-0.451,mtpmxsdiyl,ikfpghkgro,CAT
kezzjhpopb,cAT,CaT,-0.475,-227
saiwrrbmtg,peqtphmwnn,0.1015,bffnppwkoj,mcqrakstwv
0.425,-559,-390,ilzjorgbap,-0.3115
0.049,qyuzvunynr,cAt,-886,bviesfddkf
0.2295,-260,DOG,dOg,-0.351
-874,904,pcihrrbpug,-524,Cat
tkickhyqbw,0.3465,0.35,ekflgkoaak,dOg
dOg,ugopkcaszy,djvvvgkmjn,-0.067,-0.284
nyfqwznjdx,-189,CAT,-446,bkmwklnokd
cat,dOG,0.2645,-390,596
0.042,rsuamknkrr,0.2015,yybdutrkvp,0.1015
0.444,-0.4205,tkaazfqenu,CAT,xjegppnaku
698,-641,doG,DoG,0.2435
