pktzxpmbll,voigikyrol,iwgrdgwwfo,iopxmuhfuq,Pet
976,-0.42,hzoprnhdaf,698,Dog
0.4285,-188,eakkqpwvon,0.497,cat
-0.0655,DOg,0.083,bcrcjwrhck,dOG
-0.4765,-0.354,0.2385,tnaagtismr,caT
-0.2125,0.452,0.123,799,cat
pnpuzswkqo,-0.064,-646,452,CAT
-0.3715,sqqbxjdkgv,Dog,26,DoG
lobjolxtaa,-982,-200,DOg,dOG
rakavqhqzb,0.4785,-994,wktdiiennu,DoG
646,-827,zebybakibd,ffdobcrukk,Dog
-401,itonqpbnxl,-0.015,0.1905,CaT
doG,caT,qmapmxrsvw,szpihazzzn,cat
opsjugcwfo,vuncfbxjwi,doG,-718,CAt
-534,984,961,-0.027,caT
0.116,0.1545,ehhsyfcejo,-723,cAt
CAT,-323,947,0.2865,dOg
hidqtvpbjg,-687,DOg,caT,dOG
meqembdbbm,-322,gbcbebmbbp,Dog,DOG
0.042,0.1705,CAT,0.46,-181
-0.083,0.167,CAt,sqshullorn,DOG
-0.465,kjxvpaqiar,-153,-599,doG
CAt,caT,0.4135,djrohdmuea,dOg
476,lfahjlxdpr,668,dwihyxratq,dog
0.1435,CaT,bhjbkkeykk,dqevhvxzjg,cAt
dOG,-806,0.396,0.175,CaT
0.065,aqixnpaail,rbtlognhxv,-0.012,DOG
bubriimziy,-997,CAt,-426,Dog
Dog,dOg,dOg,0.0295,DOG
-0.1485,-432,DOG,dog,unrzulgvvx
564,-519,fptuyjswzj,-575,0.0675
CAT,-216,dlgbupwksb,juffsovwfi,-0.0525
0.178,cAt,-0.309,-951,cAT
doG,wxvfhjpstl,-0.1,Dog,CAT
dOG,730,CAt,-0.397,doG
jikpksqxod,0.4145,-326,0.1005,cAT
0.42,uhefyjrbqe,myburkvcar,108,0.3505
fxpwdhmoqu,pigdxpvqtj,ydrloadxqn,-0.3435,doG
-0.373,231,dog,-0.0295,caT
tigyznoolb,0.0075,dOg,0.1385,dOg
-0.4835,-989,0.405,DoG,CaT
0.034,zamvtqufke,svhnxvsgpl,kvfzwxojpp,doG
uzgsteracg,hkyrikvzub,-158,-724,-0.181
dOg,sczmrrrzyp,131,0.082,dOg
gwcrjuhwux,CAT,-503,apmlrfuqqk,-0.485
jpsamnyhcl,wjgxupcnos,DoG,ivizeqnomr,caT
0.3535,-0.3995,260,643,DoG
0.0685,ityrmhpdry,0.4795,-33,doG
lptyqediyc,-0.319,cat,CAt,CAT
-543,tygtuwsfty,xmqgnwhilr,-0.123,cAt
dog,zxkqamtoth,Cat,DoG,DOg
270,dOg,wvjppltxoa,CAT,cAt
777,Dog,qwfrkoeqje,yntramdiaw,caT
aqmbyonhmw,-0.437,0.021,-0.293,cat
0.151,oapygunzho,CaT,bmwpglzkrz,dOg
-0.497,dOG,fatxtyfntr,-0.334,0.392
vdvxlzwuxj,doG,-0.3095,cat,490
cAt,-513,-0.256,-0.1285,588
-553,fyhaikkuca,856,0.116,CAT
cAT,vgtskvjsxb,Cat,0.04,DOG
-0.4965,-589,bmvzhneyyb,371,cat
cftjfdweaf,asunqwlllo,dOG,xrkeqghcgy,dOG
osnrjujcow,ffggccogpj,ovngnsooug,cAt,doG
0.0155,zqklfihbwk,172,cat,-0.199
caT,cvxwzthgvd,812,0.2545,caT
deltfeuedw,-680,jcwllwriqi,-0.098,cat
-0.3405,cuhqmwgfyq,952,-0.245,DOg
cat,-0.188,-0.1755,-0.106,-962
0.4305,832,wcnsxppbfd,-0.0235,0.32
