ccfaoxlxsa,hxoaqyyqhv,duodabphqq,pvpijrorft
kkwynvzyhh,lrdlydavan,-0.3395,asyvyrbcrx
doG,bqsaxqosxi,613,391
-620,dOG,xzoxaapgfo,-385
810,659,egybfznmix,CAT
ihmcgedejb,bdyaznksed,pilwrhxxmd,-422
nglbboyvgv,stllfdmfxz,-0.3835,-0.209
dOg,-429,148,cAT
-0.0685,jxssmpvazp,xliulgcrsn,vsxjgsjkhj
tasrpwqqga,242,jmbhrphfno,-0.4305
0.1595,-0.108,cgjpmjaiiu,0.447
0.0365,-0.182,0.177,-288
743,-0.167,0.4565,-843
-928,twsmcwrcjy,0.0525,-293
DoG,70,628,CAT
-174,cat,Dog,DOG
-421,kniehrqypt,0.1355,Dog
DOg,0.2385,828,qcxmgdebui
585,hgcezggttg,745,doG
0.456,-330,bmtyssbdgc,831
Dog,dOG,0.124,-0.3745
0.2495,pszawcrzbg,-195,0.3395
guuohmwymt,0.243,862,-887
ykeivwuuhe,kgmjozahdh,0.272,-0.195
zboogkuorh,etdfzwajsn,819,0.2505
24,Cat,xdfrtpwkem,mgsllxkwil
0.2565,zqbiybdumn,0.2635,-0.462
0.468,383,qzinfyxdvg,CAt
awxwrubsit,uudazedkqb,-849,0.1615
183,rsgrstvzrk,Cat,-0.137
lwglibcrkn,-0.025,0.4085,0.2805
bvovpzaxej,CAt,jafgevnapn,-0.4105
hphjjmwqdz,CAT,yzufvmplpe,-303
-0.389,-426,0.3585,-0.2645
dOG,254,-0.419,934
lpcijghdav,ygftyywwuj,ziwkrarxru,-0.4145
vrzcfcbosc,178,dordhooifq,fytuzqyvdi
caT,0.2135,dozasxzxil,gkqpjljlvn
xkgpzitlma,0.114,msohlqkdtm,0.126
eacdtlncrn,cAt,-0.2015,-0.192
-564,0.4795,cejzqzwcgp,899
567,-498,364,-941
966,-0.018,chjhfbmfcw,lsrkwvjkjq
-0.0015,-0.387,956,cfrwlacssg
isuvvxabxn,CAt,-0.281,-969
0.329,fhbcxyszlh,236,-225
stwdwgibje,cat,fwbbxgydyu,-0.247
xjueynjdij,-226,gbxntacpyn,408
asafkgywdn,rkevbldwjo,94,-0.1495
979,tosrlbmfit,gvnmeknuwh,-129
590,-315,okiylhxuso,gqmivmcirn
-0.3805,xzgefasccw,gqlsditsut,dOg
dog,zwoupjhzpj,anbbntodhj,dOg
-387,-283,pepvmhfrdj,0.151
cAT,0.119,0.042,Cat
-0.032,439,-0.0315,uatswjstgy
dog,dwzsebiwru,0.2065,-270
-685,0.261,lulmxzqlzq,ryyvzgdswg
0.01,-850,CAt,0.374
ttrbbtiaqf,Cat,ilhmdfxgsw,390
mfeufejfqn,-863,113,-0.036
