nugsgctend,pet,jrotxizwqp,nmkiwycnqv
-215,CaT,dalhujdksb,487
sikkpxnvog,cAT,0.0565,0.4775
mrvpdxwumu,230,cAt,0.1235
DOg,-0.0945,812,142
0.2485,dOg,ixaeonnpza,ksisdbclmt
CAt,DOG,315,264
fjuknxtosg,0.117,0.342,0.306
0.0495,455,-0.372,249
CAT,caT,147,-567
527,-0.4665,twnhatpqnq,0.4305
-637,cAT,twiymrgeou,betaopniog
64,DoG,mbadfsrakj,CaT
wwtsqlyvup,doG,-0.0165,999
385,Dog,zqueyqemfz,-0.0455
0.4875,cat,dOG,-762
DoG,CAT,fmudnpkqao,0.139
-0.1015,Dog,CAT,175
263,cAt,682,32
cAt,cAT,-0.3765,151
816,dOg,yqxwaqgapz,-212
955,dog,drmbfoniyi,-437
11,phqphwbhtf,0.0125,0.162
0.154,cbrrokhjfn,subnoeqyft,-573
Dog,184,vddggjlmkr,224
0.152,caT,-224,-0.101
DoG,cat,-933,lhxaepmrru
DOg,doG,-0.403,-892
DOG,CaT,cAT,CAT
-36,CaT,dOg,0.3885
100,doG,473,zdiiojrqcp
vrfkzvfasq,odaxrovcbq,CaT,695
epjntbwyus,cAt,eavwitupbk,45
doG,Cat,0.1105,0.308
