otfjgbctyu,fhljxjthba,dmsxwctsky,ptjqunzoua
-0.272,owtfydqchl,vbdvhewhpw,992
cAt,-91,jiixinipid,avdtgvsami
fyfnyffkgq,-0.204,dOg,512
0.3805,0.067,96,-692
-0.489,0.3135,-0.422,qvyfyzxnsu
-319,fcsplzkejg,mjqoecjcdx,Dog
-725,-0.47,-0.3305,-741
0.0615,Dog,-0.1425,0.0545
pxdmcsbvnj,qqwdamsdui,CAt,-0.397
0.181,-0.073,0.153,nwshkhhjjn
CAT,-749,0.349,CaT
-792,-808,mtclolhqjj,-0.244
-485,-0.2675,0.4255,-191
aaohkfytsa,dog,pyqznxnjig,919
dOg,avbyxknfog,-854,-522
463,uxhgqkmbgv,-855,uriohvuurn
74,dOg,cxjvyxwtdx,ahiqodfyqs
0.1135,-0.2355,caT,DOg
583,-884,865,cAT
822,sovngrxtfq,ydtxybylyi,iurxbmttkf
-292,976,-580,iceluxizkt
0.1405,754,-0.0965,cywwmvztab
CAT,DOg,-960,Dog
dog,ddypecqvbd,-471,dOg
rznyoqhbab,vfhylxchhi,DOg,-0.153
-0.0075,152,crrwrqatgu,-954
-315,872,-543,dblhwuvhuy
sqxxkjsruv,-0.2845,-393,bezygbburd
-591,119,-0.174,-0.037
-624,0.307,84,-552
0.0285,0.1165,0.342,etboppnuld
-0.128,caT,doG,-537
cAT,-0.032,-0.1665,750
-0.4715,0.032,0.463,782
caT,-763,-989,dOg
-0.178,qqxwcemfao,DOG,-974
iicrcuotaw,Dog,ikjqumlods,viexokcknw
alkhcqjuox,663,0.166,-0.0435
doG,cat,-0.177,0.2005
cAT,qzrgkkygvh,217,cqkzdxgqny
-520,0.0385,efzqmsolpn,mytbhnfznu
quqaasgggt,-0.465,byhsovtlgr,-0.344
-909,vndphjsigw,0.496,gtksuvbqrv
-0.433,heihygklhz,xvaerbwijj,-0.058
hzuslxicsm,cAt,432,-0.3325
CAT,tjgqtaqcln,0.3675,0.3175
hbggxnymok,313,zfuonmqaub,CAT
-69,-0.3165,-852,CaT
fuvgouzbbr,-34,owrpmihysi,pxxdherfic
kyingpzktj,grtzotulhs,CAt,0.4535
-0.209,-0.3525,-0.1305,mndnoblfyp
-221,llzjctxycf,zfkqfopkja,0.076
92,hlignggpkk,CAt,0.22
cAT,554,-0.3495,0.395
pegapndbae,-850,-506,-584
838,0.04,sbpescmyhu,-0.197
0.363,hvwzzigawf,qjqdwuikhv,DOg
472,-0.096,vgrjlieady,dpzajytmfm
0.4585,cyjclnduok,-419,-0.4675
-807,536,498,cat
djzkfizmsk,-0.3155,gorwiupqlc,0.1415
ufrbpvdkos,458,-916,johxhgmscd
-0.462,-0.137,ecmnfllelf,pqpbbqxnkx
-0.241,-696,-801,mywktblbdc
ofdvfitclm,0.422,-0.2955,286
0.2135,rhtdjchfze,-108,0.2875
0.183,0.3015,-892,290
-0.0175,CaT,0.0155,635
allzemarev,agieeeogoo,888,-0.3885
0.1095,CAT,-0.4085,0.0465
nmfkobpato,916,wkjzuuaehb,uhwlxejupw
tsbascjfxd,-0.2075,-0.164,916
-781,fctetfukxw,ftxmnvpjap,-788
ywjzerpfjn,edrtyxojdr,900,-215
CaT,Dog,-235,juaiklenbv
vktatcxvdc,-0.1735,-654,xnwauqlwfo
hpamxglpiq,0.1205,DOg,-342
dycnuagqpl,cAT,-0.447,uuiucnbriq
dlhighwcrp,-717,iexxesfaek,0.308
0.381,0.311,0.064,msyglfhkfx
qtgiongrru,0.252,bpowzrnkyw,rxhgbbxtww
640,Dog,nphrprhetg,0.481
0.0035,ywkidvbysx,0.3255,0.4525
-0.4045,827,312,ureskeinrz
CAt,Cat,-0.25,jgjefzdlor
843,hmifnaigdj,-521,wtkalpczcz
