klrivueowr,ftktywnwua,yqlucbopxr,orzhapfjii,tvmgngxfwz,sniuysjbyl
-0.229,-947,uvpuvepdzf,mmphjeghxn,-315,qnkyzkpfys
770,hqtbpjwvxm,dOg,rfooqersfz,Dog,hnkpxsyhpm
dOg,tfcwnaqmpj,beokwrbfjv,750,-837,0.001
-0.3255,notwkagurh,gynuapquij,0.3815,-521,759
oejurmhvrl,-630,garjcwpuom,0.347,85,762
103,twbbimkoys,iozdlotegi,jngsylwzse,nhbnqykaan,cAt
-873,pvkvvxxywq,-0.072,0.1175,Dog,DOG
czlkttwknz,veaytecspq,0.0085,824,0.0665,0.0795
-6,irmzumbiaz,-0.456,0.424,-0.348,nnetlacjrx
bzgifzzrdg,0.3645,caT,-953,DOG,DOG
jcwelcsmbx,876,-0.032,kbsuzekbxf,437,-985
amfjeercbm,-0.1335,-0.435,-328,-693,CaT
0.424,-556,lufaclrvor,qorlphrlfe,Cat,0.208
-797,tkbylfnxxw,975,ibqguingij,dffyobboub,ygvadutfxo
cAt,-831,0.462,-0.335,-0.44,-0.317
770,utfrdvynsu,282,judwsbmxlx,cAt,Cat
-254,cAT,rmyawanjgi,-329,-0.4985,-0.0925
-0.4515,692,ounbufloeg,avudzykujl,CAT,muozhovdvu
ztfsgqyzaf,dOg,dvzsdiieur,oewlftrddd,-385,CaT
dOG,jzqeclyipy,329,cAT,-715,ricwbvviem
CAt,xmubcgcmrt,Dog,egvnxumgkn,133,qdhdferljh
893,0.438,qcnddwmenq,jrhgxcylba,0.3495,doG
tybnokbveq,250,0.2595,0.034,dOg,0.22
-0.323,466,-0.009,0.141,DOg,-0.4085
doG,-0.483,471,stnafbjaam,-0.0505,doG
320,ymevxaifsz,CAT,0.291,0.447,0.1525
oadyzqljcb,0.1475,ubfdcuobit,tozlihjnfx,0.321,286
-0.364,-0.211,-0.4335,gwggwmyzzp,0.205,dog
-201,0.035,-0.2175,0.267,0.2605,cat
-93,jinrrvbpqv,188,DoG,nypvdcdcjk,0.2885
111,gedxofckhc,fcstonxhuw,cAT,juyszqzmfh,cAt
-0.485,0.2755,-279,ahoaytbshu,otticetjoo,937
0.028,jrtanfiujj,269,-288,246,212
zgrcpnqeoj,-283,xegjkaxlph,dcwtubdzud,0.3415,morhjgobxd
-59,0.099,0.392,niowjwsoxc,hublzkvhxo,-0.299
0.037,-0.334,-0.2585,-223,ctdnoertqo,950
-0.199,-0.0375,0.116,DOg,-444,Cat
phvxyxncym,412,0.214,0.252,393,Dog
DoG,CaT,doG,0.1525,-733,Cat
850,-64,0.1895,doG,Cat,dOG
-70,Dog,-506,dzmtlaurpk,rzyksledje,CAT
174,-0.078,0.2775,-0.2105,CAt,CaT
-54,-0.3165,0.3145,-345,0.383,-458
-812,-0.163,zuaaqnglkp,-896,0.191,723
wowgxnsfyi,iwhukajjyk,0.4885,hzdhpzryoj,986,DOG
-572,-548,doG,xmbvohsjug,0.2765,vmgrvoussf
caT,DOG,-0.235,-0.2895,602,getfglgaqm
373,lafdbhdtvh,548,205,CAT,lanuousznl
-0.46,DOG,Dog,CaT,CaT,0.257
-0.3575,0.1945,0.1125,zmdqazvpsa,-0.037,898
0.4535,-1,0.4135,jgzpqzaoxo,vfoogxmwxf,penjcbpsia
ahpnrfmmve,-875,-0.1965,799,dOg,DOg
fihtzxybon,-702,Cat,dnbjwafids,0.3005,bzfrusdkkx
ictqloshmf,-944,351,CAt,0.12,-0.0205
0.2165,-458,-817,doG,321,-294
gbglgznmwf,-480,wdhtaknkxl,-958,blcdspfhvm,-0.4145
-0.418,-0.2375,-0.4575,DoG,-0.3035,cAT
327,0.2405,-0.4845,cAt,-0.0205,-0.105
0.108,zogsitatdp,-178,Cat,hvvzzyqzsj,fuozemqdoi
ebepyryggx,-191,oaixpthphq,-409,Cat,Dog
caT,Cat,DoG,-0.147,xrcmanjokd,-0.0395
-961,0.4155,-0.057,0.278,vcqyyzicyt,gifszswlbw
vcykdjdfok,yfhqfvcikc,cAT,-737,0.2245,470
dOg,-591,-0.05,DoG,-103,cAt
