wunouimjhm,Pet,uyplumiekf,jwywynzyoa
uhcteunggx,nuhsmcryhw,-111,CaT
0.1825,cat,dog,0.0285
svvdkztqcn,hbpiyychdw,222,cAT
0.3955,caT,0.077,-0.215
tdieegzedh,Cat,154,-0.408
ddbvtrtncl,dOg,479,Cat
189,cAt,nqftlnoxha,eyfsgfgnnp
-0.165,DoG,446,Cat
-750,DOg,vokbaqjfpo,cAt
cogmfvbkla,xwiqreuqlp,cAt,njejfraojl
-0.0495,DOg,-86,armshmnuxb
-0.1125,Dog,cAt,-0.188
561,cAT,-0.134,837
-0.0855,Cat,CAT,ptbzmrmbgw
-685,doG,araqgshguh,CaT
CAT,-456,-0.2005,-913
0.015,-119,-0.447,-581
793,cAt,DoG,lakcewvsgs
-0.0875,mrlznklnsg,0.469,579
155,doG,-961,Dog
0.2515,dog,0.2295,350
-0.316,cat,0.1435,-0.4075
xrzlrzyrxv,0.2985,zqamnzswmw,332
fdysoukpvd,ovfsjbznlb,31,CAt
-0.0225,cAt,0.169,hrdjgueubp
bikjfwhptv,CAt,ugkirzpean,778
-890,CaT,hpmkswfxzh,Cat
-0.122,CaT,Cat,iqyeelvuwm
-952,DOg,561,cAt
0.2535,caT,CAT,571
-0.003,-578,683,xcdtmuadeq
-160,Dog,-0.2975,565
sxdnckbize,doG,0.3605,-0.129
cAt,CAT,cfbbjweeyg,-259
-0.2385,hsahhqqgqd,lpwjvwynsy,dog
-933,555,-0.4825,0.26
-0.4365,DOg,gobaequtei,-205
DoG,cAt,-0.3525,439
-0.1295,CAt,dOG,-926
-134,Dog,ubxnnqdiib,-173
caT,DoG,yitehvshwt,0.317
0.098,doG,347,cAt
-0.3955,DoG,cAT,868
Cat,CAt,-843,-0.186
227,cAT,-0.0835,eclmkxwylg
jzyyuncuwu,-64,0.4905,0.1495
-723,dOg,xeewuurkpb,-641
-0.297,cat,CAt,gkebzzzpab
niasexpefe,CAt,nkylxyrbdd,kkkiptyvze
caT,dOG,0.028,Cat
-476,DOG,745,0.166
159,dog,-947,lyaahnlnke
-0.3165,0.22,pwgnkifqal,nkgkdgovwg
916,dOG,-0.425,-211
170,cAT,0.4955,oetzpxuxsn
caT,doG,369,107
160,doG,ngfiposckd,Dog
wbygzjndep,mvmfgnbmpz,-590,Dog
86,DOg,-81,caT
-0.2045,cAt,CAT,-0.4885
0.1955,Cat,hebwmafxcx,ihvaqohipw
bnqfzvmeii,cAt,0.4205,qdhmrwmmns
0.036,dOg,0.032,-0.4875
eprsswlsct,cat,pkyehkjbho,564
-966,dOg,183,557
965,326,818,mekloetlxe
-0.069,cAT,DOG,cat
516,cat,-73,0.0875
hdwpsqozlw,dOG,-394,lhrdoubios
thobdkrfwj,Dog,ryhpmfpbhe,tgnqdnzbbb
CAT,CAT,-0.1725,DOG
0.0345,CaT,-0.2995,60
vajkkxopyw,DOG,enucdaonfp,888
doG,bhashufpti,cat,wwxrtzgxvn
jztuyewxps,dOG,-738,ahwursezyo
0.4845,pxzxtkolld,0.127,-937
-657,cAt,0.4235,dOG
-718,ifdmgojzej,ctkpszamlg,fchveubnkw
xtwofsshjh,CaT,DoG,uzjpqaztvc
CaT,DoG,Dog,iesnbixime
-370,cat,197,dog
fqcgopllpl,DOg,DOG,0.003
0.3665,-0.3225,muraytqvfr,akzptcpzip
0.0345,doG,-0.315,-0.1535
-0.041,0.1875,epaqwwjsew,-696
771,Cat,0.49,0.288
