pEt,nbvqnrvxzh,xkusebtyra
CaT,-721,-0.1495
dOG,wsxefflbkm,-330
lzwykujucm,DOg,606
doG,624,Dog
dOG,481,qkzehoqcao
yciwjozfli,CAT,-134
Cat,-383,dxpqdhgznv
cAT,letkdcnvwf,enfuizggki
dOG,-380,umhzsjzsdf
DOG,-904,76
tmksrcjmqd,770,210
DoG,wjrdwqzqtf,-0.4245
CAT,dog,qrqnynehjq
cAt,0.167,-0.1655
Dog,-0.129,pndmjbjdqj
DoG,251,-0.478
dOg,vzehglptvy,pzpdntakyk
doG,-404,0.033
Cat,0.0855,837
cat,752,kykyczdrmn
-752,0.237,DoG
Cat,0.024,rmnnltymll
DOg,yxbhbwssof,-0.422
DOG,faifidojjo,429
Dog,sitmzyvbry,-0.0595
DOG,-206,-434
CaT,-331,-0.331
Cat,iezxolzxfa,bbfkyricen
cAt,52,-628
cat,DoG,0.1635
-390,cfjdnaouwm,cAt
DOG,-0.046,hcrvfgmylz
-455,-892,766
Cat,DoG,dOG
jyveazrmgk,jtlmjesbhz,vyljpxwpzv
dog,doG,50
-5,cqnqxgtwvi,87
CaT,-0.038,bqypmjputg
-0.405,-0.155,gseojsfbft
CaT,DOG,muqcuvryxd
CAt,0.0785,srcmkrkecw
tjtoopcisd,okcumjiwbd,-93
doG,edxptthmdo,ddjvmrpdst
36,rdpsvtirvu,0.444
dOG,efvdwwqoob,620
cAT,-119,DOg
98,dOg,0.109
arobyiagta,yeskiuzatk,-0.049
CAT,-788,-0.462
doG,dtqxbtqhrb,-0.245
CaT,caT,376
dog,doG,Dog
CAt,qxhbdiyzsn,ybwhcfcjmz
-528,mtzuribule,-56
CaT,CAT,otmwlwxiig
Dog,700,dog
dOG,-0.2385,roaavrazzf
smdhcngbbb,-361,0.267
dOG,txoqtrhzdm,595
Dog,-278,gocoucnobf
CAt,zgcrszjakl,jvxhlwepwc
DOg,0.3235,cat
DOG,CAT,-593
