zumcmcekzl,aiywkkpkyb,svpmharaup
-0.25,-261,0.4395
clowrjbhjk,Dog,Cat
bdemskbwnj,-979,74
DOG,jnzbonwrzx,veockjnpkt
0.374,0.22,736
dOg,-0.0655,vuziemohtn
CAt,ysuzlytrtq,584
-505,vncgztnapo,-0.05
jdviwxjmip,-0.3475,303
0.211,lhnmmxafup,cAT
-629,-0.345,CAT
-0.4355,-682,235
863,ebrapkbnag,CaT
445,khqknddteb,lmvxxlmsml
-720,827,518
-0.3025,ezkcotmzuc,-908
-377,mvpledudna,980
yqgworbkle,-0.1255,DOG
DOG,0.4885,DoG
iidbguebhm,qeleyjwcfm,-0.102
-0.093,oudvmkquhx,36
Cat,dveasfhrsb,-291
-618,dog,usruipwokq
hawstknucx,0.4585,0.1015
0.2325,qtwoxyeocn,-675
-0.386,-149,cat
DOG,0.1955,kzjfefrprq
mfijqekxgl,ileoswrtsc,-0.3515
0.176,-0.493,-360
DoG,0.3545,CAt
gridxcanko,-943,-37
-0.492,-207,-997
-379,CAT,gmaacsqjxw
bcsfxgjwwb,603,0.428
Cat,-669,zzcbcbtcwh
lsimdcpdaq,wrbtahszff,nannrhsbwb
reetibyifp,995,0.4
-636,-353,-0.4935
fhprdjsmik,943,890
-547,577,rdyqvufzmh
uoutirjnfm,859,-0.23
655,vyeetfgagu,167
-0.4845,-413,-588
-889,-20,wodphdohrw
-0.2445,0.1255,cAt
fvhgmigzrp,0.1355,0.2355
-0.09,mnfbfsgmps,0.258
0.1775,bfbnxzflpo,cpnlhrtsve
-0.4265,xcwmndykmo,896
96,oviejwhxps,-0.3915
shbouvdknt,-0.459,-0.237
svhhwpzyfm,304,hxvzzdkszs
