nonbryferj,mnvjrsoagf,yvdsibdyij,peT,blafndotqc,kpxujdmaqs
-211,phdwitfuvm,0.321,-635,CaT,655
249,0.3875,-298,Dog,-0.4745,-575
-416,CaT,-416,vdxkgvigyg,gvlhlnzpap,wexsznyhvp
-795,74,-152,cAT,iqscwciarq,-751
DOG,0.1305,-846,-347,cfokfmcrpq,0.0625
-607,cAt,-0.035,dog,DoG,sbpzmhmjzi
doG,494,597,gsvpsqqupm,dOg,80
acwqeybfjs,laxjjqqtzk,CaT,DOg,lcamuqcrcv,ntwulxclzo
DOG,-758,dlcpnhieel,858,yantyyqwkj,0.323
0.1315,hovpswiwuf,-0.2755,dOg,vxixikdaeb,irqiorhhkc
765,-242,-0.052,cAt,-0.1055,-0.041
lukkbrohyn,-244,0.2605,592,cyexkwzamj,-541
cnzmzrgpdn,uxolnrjpke,0.476,Dog,0.4495,0.344
mizlnxvsvp,-253,0.0645,dOG,cAT,lcpvrguvwx
284,CAt,983,264,-0.3335,-297
iuzomrvxmu,uiwawivkej,szenexxqtw,cAT,xslqaqcpwa,CAT
mwgqckgdeb,zgocfxxicx,0.389,cat,xgrgjjcrqe,CAT
-0.0625,Dog,-146,cat,0.3785,-0.3115
blwwxqlgtu,jwjvieoosc,cAT,cAt,462,erzhtdjomg
znbcswwkic,335,CaT,0.178,reyalmnptr,zsnmhjdlby
yjcussrjgr,-530,wbpelcfiao,CAt,cAT,0.098
0.152,dog,0.411,CAT,-0.433,DOG
-0.319,-0.2045,0.22,cAt,fibqmtbmli,jzsnqirkbb
aqhrfaefcu,CAt,0.196,DOG,0.019,277
cAT,0.3005,0.4465,221,-0.0475,442
0.418,dOg,bypmsufphx,0.285,-0.097,-0.228
dOg,DOg,-0.4035,caT,-193,0.1235
mbhdywxywy,-346,-0.3865,dOg,DOG,wwmljyqsll
-0.409,772,-0.193,CAt,jnyufgpzvd,-444
0.317,CAt,DoG,DoG,174,226
jtdckqlpqi,CAt,dOG,dOG,0.0585,-0.4495
-0.0115,-799,yfepxxxfnz,cAt,rfnehejbhq,wnuxivymhc
-0.454,mlkaxczxyd,0.0085,cAt,735,-0.0665
vhzrxphvmq,-0.0915,kxrtgbuabp,CaT,0.046,DOg
ljpcnceaof,0.2375,0.0065,Dog,0.3335,qnscuvutph
dog,gysddnjdls,dOG,CAt,-699,0.4755
jzyglaccfs,-0.388,-869,doG,0.358,miguomgzdw
Cat,CaT,ujltgdkoaf,Dog,638,-504
-624,0.301,xlnqwqqpbu,dog,-0.0275,250
DOg,rpupeqrpgf,plcqjzcdsh,0.124,thdbqtnphd,-262
sxnxoqjnmp,147,ahosysocsz,CAt,-567,mesbcgctdz
jfwsfhnypd,-560,741,dOg,297,vwpozhpbdj
269,runuduhmra,-175,ybfuacszea,0.4785,Dog
Dog,sahrxgvpft,134,CAT,DoG,yxtqljhfxy
Dog,bljwjrmmcx,0.087,CaT,cjyguubpzn,pswlkjmtwu
-141,667,-0.234,cAT,-0.004,CAt
-0.282,dOg,0.2315,dOg,296,-0.0595
ximiktzdnj,0.3495,-0.445,CaT,0.288,-0.03
vgkvpmvqcr,dog,DOg,Dog,-556,0.351
