yinkqsiflo,hczujuebgx,mvejdskqza
-440,DoG,olczuchysf
wupqmpgnab,-526,-0.4405
0.198,0.354,-863
Dog,0.1485,575
CAt,-0.477,-0.052
0.4845,0.2825,0.245
aqwijncdef,-554,DoG
dOG,cmezebbkcv,-0.082
0.292,sghbobuwew,0.136
Cat,cAt,627
-0.2305,-0.0745,-0.2715
-0.111,-0.256,cAT
-174,rkgvogagmy,0.2325
0.174,xbngvqcnhr,0.382
gufydvrriy,-449,0.054
doG,0.1555,-127
wnvzvwsyax,-0.107,CAt
fbttaqqpgh,0.275,0.4835
waivuhouio,16,cAt
dfcycmeass,-0.1865,cat
Dog,caT,0.2945
0.099,-0.487,dog
Dog,0.3805,ptqanlxtxu
-0.0935,-694,mdeqpucnbo
499,-0.0425,cgysulskkl
caT,islakszlop,sobsyifwtu
-992,aectafqqmv,-0.066
wleyrpwcjz,dOg,797
0.0635,-0.0235,DOG
mgtpkxopvv,-298,-100
-417,0.331,xbjrauipgl
-0.326,DoG,125
fgnxvlvwbl,-120,-709
-147,-0.0765,CAt
iiiynoobbs,-0.4835,gqvmkahgqc
0.0785,-0.413,yntnpnywge
yoadwdoesi,0.3575,985
0.37,Cat,-682
DOG,105,-0.4565
837,ovvxfuorbg,939
kuezeenifc,0.365,277
nobqmzyyeq,nyarrpbdbd,-808
0.353,0.3025,-0.4075
-0.399,uauqyizyqy,qwwqzufoum
684,-734,801
0.481,0.2925,567
-0.0055,-40,CaT
souvayihia,DoG,doG
-307,193,0.298
999,-0.3765,-0.1195
hcoeiacpzy,0.229,-0.266
-107,-0.165,-979
-0.4755,-0.302,-900
-0.0315,ekdscsvnhy,-0.0835
chsytbxarx,523,mbuncwxapb
dOg,vjpxykqqpo,DOG
cAT,-735,sejqygprts
0.148,cat,0.2605
0.2745,-21,0.081
-0.2225,tmrqpxkdzw,kkokceaxcr
DoG,-0.059,343
sesrbffwcm,-473,968
-156,0.303,-174
ksakolxwoj,0.0685,-0.338
copmehauek,312,-0.101
CAt,-0.2185,eotaqsdsej
wmrxsbbcli,-98,CaT
880,mtusucujrn,0.0605
0.0695,-189,CAT
DOG,dOg,-0.1235
-0.2435,-0.34,0.3915
dOG,ubcyiipvyx,0.114
-262,-0.102,osxyprwzcn
ulpjxbyqne,-0.2705,ftrmmtbhyj
eibegiwwvt,caT,795
DOG,xvvhptjpku,-0.28
-789,133,-0.2285
CAT,DOg,752
CAt,pvxtlhwbaa,0.3005
-879,-798,-920
0.2845,-100,0.406
viomzytyvm,0.3765,-633
cuyhdqkfvs,-0.0395,eoladtnvqj
-0.465,0.079,znxliaxgrr
-0.274,-362,yqgkknnvgs
-483,-0.347,-0.482
CAt,bonzytaajz,0.028
-652,ircypkfuth,cAT
kfoacbsgtf,-123,xifnyvxyoc
-848,Dog,46
-0.284,dog,CAT
-567,dOG,-0.1695
zvwudfpxel,-947,0.162
0.3575,-713,-74
pvanczkkqz,xofzefcdwc,850
bwxyspbtrp,-77,-0.27
-0.029,hrcjjmnaln,0.4975
cAt,opzdasgvdl,gqhacftwdu
