pEt,soumjvavrh,ksvzhkjzbc
caT,906,477
DoG,lulfrsmrbn,-426
-389,0.128,80
cat,ccovltpxdx,hsgxpiekiv
-852,-0.1085,DOG
508,ekyalqjxuz,fvlwnjoyoh
DoG,mkitmiapnq,CaT
Cat,0.494,-125
dOG,-213,686
caT,-758,0.188
164,vaojajkfmv,-0.0595
xdbzzsmpqx,DoG,-0.1345
caT,-0.131,291
dOG,1000,0.253
cAT,ujatieoyoc,970
DOg,takrrnitdg,cmnxpmtfud
CAt,120,-6
caT,-0.332,bewehgrhit
llfmlzamhr,-54,cAT
doG,-0.325,mylagruzqe
-0.434,-0.0325,-682
CAT,dOG,0.3385
caT,425,cat
CaT,wuncbgyclr,956
-0.0065,965,-368
hzebfmgrmw,dOg,119
dOg,-218,0.254
Dog,-0.158,-639
CAt,-96,-0.173
cat,677,0.302
cat,yvgziavvss,0.379
313,doG,-56
jkicqrqfck,dog,cat
CAT,-0.172,mvigukgbwx
Cat,567,-0.327
caT,-0.4365,DOG
Cat,sslptftjlj,-0.1105
334,-373,-0.3845
782,doG,CaT
dOg,prckmdtjgh,CAt
dog,0.002,0.342
kxpcppvhlc,223,0.4525
CAt,-486,sydeuvspel
CAT,-63,lqsntbxqsb
DoG,tsbkqaimxx,dOG
799,cAt,wdxcbbjcym
DOg,CaT,909
Dog,0.2735,doG
Dog,0.036,xlbhvqiqqq
DoG,caT,960
Cat,940,cAt
dog,0.1045,446
CAt,-7,0.089
dOg,-0.3115,cAt
dOg,DoG,37
DoG,ukxagpctru,-0.191
Dog,0.3985,0.288
cAT,-0.4495,swtpchrddk
CaT,-0.155,caT
rfrviffyhp,-579,cat
cAT,orhvuigmwg,622
caT,453,0.4725
-0.4615,247,-879
CAT,rlopyktdjm,cAT
Dog,392,xvocuoufmk
doG,-0.066,-994
cAT,0.0285,Dog
-0.1565,245,guobfkoayt
CAT,-161,opoabpmmin
CAt,0.3665,575
ohnbofllgk,-73,-0.415
dog,-579,ovzmwnuetc
cAT,DoG,0.0965
DOG,jxnctftgif,sgfzvyjwsm
DOg,agpxrthair,-0.0305
0.064,cat,-0.131
Cat,ukdqblqjuy,-491
