hypnsoodkf,lzdnzwyurc,alahnddydl,PeT,hzuwzobycp,tfmwveegpw
20,gpdrslsspx,-0.3745,cat,-0.0475,0.079
0.1185,dzjgtszfdo,0.494,CAT,CAt,-880
-329,0.3005,DOG,0.0715,0.4805,-0.063
-123,eirefkldyy,-0.469,941,259,-480
0.216,cat,0.2635,arnwpbshps,-0.083,-582
377,-556,-0.202,537,-0.1115,bkzenybdzh
-566,0.0985,977,DoG,-0.2805,715
hpnwqqmbzj,98,-218,263,0.1135,maghapbnyu
-0.0535,221,dgwtqllmjt,707,phurnxxlmj,0.416
-0.1435,DOG,bskicgggtp,hurnfqgkba,-0.4895,DOG
-633,-891,-711,-0.4545,0.4185,-787
CaT,twrathhpqk,jvwphgyeim,krttfjaasr,0.139,CaT
bimoqigvby,whkaymtzar,-0.037,CaT,dOG,328
dOg,uzxxumhssl,-0.1765,doG,cAt,0.0305
0.2775,mcgddhiwbg,zkfojmjnoz,DOg,-0.121,cAT
-0.224,-464,-0.211,Dog,soigigiudr,0.4405
204,-0.46,-0.4735,CAT,yafklubxxc,CaT
mulgolemjz,dOG,-556,673,aniepnhdyd,CAT
0.0565,0.468,0.0815,dog,cAT,zanmhexzml
-0.441,etnpxxoorg,0.1645,Cat,bhdfvfftwc,-73
doG,0.317,61,-0.3555,686,DOg
-0.312,jrxnhdwndx,-0.3285,dog,-156,-392
lmvnfftfvi,-739,0.4425,dOg,gxaflzbfmg,-0.0405
ixyqprmmef,0.1345,-304,doG,-426,485
DOg,508,CaT,DoG,517,ycfejrfyaa
hsgekmznon,CaT,aoyxgezzhg,cat,0.0975,Dog
-0.4565,-0.108,iwcsuriarq,cat,-0.3785,onwszxkmyf
841,wbvzhspvrs,6,DoG,eeimcqktjt,caT
0.3645,-0.497,nmlfsheycj,dOG,-0.203,541
caT,0.291,118,cAt,jeonfynzcx,plxfbeqbmf
0.1505,-174,-0.151,Dog,-0.473,0.36
tjzknkxhek,uaqpsdwwzf,0.4665,doG,0.353,zpapfwbxiu
-0.0385,flactuhmrb,cat,-610,cmmusrhmht,vjdtqdcaid
892,-0.364,-0.037,Cat,ohfdaarvfo,-0.4325
-300,0.2385,-0.0065,-0.149,189,-0.1165
dog,dOG,-0.1155,-0.045,tylshjsohb,geizopcskq
-0.0155,-397,-0.198,cAt,yrwiawbnlw,ldbanintjq
wptmlppccs,-0.4015,codemqfxyu,cxwsbnhelh,-965,-902
-907,ryopqvxvan,fgwdqvxxxh,cAT,495,-0.1335
