peT,dbcnssavds,sidgppgsxf,cqfqrfmqkl,huftcvsydi
caT,-197,0.303,ooqfehhbjz,cat
cAT,0.3895,oritcgpsqj,dog,0.1475
xpntzojbub,-681,caT,0.355,iutgxbbbiz
CAT,0.1295,zlzshyheep,-0.3735,-239
dOg,-819,979,nrtgpnkyzz,zhtartkqxs
cat,-0.288,jxhlusqqkj,-360,-0.3325
caT,-0.4715,159,edyepcijij,grktlnltet
0.4435,0.3365,DoG,-568,-0.0955
dOg,-911,-0.0805,78,cat
CAT,wmqlzqcalv,axvdedrzfy,-243,396
cAT,cat,653,215,uowrxastyf
cAT,evhoeocxki,0.174,-0.295,qpgzsosabd
Cat,-143,332,cteszlvgmn,344
caT,-0.258,0.3205,-360,pbssrbqajy
ntzocfmdyl,njaxxaatrf,mrqgluwuvd,wwifbkutff,0.0115
DOg,0.0265,0.42,741,26
Dog,0.2245,nccusoavye,pnxnobodod,awdrpvkslp
Cat,Dog,0.0275,CAt,eecmmxqowx
caT,zcdleykxhj,pdydodpzml,pkearcgfrq,0.4745
DoG,sbuwdqoomq,-925,0.016,fndnhuhyfr
doG,-418,-0.1225,-242,pfuytxekhs
lnfpysgtlo,-870,djxjpmoteb,CAT,ecbpxsqyti
DOG,-528,ydmakhdtwi,-550,674
CAt,-0.3205,-0.4095,0.2055,CAT
blgxqjtpwj,oacnxavmao,0.433,wkavitvuzw,azjgkuomgk
0.278,CaT,-207,-0.017,-61
-361,0.287,0.053,642,536
caT,scvqdjmmfe,daoevtnmrp,CaT,lhtqoygubd
DOg,doG,doG,CAt,syqztoyvjf
0.1855,wdgyxszxlj,0.326,0.4805,lhposyqdiq
Cat,siuozektts,0.316,mjeiopogcb,stcgseifsj
CaT,enpfgkctvt,0.003,lfxefgcgqc,caT
DoG,0.018,964,tdmkymvdtx,0.383
DoG,CAT,-0.3115,DOG,247
caT,-0.3075,waoyzvomny,megstgblsc,tfufzrrxlk
-0.143,0.2215,bpjkeucsyf,mdawhiphxw,gpwxkwlktv
dOg,-677,474,-0.3225,-0.3305
ujmtgdoqjm,hrtyvzzppq,-0.022,xxwdflcgew,-0.3195
dog,qbglzlafyq,osclypzgkn,0.012,0.247
dOG,0.2525,CaT,84,dOG
cAT,-140,0.154,295,icbcbitlkb
DoG,fhtzdfgqjr,-288,odhwbefije,979
0.129,uvypnveyzr,846,-0.072,-0.2965
0.048,cat,rlcjxtmwcz,casdslkthi,zygpkzfgza
dOg,-0.0395,Cat,0.4315,-0.44
dOg,0.01,DoG,caT,-0.4205
CAt,-0.1795,dog,0.134,kseodmxpbv
DOg,-903,141,soaplegxbd,-915
Dog,0.2705,fnfhdxtojd,0.118,lcqirnjvsh
DOg,-435,ultnendiph,fxtfpymoka,0.3435
dOg,caT,nlpyrbdfuu,0.4205,cAt
760,ahfyjffgmo,kktvznhxow,jyetstxbxt,0.4835
dOG,0.0855,611,DoG,CAt
Cat,zlxgrgytdh,-0.2765,amzguvusil,-0.346
dOG,wqrlwghdym,lpjegwmjoa,DOg,CAT
xsiyloevnv,-374,270,-163,rokyemlmih
dOg,biwcmcbumf,zvmgrpuhds,-525,Cat
cAt,CAt,DOg,-0.2065,jrbhewquud
doG,0.1105,xrwxlwieln,yddummnijm,-375
CaT,xeecanapaf,-682,-41,0.229
Cat,dOG,930,tjpbrztmpc,0.107
Dog,0.2615,bucgmekjhn,-0.1555,jlclyhxmqu
DoG,kozjyzdjrf,37,374,dOG
cAt,-0.4885,CaT,bibwuxppqv,-343
cAT,0.026,qhiefdozqs,htitbjtitd,206
-0.404,ovgolfsuud,-0.334,0.391,-529
-747,dezjmhsbvb,0.32,312,-279
caT,dOg,608,320,-737
vsdpixcxqs,dOg,yaxpdovjeu,-0.398,DoG
0.0165,0.168,-971,-910,354
dOG,-0.0335,zhifosvghm,lilrtbtlop,183
DOG,-0.383,431,amuxxzwzzn,hupwxbafmp
cAT,caT,329,778,0.3555
DoG,hgxdjpdzap,-662,-0.1595,qnjmoixnkk
cAT,doG,-0.293,dOG,0.269
cat,-582,eoisxbbrlj,cat,-907
DOg,dOg,0.0195,ivqfmepcaz,-0.0795
DoG,nfqmqedytl,0.0845,-0.485,0.092
-110,Dog,-596,dog,475
-326,ajudvrndws,CAT,-0.328,-0.0785
cat,-461,dOG,laoqaqchay,oqqitogqrm
DOg,cAt,-0.338,-0.0855,0.12
Dog,fwxpwdanny,wlgcwfljnq,zlddatnfhf,56
Cat,emghsgpgzf,-800,0.1925,330
