holqbxunyw,nxaehvnptj,pET,ijwuyibrko,wgqkhsmwuc
-0.074,452,CaT,doG,zbaneqsuva
CAt,727,-816,0.4035,DOg
-418,0.0045,Dog,eykpblpxaq,Cat
-0.094,-0.118,hgaiclnflh,-896,855
diqdllzovh,84,Cat,dgibdqkscq,ktncaekseo
442,-0.1935,Dog,0.4535,293
482,-0.148,Dog,280,drizisdysy
-273,smxszahjsg,cat,-890,qcuciuesix
sxlyepxvli,0.4835,-0.3385,0.4005,-990
0.313,-0.1445,doG,-0.1075,51
vcmgfpmwyr,118,CAt,Cat,-0.384
543,0.2,DoG,-0.1565,dOg
-307,fnxpybqwzv,cnsgoelwnp,-0.3285,-976
-0.0825,vvwuzuecji,CAt,nrjswlfkhq,-0.416
0.497,DOG,Cat,Cat,CAT
cat,vbaljfknzh,efcxwuhnkg,caT,492
908,-0.26,DOG,0.1715,0.266
0.1,274,0.4305,svikympjul,-767
cAt,DOG,Dog,-398,-0.146
khjcptfiql,0.0335,DOg,wepsugmrnp,384
-99,ahiukuheyo,ikpbtvkyds,yuidersbap,jckopdjchh
wzaikaukfi,95,dOg,qomwetaaen,-473
caT,0.0575,CAt,-262,cat
0.3095,cat,cAT,-985,bycmqtqxcc
phrztlvlks,CaT,505,885,DoG
doG,923,fcjkrtqwyv,549,-0.1815
-958,0.4,165,141,0.374
Dog,embrjvdipp,DOg,jczqxjnnyr,0.1555
tgkkqhvyyp,-591,102,qkcrveuivq,dOg
0.097,dcueazfeph,cat,735,0.043
-0.181,-0.3045,854,-446,tveqokbrqf
caT,anqllsbxbp,dOg,500,xpbyqdfzgo
mobknpoeew,pqkyqxfdqf,cAt,888,0.011
CaT,929,CAT,0.4145,fqlfxedkmb
-58,0.191,dOg,943,vplquxppvw
ubwmcywggl,-636,cAT,0.461,0.0845
0.043,dog,DoG,CAt,-0.345
-645,wjdakubtgv,caT,-0.1385,Dog
0.0135,cwvqpfgvif,CaT,bvctcitiuq,cAT
mfwnsnukid,intudtplgp,doG,zbtjrzyvyi,qrlymksofn
105,904,Dog,caT,0.3785
-752,-789,pobjgzssvs,0.096,cAt
-588,fsrnjgebmf,CAt,-0.387,-0.359
-0.0465,sgrvdvfmek,CaT,-531,-0.35
ubwzcibctq,jidgsouydt,dOg,kryhdolenj,0.42
0.0465,zowklmdwoe,DoG,lizqiqkiwy,175
-344,-0.3525,cat,unlhqxcyyy,-774
rwevtrphfr,948,cAt,-0.2105,809
-926,0.146,-47,nggexmaxis,aadsupgsuu
-0.162,mvfrtisqtt,cAT,vhannpbeja,996
0.46,gthoybyqpj,dOg,-228,zmbgaqknjy
-655,jytfdxtbmt,-492,qoodgiqast,0.2985
CAT,DOg,CAt,0.145,hvsgeksdty
-51,470,jvgwghwkep,wcncmqqjfg,CAt
-751,kmbltjhlhz,cAT,-0.2655,CaT
jznttfvrfz,-0.1445,Cat,-825,0.206
cAT,xgufaxbhqu,-0.1065,caT,zgapbgsgfj
ilnjsthagd,-333,DOg,-161,pdmfevfcdj
cAt,0.294,cyfkxleurb,omzxukqkrx,lscbkyvjzt
CAt,vyqqsqvmcg,zjvpchglym,0.039,200
caT,-0.379,cAT,xqzlbwakll,-377
498,wkxakfdrdc,cat,khtdzdjnea,dog
-518,ndrpbpsmwh,mtmjmjibgl,-989,-0.2665
