sjwweckkgo,opulxecrjb,sgcxrobzxn,enyokwmamu,xhcfkyfbvb,dszgdfcwuh
iysqekeevv,0.2535,-140,-0.38,-0.0325,0.1925
0.3215,-773,-605,igysftnxvd,tvvxpypoow,-0.0425
tshijyljpe,826,-730,wdsfvgflwz,-0.042,mkxgfmxscq
-0.1195,-0.325,-0.12,ddfzxsmxnv,-183,nqdhvwtyre
-434,-0.0865,115,yrsfeaqisj,0.123,805
qkanervivq,375,dgkwfqwmya,dOG,0.422,CAt
nptiuuqrma,653,-261,vtakbkmeqv,izruttpdhd,382
jkubqiqfsv,387,127,cAt,imvprtzbrf,0.1095
0.153,282,-73,0.0035,-523,0.351
300,DOg,DOg,dOg,0.1355,570
dqihjnznwg,517,309,0.1095,-0.228,0.4635
0.3865,41,-370,Dog,caT,0.317
nlpfddzdbk,amhxclqmpj,0.0255,lyeisgfsgb,cat,Cat
nmflsqfrbi,0.0395,dOg,jpoonxrsqf,-444,caT
jkmxyqhcep,-0.0255,661,-384,ezzsnvzhix,iznqfxzfcv
0.298,ndnixdpvzo,-744,565,-0.3375,-0.324
0.1305,-0.1145,Cat,nbfrbdzwnf,-0.212,-564
-0.178,-0.33,fjhqjybbip,36,doG,0.119
yxznipfbfd,-710,298,819,687,276
-745,-765,0.043,CAt,kphrsvccpl,961
CAt,0.0245,0.3925,-7,frwnijudfd,petbxfzkkx
-47,-367,0.063,0.196,0.314,Cat
-312,CAT,-0.0285,509,773,ysvoirsdxl
nrowuxdwry,-489,346,-0.0585,0.452,495
CAt,-0.088,wvcgtjgbeo,222,-274,-47
0.459,611,0.117,toneadlgbv,0.1875,yheoifkcvr
0.3315,stsekyzkml,0.437,bublwghuni,DoG,-0.2525
662,505,pmyoorxhrt,vpqnjwuuww,doG,828
DoG,-483,-0.1115,dog,cdlkbjzcqt,-146
-0.4465,Cat,0.144,lxqxzdjore,dzgedrrgnp,DOG
npehjipelx,-0.329,-446,-0.266,-417,Dog
-82,utanxebaqg,dog,bjseftpliw,-0.187,372
vibsejcwuc,msetmxtycr,-0.108,rlckyczhni,392,sdzggyeqex
107,kqtabheavx,913,qbhelzmoah,cat,-434
-551,zdlniunohc,-0.1115,0.0845,gqplyaimis,dOg
-0.3525,718,-308,vlpsntxpdf,gsovsghoej,dog
-501,0.4785,586,499,0.235,898
Dog,0.391,uxdgditurp,CAt,-0.171,-0.4025
-520,ihfkgknhuh,-402,19,997,-86
cAt,-0.0565,xcvypljudx,865,777,iloiclnzol
whaknvhnjn,-0.499,-385,dog,xgrpilpmvb,iphspyldsp
gyqxhholwf,ddxdmczldl,moqinfcixu,148,0.198,xkgiobvbbv
-0.0965,-193,cpqmixxule,0.3365,-0.1965,lzgxwlaxes
wwxhihkmsq,-0.178,wqutdoyert,aejmcvvkan,827,cAT
914,0.2995,DOg,eehnxnckxh,itdgpipikp,-504
-0.3705,0.4015,viovlxznqi,-739,uulnyyhkou,481
669,-849,urfkltuker,-0.2335,sysofllmdn,-439
-584,CAT,-507,-0.0075,-696,0.1135
-0.1065,cAT,912,tvgnilvliv,nhzqqangmz,-0.311
-201,DOg,704,oposgeichl,-0.1525,0.4185
DOg,0.1935,rzdgqcyank,-0.0065,gokqntquiw,0.465
gmobbhonpz,hawxawcecw,ikhvcqsfkh,cAt,envhfdmuti,-984
-0.467,0.293,-908,-33,116,sutwrxubmm
CaT,-0.037,herwzmtlqw,0.12,337,-97
0.3805,0.271,dog,cAt,caT,fybwnlmsdl
-618,473,888,rqzhetlqxa,cat,0.3915
-0.379,0.4835,dOG,-211,bjextxmqyq,0.036
-0.246,0.0865,DoG,0.4355,nyycefilhk,884
954,-947,0.2255,tkxzuxyhyz,482,-188
doG,dOG,0.36,Cat,ygjuklxyte,-445
DOG,zuwebndemk,389,766,CAt,omapkehdzz
DoG,0.3085,-38,-0.4595,858,tdldeelaio
doG,tcyqdhtnak,-617,-0.345,-0.088,Dog
-0.05,-0.1815,dOg,0.2945,831,drabqvenkk
Dog,482,houvecnyae,nhlkaqdppa,0.1125,-0.1405
854,lqjmngimzj,lcrxwhzpea,doG,-714,DOG
-0.1155,przwtqilee,xynyaibpdl,-155,-0.084,337
dOG,0.4025,ntfvylyyij,cAt,0.12,kbjbzvjxty
-696,-187,844,489,259,mopljyqxim
0.1185,CAt,0.1095,0.243,dbqfrsaofu,0.276
0.1315,-231,ezxjpgwvzp,-121,-0.1155,ioouazimyj
cAT,-0.3615,nqyylvyjtw,-0.435,xfjdfmlcxj,CAT
yeltqzzghh,0.142,360,0.3205,bbfkscaxtg,jnbtvwzwrw
acmjabzzew,-0.001,675,525,cat,-948
-0.4155,sciqykxkui,ccaxkhnxxb,doG,901,qloglgbkhm
-0.447,0.164,rraiozffkh,-0.194,Cat,cAT
cat,-0.06,-706,gjfmxuohkz,-0.082,-309
cAt,CaT,qlhzejqfti,-511,-268,lgtkgphgbw
-321,-0.1165,dog,-370,-496,0.21
0.2885,0.2055,-0.2425,867,-0.21,-573
-0.342,-906,doG,frytmppoku,cat,-0.4795
-0.0225,cAT,0.461,0.4915,qgfvonbnai,427
-60,0.2105,cAt,ojgkjtrisi,-0.0135,-0.4855
-441,cAt,-408,yahupaolcp,xdzjelothz,-0.0075
Dog,-0.064,515,tllshtsxti,-393,DoG
cat,-885,0.061,-0.173,-282,0.3245
-349,773,rvrdljgshn,-0.4265,420,woekzrgxpr
