topfbmofsa,hfddggmsou,dkqisiaqjq,pet,psoykrhfan,yvozzrzoxq,cqzsazsich
waqwybnrff,-961,DOG,Cat,-224,974,CAt
relqnqvrzy,0.3005,0.035,cAT,-0.247,-0.2495,-397
ermiaaklsv,898,DoG,ywegimbczt,-0.415,-0.059,-830
648,0.123,-0.26,cat,caT,caT,872
caT,0.458,caT,blfoznydmn,0.287,CaT,-151
399,-0.4475,-251,uybarxlqnu,-0.4295,0.269,-156
fgjmeolnlw,-951,dOg,Cat,604,356,cAT
fmtjbpxwwf,ciqdkzotcd,pkamnrxipo,CAT,-0.107,-0.086,ztcprsdihs
dOG,-996,ravmbvtsab,DOG,ihfycynwwl,cAt,btehwnbhat
-0.267,ntfaviqkyq,0.384,CaT,-0.177,0.4345,kplomazcoo
aaesqpeihl,0.1385,cat,-0.0585,-0.154,0.1215,cAt
0.376,-153,-337,0.1215,tmknwmngpl,0.304,0.4755
0.294,-0.405,0.444,yxovblznco,-871,-568,-0.066
natxoiwyeu,0.4025,0.362,ljzndhufdo,221,242,642
rxetsnelkt,-744,dtteiclcsd,CAt,0.279,-0.494,0.419
