kcraqenmpg,PEt,onecsgjsif
769,Cat,cat
-704,dog,0.051
0.4955,dOg,112
cnvdghdeyu,83,0.4375
jdfkpxtaff,dOG,etaseniwmd
-56,cat,rhfyvfplba
dOG,CAT,-0.15
751,doG,kphbueruks
-0.1525,cat,19
0.2215,-0.1375,-0.07
zalrfdhctx,DOg,-0.2785
734,-0.463,0.2565
0.0135,0.241,-259
caT,vbtzjzhbia,0.2445
-211,cAt,hwwdiszgqy
Cat,CAt,CAT
-0.03,CAT,-852
DOg,DOg,sembzjqcws
203,cAt,dqzugykiei
cAt,cat,0.334
slzrambuzd,cAt,mwbhtemguy
-0.0975,157,0.079
0.1545,652,dOg
-926,dOg,0.4495
-644,0.0695,0.2425
0.1045,Cat,610
0.185,caT,lsunykznnj
CaT,dOG,-61
0.1995,-236,815
CaT,DoG,aslzmaimwp
-87,Dog,-277
-2,-185,-0.4645
-0.2575,dOg,dOg
0.033,chrbghopkf,yuvaoaaklz
Cat,DOg,cat
-316,Dog,0.0165
-0.103,0.2755,-135
637,dOg,-0.382
cAT,dOG,adbswqqtks
snliwdunzu,cAT,Cat
hfgaxwdfou,DoG,ieblhebkbl
bghfpoxkwg,-155,-0.1735
0.1355,cat,-0.166
-0.2565,dog,529
iolpubznqw,DOg,5
cAt,dOG,sjacygimpn
ieaprdnzqx,DOg,mxomtufdlm
ftfmwksegz,CAt,0.274
-750,CAT,952
uknuvslvfv,cAT,-0.3785
txzmhrmvsb,cAt,lrryvikvku
dqmrvrpruc,CAT,jaytmctlgq
-240,CAt,0.4085
-702,DOG,Cat
Dog,Cat,nzszxvjypa
0.157,-607,mdqrnynxke
-630,485,42
474,caT,-0.016
reuuuupkbw,dOG,0.422
-991,cAt,792
miccuwkomx,Dog,xmlbnmmmqr
-120,dog,acseqbjcsr
wyfbnxrkde,997,yivfsvrzhr
DoG,CAT,-0.0675
nukpaghteg,dOG,dOg
caT,doG,938
-360,DOg,cAT
0.1435,cekaynquta,442
eruirraqqt,doG,-0.229
CAt,0.431,Dog
yxnznwmrwo,tduoizqcos,zergvjvfiy
tchckbcpor,dog,oqpzofziri
DOg,Cat,-551
-523,vyxeikavun,-0.3
-0.2975,CAt,solovecpsz
CaT,cAT,-204
0.4,dOg,0.2325
7,Dog,391
530,-0.281,-660
181,cAT,ecoanksksy
caT,CaT,-0.4025
jkcblocydy,fsboalgrsg,jrgxnjkguo
DOG,DOG,0.2915
vdtwehrbix,caT,823
15,gkfpnzyxim,wjvfzdksgy
DOg,Dog,629
58,CAT,bkrprzgxxi
-20,dOg,0.3615
doG,CaT,743
gdmjlqycpw,caT,-452
198,tunwiascqe,0.206
0.317,dOG,fcbltwasop
Cat,Dog,doG
Cat,CaT,485
625,CAt,-0.332
-0.1,cAt,wszwrwcpgh
