pspxseduwr,Pet,hamlyjobup
0.173,dog,suitjraajy
622,DOg,-0.44
eadmbcktbm,dog,0.1865
-0.1065,cAt,254
-0.1355,DOg,-0.476
0.3085,DOg,zmifqfwezz
0.225,cAT,-893
-552,DOg,Dog
0.411,Dog,-919
-0.36,-452,doaxjwuzlr
jztphulrcv,CaT,939
-899,doG,-0.04
CAT,DoG,0.154
cjfmuhewox,dOG,411
0.4715,-101,caT
xoqlrkfspu,cAt,0.4735
-275,0.2795,caT
-937,DOG,jymfyrluyq
-714,CaT,-191
596,-0.301,434
dqgfpcwqpn,cat,672
dmgjvwvmlt,DoG,aexabfoeyd
xnbspnkzrf,cat,-249
-325,-4,-0.0425
DoG,Cat,-519
559,dOG,277
vjxuparlgu,yucgylwgeb,gxvehodwyc
DOg,Cat,-0.31
-197,cAt,CAt
fvsaaoysqr,dOg,qkfcphgjov
0.43,DOG,-0.1685
earyaoyikl,isihpxdqve,0.136
xkdhxahzwc,612,CAT
630,-421,dOG
-963,dOg,-0.177
0.2855,caT,diuwnlbego
ybaaamsapk,tzdxrekksd,jfaxtxprlw
-0.3825,CaT,0.202
-0.3215,doG,-662
pxelvoormc,423,0.2215
-0.3165,Cat,-0.2685
yuqbrczsvp,cAT,-0.27
-980,-0.3385,-0.2955
-778,DOG,imgexvtgvg
863,CAT,kbidumaymf
849,caT,20
-750,Cat,583
tcpnbxakka,cAt,dog
-0.1185,sjoomoctzo,wslpcqsoti
-543,-0.2025,77
38,cAT,938
eyhjzauncu,cAt,yuuyrothyd
547,-0.1355,jnulrgpjvn
-0.065,qeiwobcryb,-703
