djgfbevyrx,nynfqmkkgu,ueuasdpmha,xbrcilqqkg
-800,ipvncivlzd,ujozasfnob,CAT
-521,xkywrxtyoh,yschcwxvpd,-460
-0.459,-0.173,0.2655,CAt
-0.463,fsniepkbiw,-0.0825,tuejagfxbs
msetlsngxe,gcjullwaaz,0.356,589
-0.41,yxniwcvzfk,751,-0.4655
icybgnujod,0.295,-0.373,zillklbgir
-17,Cat,367,Cat
latdbnrjln,607,rvcpqjzlxb,yvrxutpjkf
972,832,bvoauqtubb,-207
ioivmlpcco,-1,0.085,-0.196
-0.2295,397,Dog,yrjiwwzepk
0.1785,-88,cAt,-0.087
-0.1675,0.3375,kuukgdazyb,vujatuwbcw
hbznvqzdlv,486,doG,sskgbnpmxk
lsisqdrcjf,ykyynuhznc,818,mcetcdtfoh
kzvdrhqvmm,0.361,-0.11,ryvpghnbfx
imfgrirfiq,-0.334,-461,-959
dog,xtymiioebe,dog,CAT
wuuangktvs,80,lsitsrvfnh,vffgywvurw
216,hgqwdvrzdw,wjburemqtg,138
431,-329,kwkoarhblg,qccmbdyhzb
hhtgdretvf,xbsysyiuto,774,101
cAt,nesuwgfesl,gsaeegefqd,327
cAT,-0.1145,kdjukomdqv,bmwdwgigbo
202,cfplyvzewi,-0.078,902
-0.0515,rclcmkgkel,DOg,dOG
0.288,-800,-0.122,-391
sebcwrykwy,-0.1285,yaxlnrscgk,-0.35
416,103,-0.225,CaT
0.323,thwzfuupii,geyvmuikxc,-0.0855
Cat,doG,dog,qhnwfgueqg
imzamngnql,-0.445,327,zxmrcmpuvd
-0.3455,CAt,zfbykdjiai,-673
dOg,-0.0565,szbcsqhnsz,qlvuorwuoz
0.1875,cAt,-0.4885,-0.1225
CaT,941,oiudhcnmks,btrumfopip
-537,766,236,vhsnmejvkq
0.2405,cstrceaayq,0.1455,CAT
usqdzjnsoh,teecgqzmae,-102,dOg
-0.0145,0.065,cAT,0.406
236,DoG,bdtqnfkjhj,-0.3705
