dcvtrfrhyh,ikgvhwmbyr,wtdtcwjkoz,zjgnnaumom,pvmqjdauru,Pet,njfgqjpbzg
cwjixnebmg,0.462,kejwzspdge,dOg,cAT,DOG,cegxrvrlkv
0.3105,udmluclksx,icrhfkecua,311,-484,CaT,mfsapdbznx
cat,ubcyldvpzs,0.246,-21,cAT,dOG,ksgzdpuxjt
0.224,-0.4635,87,cAT,-896,cAT,nvhfbbpzaq
13,ytlkfffppz,vfqygcsypz,-0.1275,321,DOG,-647
uaujqdvcva,-0.1775,yfckieskdz,DOG,0.04,-117,acmreaeclh
391,DOG,xshpoiuqkz,-0.1025,nqwfxksnmy,CAt,438
-858,0.184,-766,aeqtavlmzw,dOg,Dog,deglnbggfb
usdldvlsxs,-695,-0.034,0.299,cAT,-0.4175,-365
DOG,679,-31,-0.396,cAt,CaT,eyammxogea
-0.381,nqpqyjfhwf,0.287,0.289,-27,dzqwudyztg,sboupdaeqy
dog,0.097,-316,jjzbgixopp,dOg,Dog,-0.346
0.058,ljvyilconh,iqkwwgojec,oflrjihjhu,-981,Cat,949
-0.0035,fldpcorkbh,0.408,-0.127,-0.4385,caT,-0.2375
822,-0.2255,-594,eyddiewedn,0.4025,dOG,0.1565
uonustktsz,948,doG,59,CaT,DoG,47
DOG,bilcjatlgk,-208,403,wogcsgoioe,DoG,-800
ewmzhmqxxj,-0.188,0.292,sbgrpukmsp,-41,DoG,cat
Cat,ejkghrzczd,msfhmcxxgl,vtpptofnrm,-3,cat,-0.002
0.1705,DOg,nglmixsqku,-0.088,-272,cAt,473
mcmtlugdxz,Cat,CAt,-0.107,898,dog,-0.255
aomrvoqvbs,-0.3975,qtpoqlksdv,Cat,pmiemvoack,dog,663
0.132,-919,216,caT,797,245,tqhhdfvsup
dOG,mxfepfpcor,DoG,-976,rmptoppqmw,DOG,-890
619,-202,-0.1645,351,doG,Cat,-133
30,278,0.2055,mfmzqlrepd,doG,dog,0.3125
dfthziqaks,-45,-0.2445,-730,-440,DOG,-0.19
-0.007,xhrqnzygea,-0.2475,cAt,DOg,cAt,0.2085
0.459,uggpevgghz,-145,odhzolnsnh,caT,doG,-0.4395
-537,rqigiuukaa,-848,0.479,-995,cat,ijpdfekdhv
-207,108,0.131,bjzrmpsrgd,976,Cat,-456
ennqtdlkrz,gjmjfknedz,nuzvxplfbz,cAt,905,Dog,nmmccwipnu
caT,-0.2405,-111,0.2405,357,-0.242,576
-0.087,0.029,-0.076,cAt,-0.129,CAt,ythlsfeubq
