tlivcfwlip,bigngvanud,xgcyfixbex
139,-0.39,-0.4825
lomyozlbcl,819,-0.0015
-0.0145,dmhscssfkq,0.1325
lncunskcpd,-0.104,-0.058
613,0.171,-766
0.269,dOg,jnqagbbaxz
hkmdfqgxku,914,uopheobthz
lermloxroe,445,0.163
ifdlzgetli,caT,cAT
-288,0.311,aosmthkwbj
-0.4085,qbhvejirwa,qfeuzgjzbr
0.416,vkwhxugfpr,lgdyhhogmq
0.3,DOg,-593
pyaehddfpz,419,ggychklrfx
xiujvlnzqa,mykqklgcww,CAT
caT,-0.1495,-624
0.033,-0.257,CaT
-0.204,-872,649
-959,495,0.4755
975,0.1675,-650
bfydtyljfy,gihnlqznai,DoG
-0.3805,Dog,cAt
zxjrxyvzli,-0.279,0.3865
56,844,800
-120,-0.1755,0.2855
dcptasrrsv,124,-0.2275
-0.126,0.3515,-326
guzzbypilw,almyqdorky,cxfztjkmgp
-0.246,nvapxsismh,kkzsrvoalw
cat,cat,0.0625
oaqaaxxdbm,-0.176,feghvsrkae
-422,-111,pjcmmmteyo
-460,-332,618
dOG,-881,178
dOG,0.468,wrjeejnync
-0.164,caT,xpfaajafuh
svvhyfitsj,etcxlwcchs,0.0325
dog,-106,fyjadhabqx
0.48,-0.02,-902
vmoxwrkyvc,-0.257,cAT
