lezgbanmaf,oircudxgcy,vrfuryorst,yvbtaeotqq,peT
0.0715,ealbgvbmye,wkwmrwzhbf,632,dog
xxunwmibds,DoG,Dog,-0.409,niiygqfzjl
ydmbjcmmtf,wkpmkmxvgq,0.279,-24,Cat
-0.2875,zlqpevhhyk,-46,876,-620
653,52,0.369,0.0895,-0.2975
lkgvlbdvsp,qyhdrlliqv,cmyvvpevib,623,cAt
-0.1725,jszefvcgmd,dOg,-856,caT
0.4215,Dog,phrzxlumbk,-160,533
rqrjczcjhz,fsknwywxyr,iggavxztun,0.122,Cat
177,unfmtdfwdq,Dog,cskhtngyvm,dOG
vhlkmipnyf,owziyqrnfg,lihzwrjnfe,-24,dOG
0.0155,0.27,qmgykdblqa,879,nvjtialjzv
axlisvxdmm,-857,0.126,-900,dog
CAt,0.381,-469,0.043,CAT
cAT,931,-0.1075,-0.173,dOG
-372,ttgktpdlgk,wsxubvplee,-695,cAt
gvfhokdopg,-0.152,CaT,-0.4355,dOG
0.137,cat,knuhvtopxm,ttjwvscabz,kqrcpfdufs
dOg,85,622,409,Cat
-411,-642,caT,0.245,0.493
-0.218,0.028,cat,mmmbfpgimb,DoG
doG,aoprypftec,0.1125,0.472,CAT
DOG,dOG,0.2405,-0.3595,cat
CAt,cat,-0.1495,-0.3325,cat
-746,-0.1805,469,-0.134,-47
cfuxvknlxa,dOG,966,yvwufdclwr,780
nxylrbqbey,Dog,fuyrnppudw,uzrgwwnzga,CAT
hwaxzwmlsr,defpsnimnf,kjntcfoubz,dOg,cat
dOg,-0.1615,-0.3455,CAT,CaT
-0.1595,-0.493,CAT,-0.167,-0.158
zdfyrzgtbi,-0.346,dOG,-0.199,0.237
cahmkajcwz,850,Cat,wvrmuceyxa,CaT
srejyivvdv,-0.3565,0.489,0.3425,0.169
913,jssjswhkpg,-31,-0.0385,pajzqddzwc
