nlpcashotq,dkjqhsjpot,iosygpvayh
nkkrouhygk,0.3935,0.1365
ikrwxrdfpw,caT,0.161
apqbeylnhh,cAT,0.469
901,0.054,0.301
scwciyttlg,-173,woifwjvueb
600,hawvhvmwdj,lomusfftqr
0.426,-0.1635,-0.14
-719,caT,ubjcxhfqxd
36,272,-0.034
vesnfkkbpi,-0.157,-545
-0.3345,DOg,991
-0.13,266,-0.1585
-679,-886,tkkuvucfyq
usushxswuo,889,xbagzsvwuw
98,fyduazdgmy,0.4625
-286,kmglbqtffz,xxqibclmjf
nuceznhdqj,300,0.481
dOg,-328,-0.1895
ydhubrsuxv,ofxvwerpzm,twxquqocav
lodcdhjjdz,538,520
-0.2365,ickhvzumrn,ugatjioiau
-0.2845,wnbnuqjdlc,-245
ggykhwdfyw,ncbnnlrwnf,-364
Dog,-440,-0.439
0.2905,nataplthwc,gsbdxndanl
Dog,-0.2975,520
doG,-459,uplqiaedxg
-0.2945,wwbqhsjiph,CAt
-0.1025,-0.1425,0.1945
88,pnjnjmapup,347
0.3385,DOG,DOG
0.2155,cAt,-0.316
smzgyycflv,cAT,799
580,hyavrrfwqp,12
dog,0.4655,vwtvxeasjk
826,-0.303,CaT
cat,ektdqdpqhr,caT
0.139,fddanjrzth,jviuacrywu
DoG,0.191,saqcltybta
dog,cAT,frdxjtiedv
246,0.255,316
0.289,-702,bioytyekyi
dqpbkdiydj,Cat,-0.4095
cat,Cat,-811
0.118,406,0.0315
-0.1205,tdekbfaflm,oqcgjxigbu
ducmlyzhii,gyjnrdldog,CaT
0.4225,-549,Dog
-0.1895,-0.17,0.179
hjmbbleuqd,0.321,vsiaczzisx
549,-833,0.449
emyzgppuhz,ujblxyspuk,-903
0.046,0.248,0.457
-0.098,-0.473,gsaegknjxa
dOg,caT,0.001
-0.2815,0.2535,0.042
zosufnedfd,0.2695,cat
dOg,fzxgnplujo,-0.228
mvddltkqeq,cAt,dog
-0.1945,181,-469
dOg,CAT,DOG
