ucbuykbred,bxjnwkgwcd,xojgywjevv
pgctrjrwpa,alaqjwpofb,bzmwogmdtl
0.207,caT,dOg
388,CAt,-0.2805
-0.413,-0.4885,-0.1475
knqiizsxee,975,cat
-414,791,chxzpyqqom
ruusbnbhgj,0.2355,582
kbugoqbdcv,CaT,cycuvvaraz
480,-57,spmqpfmgtu
-0.121,-218,esicjuhtws
foftnnaehy,DoG,dOg
CaT,-0.4925,-653
-648,989,-0.4255
xxdtjfvclw,cAT,seltrwrhaq
-0.3475,dog,ynpdcekvxv
-211,kuvospdbov,rfvnfdqoyx
hwikwenysw,jmhjbcahvi,cat
DOg,993,kvqomxgkql
-452,yrkroqtyao,qaqmzkvsju
-0.135,-0.4095,hwlkhkvdpn
CAt,CAt,0.3155
jocebumiil,cAt,-0.409
259,-0.0715,0.136
-574,DOg,qrxghrvqli
xidswgodir,808,Cat
353,-481,thmnuhnuce
966,lwnuqfvxtn,-0.028
0.4935,-398,-386
418,534,Cat
816,503,prvlbeoxvo
cbfehldoja,hzmdumaamh,ygbmoqelsu
fphnliepos,-30,77
659,842,302
gmoqudoryp,-0.3885,-0.182
-0.238,-301,0.177
DOg,-755,-0.27
-830,0.1465,Dog
-848,-0.2505,-0.217
apdyoawxeo,0.3305,rfgxswzver
hlqkytrkys,0.205,-0.4085
-0.193,xcsvcijxmz,0.0925
0.155,-0.3235,dozbkefbdu
0.3985,-0.319,-0.46
-0.2525,-0.052,-0.09
0.1675,-282,-0.0205
-0.041,-0.1795,-118
442,fzklchqkaa,wmvpzdnegt
ckkgbejnod,0.338,rnhwnzwkui
DOg,jjpgdspukn,46
nxwlezvpid,mnsizixzrl,318
hdqaazhawm,lgwqjdpwmy,-782
-0.319,-55,0.272
-785,0.052,842
alfovepxhn,631,-50
-753,-195,0
818,mrluicwmvo,0.446
iauqrnhrfs,wxmhfwgimt,ghpakqfopm
jqqtlhqnvy,75,ohgqcymjso
-619,acppsdmucf,DOg
-904,-655,-167
gtyliobmae,rcqkxerobo,829
0.2125,769,yqilztnaiu
Dog,0.1265,CAT
897,CAt,pnqibuypno
DOg,-0.43,xnelikhvss
-0.448,0.2075,rerestpnje
CAt,xrjirzyblb,Dog
0.0315,-0.386,bjpuehavxw
pjjjxxzqjk,799,-728
nwmoovnjqr,-872,-130
-868,706,0.26
-0.0705,ennavgjewp,bnwlbyjmez
726,ovfvzwbrbw,-0.336
0.4565,doG,iptaggnvkc
649,-31,0.3995
flijwvgrop,DOG,acaplnfrqa
-0.0155,zxlbwcfudp,nambiwmsra
752,-759,cat
195,wkzmjwldsk,dOg
993,sbhcgwbzey,knprcmsgmt
-767,-101,-878
0.441,cAt,0.0675
