rjtbhobcis,fqrallvufd,znaapokjcf,pklgkxgylq
0.407,0.467,cAT,skutjgkngq
ibeqpihnkb,-441,Cat,CAT
-0.4725,dOG,-0.3,671
-0.064,dOg,-246,jyzslcekxx
0.285,0.32,-0.0435,DoG
qmlzvntioq,jjmbclkant,gjexlqqdwi,0.3635
DOg,dOG,0.357,qfzunqelfz
gmeeijpcko,barrtsjugd,0.301,0.2195
pcmhfkgxow,kasevovkvg,Dog,nxdqcwkews
CAt,yiogpbgpvg,0.4605,193
508,-0.072,asltpwjqhq,418
278,nsjaksqtqp,540,-0.224
0.218,uhrgudobei,-543,-0.049
-0.1555,-0.3445,507,ezzosqgyud
ecsfsmgncv,242,-391,caT
fegfgitesz,0.1345,-5,0.4575
stingineun,Cat,-264,doG
ssqmfhiozn,qlngbqlgfl,qudptrxigi,fkulbbijeo
517,dOG,dOg,dog
ejoqfdnxxv,csmeykgxor,-0.298,wwunsebchp
78,810,-75,zjirnaokah
mbgcpyfnof,cAt,-0.024,0.2255
0.1405,CaT,eusnbqazgf,0.266
hvyfayxsez,Cat,DOg,-621
481,klpfcyolit,-0.407,0.453
cAt,-0.2125,-0.161,CAt
dOG,tfzqfahpij,cAt,qgnqiufavh
bjbbvogwov,Dog,0.282,iolreyykyb
CAt,-0.2345,cjvzkslblq,zgzixcxlza
dOg,iigeorvlnq,emflnizwda,-0.312
Cat,-0.159,496,lqmrybivic
ffxdzdczoy,lfyxgrgsxz,-168,929
-586,-0.0255,-0.4505,CaT
cAT,0.4595,-0.112,-0.162
-0.3685,dOg,0.1155,egjwbyloqz
587,lwcnfuhrdi,-111,0.311
dog,-730,0.055,900
-903,-475,448,-603
-0.1055,720,-191,0.0475
oisptfeedy,yldopokvhb,0.425,vbrvtcrjzq
vthifeoqzd,-605,336,-417
-0.2835,727,DoG,CAT
cAT,cdupagfmbb,-344,916
dOg,otfpwyijie,rxeesdkrax,pulfjhdtni
-0.357,0.095,hovpyepfjl,492
DOg,cAt,-0.2945,606
-0.4655,aisnrwpeem,uihfrlvjoy,-0.37
-991,wbnzvcfdqt,Dog,0.061
-0.087,623,ufpjnwqeak,-0.024
-970,-382,puylcoqren,939
lnxyiixixe,vicmdbwgnf,-0.1645,-617
945,721,284,0.145
-966,DOG,bjrdqvjaiv,0.126
0.2815,0.317,uexrydvllp,502
jdofpwcieh,-193,gmhwwixyeq,147
0.0555,0.2895,-0.305,140
-0.449,choyrwugye,-0.1425,ekuusuresf
zoydiavodt,CaT,-405,126
0.243,-0.2295,wunxtvaxdz,qmjmztuxpv
Cat,wdbvftntzo,105,950
0.179,-0.2665,-0.216,yoaomjaftk
294,eikkzurehf,-0.4405,gnekwmrduc
-60,0.312,-0.208,-0.3345
ggetqzcexv,kghdxfrcwl,nehscckbez,DOG
0.389,cat,-552,CAt
-276,dOg,851,zjdtwckmyc
CaT,0.3475,965,htwkkhfsoc
0.364,fiqihtbrvk,-210,-0.209
0.4795,-970,CaT,0.258
caT,193,951,-0.4515
zknwxcadky,-806,0.308,aeyowjglhc
whoiuusvxf,-352,hwighmlhej,cfnjgyzkxg
uqkhnwedsm,-843,-0.3385,cersregdiq
0.4865,efujgmdoth,pwjpngaarm,byqzubvrrr
-0.088,292,-0.1745,adbqtejyls
qmgdjxntuj,kvnuaftjpx,spmkwulduh,46
gtteazxbpz,-569,-0.1155,0.389
cAT,dOg,406,0.0525
-645,hghpmmlvvr,ndrqdoasif,qwrpwhzwcj
upnxrglkit,zebvbaxxdp,0.226,0.098
zgxuknrino,0.3245,ddeypdpjmx,qltnvcpipm
CaT,caT,0.3105,0.2205
174,604,vxuvaiwyqi,DOG
556,yvsdkzzhrx,-0.2575,-0.0305
0.2755,bekzsdgohu,-0.4695,wcylrskcmc
olebvhmahp,-0.1595,-0.124,-847
nhssonxwtt,-536,DOg,0.345
fpxwwbvutc,715,CaT,wrsoyuevci
