pydsqmaxtk,bmpkpqyqlp,okyqcdpizh,pdzpocyyap,wjmcbihptw
248,emkiwokuxr,0.4755,-0.293,-56
0.386,386,599,-0.2945,cAt
CAT,CaT,-0.201,766,dog
DOG,0.237,372,cAt,-834
cyjdebfoma,-0.065,Dog,606,280
0.1405,esxiphsafk,634,yrsfooxklw,0.1225
uqilqlkbhn,hzgwuuvuvp,CAt,DoG,CAt
CaT,-0.067,caT,-0.338,Dog
pubygelgwe,cAT,-0.224,789,-851
utbhrpatym,cAt,bnhtifaknu,-902,-967
sonjmptklo,CAT,-988,Dog,sghgsbcdlw
gitxdapuhp,869,ndcrsoswmr,jktibnzbby,lpfvhqvupp
uwcnjkyhzz,pfiglxrags,801,-775,esvhnmkbcj
wtaavvnkox,xtxzmpizzr,501,-690,dog
346,552,-623,0.351,doG
mkjnusyipz,497,wjbpqqcvna,0.284,592
-113,CAT,-0.4735,-0.2825,0.021
svgquwptsn,caT,433,-92,dOg
zwtvyowoxv,-543,-221,brdyupghpy,olukqzdccx
0.492,fovivglzwu,-658,gftlnfwtqe,-973
0.327,gojtxboguw,twlnasdniz,yuhvtmjmjx,skrvczzhev
dvgneegesq,cat,104,-0.1945,-0.3175
DoG,0.085,-0.3645,-0.1325,673
utbcqyejwd,261,0.3505,cat,176
0.441,cstlplpwbw,DOg,153,0.144
473,-351,-0.467,doG,jehlhkdqlk
ssmuoefsfr,0.4755,CAt,-0.1295,oazhptyjhl
awpbkdgshm,-895,-64,udncagjvbn,CAT
-252,620,cAt,cAT,-353
539,kbugmrjyme,0.2965,mffwtjqsna,DOG
dog,-0.48,-663,fzyduonjrw,-920
-69,0.018,0.1825,-0.3185,dmdxipschi
xbsnswojmj,dwhywzprbm,0.2975,0.415,-139
pxjysputih,wgrsdesisy,-0.2275,-0.1285,atbrazsnyb
0.3325,663,caT,dOg,0.4265
0.3825,492,CaT,efnjqfojrg,-0.259
sxpavtxjka,0.0925,0.262,-255,581
igozvadkpo,176,cAT,0.344,DOG
-79,-234,mnazyetxhi,0.118,17
cat,-0.479,460,254,smusctxeqy
0.452,0.126,-0.3425,986,0.0075
-900,sueawzwnby,caT,-171,dOg
-559,dtgedyowvt,CAT,pxunxpshxz,-27
504,-780,dwufthxelv,978,0.2375
cat,0.268,-502,lhjnkqymtr,-829
yaydgjlgyy,CAt,0.1905,0.4825,944
-400,595,lpcbfdhaxv,pzmvvxncih,-67
doG,39,xobocwazkx,-0.0795,Dog
hxmnfgmuug,qnjqmqrjqr,dog,vmvvylwxob,0.427
-0.256,-0.137,-140,0.3955,DOg
-0.1525,DOG,zopjzeyqxg,728,-959
0.2515,0.413,DOg,-677,Cat
0.3175,987,491,jpyzovtdqi,cintzhshff
-850,0.0295,0.163,830,cAt
doG,-862,vmwyhoseec,cat,-242
-328,kogxyeimpo,pbjhoovmtg,63,-0.1785
-143,caT,doG,83,dOg
0.069,DOG,igfznrcqny,400,-0.4685
253,-949,vekxsedmbo,caT,-734
snctsnongm,CaT,tjzvenbcqb,966,-443
cAT,-719,lvtkqmzgmm,923,-477
276,mtjjbnucuk,-757,-0.4055,0.3015
iopqqwerpi,glddioaerv,-0.202,224,-0.052
0.043,-568,741,CAt,197
CaT,frborpwnif,0.01,mozutqsnli,-903
0.249,-0.102,0.232,ahhbxghonq,dzktvxuoak
dog,CaT,-0.0855,doG,xveymbytaz
Cat,dOg,-827,xsntjpgxnj,0.083
-0.1855,cat,kotycxjmsr,346,cAT
yrglbnmjyz,0.371,0.315,hibhokjhej,-55
