mkwspetfet,subqvlujxa,cvvnnbigkt,zcolfckxoi,kfprnwweas,vxeooxsxyo,pdsmfljhul
mhwqpingfw,gylddnligg,fvxihfkaly,ucbxcfzhej,zlwaaaedyf,krbvkhdjka,0.067
0.411,cwmnjhgsjp,0.4965,0.416,DOg,552,bvvggsvise
CAt,dog,qnprfeyqkx,ydgdeuosie,msbtnxcesk,-0.4465,-0.3335
0.439,szvridgofi,874,-421,vsxmzfwomw,Dog,132
635,CaT,0.4125,-0.4935,0.3315,462,271
-178,0.091,jxjiuikcck,jcwcuqhxax,CAt,0.208,zbpdkakwsp
dOg,fkljecrnqt,cat,-0.2575,-0.4095,poubbmplko,-0.413
-300,pdftsyqupu,dmvzfijulm,yxskgxxcrl,-29,dkrdxwgzxp,qroorjahvo
-0.4135,371,dOg,0.4025,cklivejqap,Cat,auctlxgbue
ntbdiimngv,-0.121,uysicogjot,-0.407,0.291,649,-951
prgtmnimyc,914,kxufjiumuz,256,dog,-0.1795,-0.02
uokxzkpudv,-999,dOG,mhahlfxnjn,-471,-0.328,eskssezvsc
wxcgstyshp,hfqxskevab,411,doG,CaT,280,dOg
gnkvlpwzkp,0.268,xmvqtcxpqy,akmzxdyeac,763,-877,DOg
ezblzqxadf,640,-0.4115,dOg,0.2335,0.3235,-0.031
Dog,-0.3345,ulzzztmgyo,0.268,42,-992,0.107
-0.0535,-218,xgimastvks,307,CaT,ykbroljddw,aenfszvlau
meodfsmnrl,-0.08,735,afvcpvnoio,-253,-0.13,rrqrwkqwcz
rkdfmigduf,-615,-509,idwoilbcjw,71,0.304,CAt
710,cAt,0.3855,kxzxawxrhg,doG,yqbqahftjk,-495
0.4915,0.298,ifkuojdtsa,gkppuhiogj,44,vbohotbiea,-0.2685
0.31,0.414,ubckgkrggj,cat,-542,doG,bujedlfzej
-0.4405,gjmhenobwp,CaT,-378,0.3795,gbtgqmrgkg,0.4095
-0.486,DOG,-77,-0.2485,klnlluqeqt,vlzzboqdql,439
0.338,bxyrhjhstd,70,-0.4255,qljodvwymp,0.332,175
0.4745,dOG,0.0685,-0.4245,pdmzyumhlg,CAt,edytkkqstp
-345,790,vcjdtbdaav,qmgrekpifn,caljnsyays,rhnqgdfukl,-0.15
kwsugpyrcq,aelkwjmciy,0.488,lfpqsqhggk,wsktoxtdhx,frqlqmrtnc,0
caT,mctkndjcyy,504,vrpwrmxsbo,DOG,0.348,-741
612,DOG,-0.038,CAT,kdwjghrapj,-18,utoouutstr
-851,dOg,DOG,ljtphdwidn,DOG,0.4815,lhnpjeknrs
-527,cat,CaT,uvmusidfps,-0.074,jqpmxumhdm,-0.4245
sllvlabbtb,-460,885,-0.377,cat,550,DOg
-670,DOg,dOG,doG,0.1315,ygslqeakhd,CAT
caT,pklfyorzii,-174,0.082,-0.397,-0.3795,391
0.4825,-266,yuttybmmvm,jrksezdndl,-525,616,-615
Cat,cAt,0.0025,-725,ekmzdqilnl,hhaismrsfc,dbqsucqwce
-501,DOG,0.3285,0.141,0.3535,795,mpbicqbome
ziuvwovkea,738,-0.132,Dog,0.4295,91,vwdollbggp
0.172,-0.009,-366,0.339,0.1855,307,-0.354
DOg,0.2915,-0.058,-0.341,jkjngeceol,Cat,ltujkeiimk
dog,DOG,0.134,evrbypnpoe,0.323,0.2135,0.0975
0.12,igbldookct,kyijudpytw,dog,-0.0785,-909,0.137
gtfsnxgftz,498,-0.12,-0.2275,0.1955,dgudhmaxww,245
boirhknyxh,-835,70,-0.444,CAT,-0.2705,-0.419
-0.1575,ircihzkwgs,mhiqbmixfb,-281,-0.2945,dOg,0.2965
Dog,doG,iwucxksdeq,azwsmnleaf,0.1905,nzgdvbdpdu,0.161
cAT,-0.088,dzjgqgqkcu,396,DoG,-0.0765,caT
dvprzernag,tpyomecwpv,sbngkbfpal,-988,-0.4605,yqjtoyifgc,xouzskastz
-909,-438,-871,689,DoG,kzfsqcwqww,doG
Cat,-279,-0.269,516,upkoruhqgu,0.37,-750
elarktllzf,szpswttjgq,137,977,-0.2125,CAt,cat
0.127,696,-689,cgcqtbjdut,DOg,567,0.228
-427,mpsjnqmzco,0.447,cAT,0.338,dog,-174
-0.3785,uohvuvhjma,0.4425,-0.018,DOg,mbcgvhspmk,dOg
545,dOg,336,rdpysbfopr,-266,-776,DOG
Dog,-411,zwqhfhrtel,cAt,0.1515,xqgtcmukbe,-162
ydahvrtifu,caT,DoG,ifmlferlwb,lnlzvuiesn,0.3255,654
vxllspzcqj,0.434,615,dndsihpidx,-0.1975,tvalaeluru,vwfshdpgoa
cat,jjiykxienz,-611,116,cAt,0.429,0.3325
-0.2045,dOg,laswnffsoo,cAT,0.465,0.034,hnvbklyall
0.348,-783,0.2995,cAt,keqfeviicc,-0.294,CAT
277,uqwihhdaaw,nhznruoiha,-0.282,0.19,0.0015,227
wngakiunxp,ufpjadxsqk,-445,fxmqhnuols,qqhdgfcdto,vepiyfafdv,0.018
-0.486,-0.4455,kehdnuqlaf,100,-428,-126,dOG
-289,ocevntkslh,0.2055,767,cAt,mzrlmlsplp,lbiryxkakg
bfecdkzmxq,Cat,-370,Dog,DOG,wvjfoqwpur,0.348
-0.1235,-627,yiuxclajmb,0.305,-340,gprbwpakme,0.0155
-0.073,-0.0505,-297,-0.229,0.2995,-600,-0.4245
-714,0.437,0.2985,-0.2875,dog,814,CAT
0.4275,0.3685,-12,Cat,DOG,0.196,kbjoexjnon
sdxyqvhqcw,kftfenbwpa,zdqpvmibqk,DOg,caT,vsrqrfmvwm,khmlcihjob
hhxadkaeoj,pqfocygltw,-148,ingwuklczs,0.204,bxmemrxavc,xjnkeclcqz
