pstacwmjaa,peT,vdlrbbqskl,wfrteklxyh
wvxmptdcfc,Dog,opygblgoyw,-891
oczbgfdprw,cat,knszsqiklh,cAT
pkiuctpqix,gkijeqnepn,vkpdlldrnh,uauftkgwtm
-227,Dog,521,mjhszocqkj
caT,hryxxmfjsh,-293,nipwzmzpzc
gizhamdsdb,dOg,Cat,hkmtoyhrdw
czjzyggmtm,doG,-23,dog
DOg,Cat,fnzhpmxlaz,0.212
wbdcpqztgq,CaT,-0.2495,Dog
-163,DOG,740,0.125
mqwqjnmald,0.2195,191,-0.3025
-0.404,DOg,0.452,399
-112,DOG,0.282,DoG
-0.478,dOG,867,0.01
-0.027,cAt,vqzirrdhyo,-0.295
-0.326,CAT,CaT,455
-151,dOg,zhzcodhblv,-918
0.2205,CAt,nyscogyzpm,625
-556,Dog,xhueawrcfj,-971
cfrcrsasyq,cAt,puggdwkjst,-0.0275
0.114,dOg,-0.3265,-356
veoghqargf,cAT,fcozegfgpv,gwkraviwkm
CAt,869,0.291,qadtdvsnvd
DOG,DoG,-0.3955,erolyxewim
147,Cat,41,-393
-674,caT,rudaokibxn,plcxdcusep
-0.239,473,359,0.36
CAt,cat,dog,0.4085
ujzmvvbvhn,dog,ibzvkcbkga,268
-0.2765,dOG,0.3225,hvdjedsukd
-481,Cat,cAT,-498
-0.3795,cAT,0.4125,ndqkovyypk
CAt,DOG,CAT,dkzjcqctch
vsuhkzcxet,imrjdxifed,-206,DoG
xixhpsvgqs,qhsctzlvjp,-986,jatuxxqzqa
DOG,-617,368,DoG
0.326,cAt,-0.458,dog
0.124,dOg,Cat,toegymumtq
phcghjlkzg,yslcjoobvj,doG,-0.058
hooiiagkcq,cAt,-0.3025,-7
wslvezoyea,Cat,0.1105,-890
xgjjvmbpqu,cAT,0.4095,-687
Dog,cat,ydipebutjq,-0.0715
-0.4025,219,-0.271,-380
prmehmmnpe,dOg,cvgwwozwhg,726
Cat,CAt,cat,qbnzomauua
dog,dOG,hdgmihrusd,dOg
0.1935,cAT,0.1505,0.074
530,0.2935,-683,CaT
0.2295,289,-175,-0.2945
291,htrwrypkxb,DOg,btrtdbiecp
-0.285,CAt,dOG,cAt
99,-902,ugvrszfhkt,0.439
-0.3215,cat,dog,grwdxqnhva
cAT,kthqmcllpu,-809,0.132
kujjmfgqyb,cAT,226,cAT
qpvvndsffv,Dog,CAt,caT
-0.4865,0.369,-834,0.362
-960,caT,gpmflvcdrj,0.113
obrprzzbkx,CAT,215,0.1285
hdggibkoqs,doG,CAT,DOg
-0.4445,0.223,780,-0.2105
-477,DOg,xsaavrhnxn,-0.0705
-0.3395,DoG,DoG,cAT
CaT,caT,-7,zgxvobjzzb
DoG,doG,0.0515,-198
0.103,-266,0.418,0.183
iccjdlkhdx,zondosgmjy,-0.148,egwkqhbkcb
-0.22,cAT,690,wxtuvekqyb
syrffxqutt,pkualllnbc,cAT,aaahbtqcwc
CaT,DOG,0.093,0.4275
asrjehqthq,-0.2315,0.193,0.461
lnsuiznjzl,CAt,cmgxxhwmvz,-504
-0.412,CAt,0.001,-0.4295
-0.158,Cat,211,dOG
idhknxaupu,CAt,DOG,-0.2495
jpzyayeqvv,CAt,-0.485,-0.013
mlcdxwqdmu,-0.321,-480,caT
-279,CaT,0.133,qdwvipvmof
-648,doG,CAt,dog
-347,CaT,-0.0015,195
890,Cat,dog,dog
0.1735,dOg,705,0.029
0.3045,CAt,-0.318,-787
-0.4865,CAt,qegfgkeyiy,dOg
ddhinvyxjy,dog,doG,-456
cAt,doG,0.359,0.374
-0.15,CAT,vepeacausf,803
-800,290,ptdjhgptcq,-934
