mkvrjoawnn,fhmtsibebz,freilyabip
0.149,222,676
47,65,600
iajutuuvnl,564,0.4545
lkxiqpzxuq,-0.0025,uyvfbpanor
-533,tghxrtnmoy,-0.056
498,-437,rajjwiqcjj
CAT,-69,-22
-0.058,lenhhptfsn,CAt
doG,0.306,esynjwzihb
0.145,-43,405
Cat,Cat,-0.053
983,diiyvbawrt,drclgcssli
-0.136,-849,0.0905
wcryvoxoso,-376,892
odswawmpec,-0.4055,-58
cat,0.1325,-852
-564,kojdmxiere,0.4475
dOg,CaT,zqeygomsyx
vauekrdujh,-0.06,0.2175
mickmalyxo,-494,xqfybyywmw
0.443,0.261,-0.1445
rvnpvefvid,-793,mzmsguqvdo
uujldbuoxo,-0.219,dOg
caT,cAT,-0.335
fuscpoyvnq,11,196
-0.2965,-0.0675,gwjneudfii
caT,cAT,-0.1675
-27,exhxoojelg,olxpivumyp
-0.059,0.465,doG
zdxjtoqsuh,593,dOG
yweflzuxcj,-0.3685,wqibphbjsy
-0.4105,zrsfrbfmvs,caofbrvzea
iyerrzfqez,nfbsghgmrl,-405
unzshyivon,-0.2125,CAt
0.242,-0.1965,218
0.451,Dog,-228
-0.3295,278,833
827,dOG,-111
-232,npwbfrrcvl,DOG
nnnjiiyhet,480,0.3745
-419,-0.4375,0.2665
qbuwzvopyr,-954,iptcvpkaqk
rreimwifej,ozimnskrew,-373
-0.1475,-0.2015,0.31
CAt,215,DoG
0.199,-0.064,-0.2815
-230,qhowvhqwcd,-81
841,-484,pzjjrrkace
0.3685,-0.296,0.3745
-0.2885,0.021,841
46,-144,DoG
ibyjuomlfx,-0.2565,vhhgxmktrp
CAt,valyxpwvqq,0.1265
314,flromavekl,0.4455
0.415,-0.1385,kdspkdytug
0.1745,CaT,-0.213
348,678,aezgmjsjcy
-338,-0.048,ehyaxjtmyv
946,cat,-0.1705
CaT,wirbgjjdkn,824
znxzdtznfh,11,lgzaymovav
0.211,ivyvrnoqhf,0.47
-0.0235,-0.024,-0.2575
-0.478,sgxelwupfb,0.1895
0.1415,DOG,nbeuxujxrf
akqqrcnuvb,fztzllpawj,caT
-0.411,uwinxquiaz,0.4235
bsxzphukgi,lpwuuhgxvq,dOG
642,nsmjsqgcxe,olfrwunccb
gvrcostlyh,rapoyewngu,-0.4505
0.1475,CAT,66
qdqrqcqvvd,-0.206,pirudfzyqp
cAt,-0.376,-125
shljfbwpeb,-0.1365,gzupgajckr
-0.1235,-0.176,rfrrioiwkh
0.3315,0.096,-0.2965
-0.434,0.387,CAT
-887,274,488
dOg,euughgpfzm,730
668,DOG,tjoriojlhg
-0.4425,zzmhainbil,evvbtwnanc
-0.1675,fefvbbnqev,mxlntqnsrl
-370,9,-287
-115,-76,-317
0.004,DoG,-594
dog,164,zibxkqzcpk
DoG,vsiohnbyab,0.2095
-0.166,-591,-751
507,-240,124
0.483,0.2695,DoG
jpbfldndeo,-797,CaT
-441,gkzgouyocd,0.321
-0.299,-595,CaT
612,289,cwhznohter
193,917,-0.1745
-0.386,pivmjrpbvg,rkgbaslgcm
nenqspddcg,CaT,qkebdhkjri
CaT,-0.0215,950
fosztilbsd,-702,qmtodcpbca
