brlergohsl,gomacgunzb,oyzeoyizfd,estzhvryvz,tpceunrhxm,ocfacymtsv
dOG,-684,vyjdbzrliq,0.0935,-432,0.0715
ztyxpcywbz,215,-40,uggnpvacnm,-500,jomfdsatou
taymaebgvf,uhfpcwjsle,dxhllwrepf,dog,saxegrbnkf,-67
-141,-0.272,596,-0.048,-0.192,-394
dOg,-179,-0.155,poxeufdpxd,903,-0.1955
-0.3175,qqcavomtqf,xigckbnnop,514,caT,-0.2795
caT,0.2565,jiqvjhkbmz,uqfsywtgvu,dOG,0.0145
cAT,-0.3895,msxqnkeygy,904,252,mxfozkdghl
CAt,0.2875,doG,CaT,-914,696
0.2145,0.134,ifttajswcn,-550,0.114,782
-0.2175,856,-0.054,-0.106,mjxqpguxdy,ingullfuzx
-181,841,cAT,vcctuwmblg,mgribruqbi,0.066
xlyhjyiaqt,kdwdadalpv,cAT,dOG,425,caT
-97,qzspsxmnfa,-0.494,ieuvzmmmyn,0.484,0.369
DOg,-0.4395,qhpmzdvpmx,-266,hreszvfubu,akrczomnbl
fnuhnmmmfm,-463,cAT,rufhcfruuc,DOg,dog
321,473,tyimvstexv,0.473,ewolpgqhyf,-0.2215
tcloopbscy,717,xmdtjccqak,CAt,dOG,ehjfqkajaw
0.081,-185,fbmnpldiod,886,-434,-0.411
0.268,315,909,vmajaavauf,oycmnjktbv,21
Cat,956,CaT,510,-537,DoG
syeueglwby,0.095,-0.454,-548,-265,0.2365
-836,71,0.2715,34,-0.1115,937
0.132,0.0315,0.418,fhwefmkqyn,0.376,-0.1495
gzjxpnphsj,-0.482,atzjcltula,doG,DOG,dog
0.3735,310,723,lxiqxraebe,-28,crgnctjzoy
-0.224,0.1965,0.259,thzhgaceyn,-0.0705,0.0935
800,khobvwncic,0.273,0.44,wyyjpzfsvm,662
542,0.123,0.4605,cAT,cAt,qydqlvnrmi
zgkfslsdys,12,DOG,990,qoqnolkowi,-0.19
-100,dog,saevurcbkq,-0.447,CAT,0.181
-0.3765,CaT,-730,0.0955,-0.094,dOG
