bvfjyzejad,ludjpukppj,kwjcpltpno,nqovpzlyou,rxzdyczteu,rnfsenneqi,qhjkawwvbp
375,cat,jurdlgaqkb,495,213,xpqudhfxzv,DoG
790,ljfpqbeeuy,542,259,dOG,kvtprxgkoe,lyrgfgiasj
CAT,oankgglhbv,0.194,jlpkmwuzfg,Dog,349,-0.1175
ovjsbahaox,cAt,doG,-266,706,0.476,-795
doG,-0.0165,556,-689,vtnpcygfzq,aqxsshaakr,-913
-0.0165,qrwxcjhqjp,860,0.399,905,328,DOg
zwptafbzlz,-0.3475,-961,DOg,pfijxmxujf,-795,nsbpsszldc
oidnwzbvho,hfkutxxxzy,kzqhogkpoy,-0.019,-0.4485,azgmdjxhsv,DOG
CaT,159,-352,ddaurkhlnu,Cat,cat,DOG
-490,ealgpgunia,-800,195,hhwahkyzvw,psxqixzloa,lzsqjptizs
vxjwpzdqor,-0.3485,0.1875,hmoqmbdqzy,ullxnzkwfi,cAT,CAt
pqonptocur,-0.275,-0.375,0.157,0.0005,-0.291,vkwpzfyyhr
-127,-586,doG,900,-91,-541,-0.4115
-0.1605,DOg,DoG,ogsbkqxsax,0.0535,-7,727
outoolusbj,txsooicuoo,cat,dOg,184,nzkgglbfqk,-0.1175
xypjpkuyeu,0.172,pporrgiabj,-0.1225,0.4735,0.4995,0.2765
0.459,CAT,-943,dog,lehibdwlwf,CaT,166
itwkajjqsm,-0.2545,-0.4325,qruofymyoy,455,0.301,13
-0.1845,691,436,378,396,DoG,172
cokiasftrw,-216,nzliqobdgw,DoG,105,0.374,-737
-0.253,tcmtyzazka,-0.1585,-0.1825,0.3765,xqrrclocyf,kfivqjzqjy
-0.3355,163,ccdnnstujr,551,39,riwwptnpnh,nltkrwkwdc
eheuzemqpf,-0.458,dibaxxupgt,doG,-151,gfaidwedkl,-977
wwjjmpkdst,0.0645,592,-0.2735,-985,DoG,-287
-0.1835,CAt,0.17,-38,-880,-514,-317
-13,0.2385,467,cAt,-0.2415,ullqxlhibe,0.471
-0.122,lzavkwjgqb,376,uhbolvauoj,kupialennk,DoG,zmtzrfubgq
DoG,-0.3735,tqogwbyduk,0.082,-47,dOG,814
caT,0.482,cAt,938,cAT,kavbdnmowj,Dog
doG,-530,81,60,cAt,-0.435,-0.4905
baetwipjiu,mpkoihpctv,apidtmlcfg,jpvvklxeru,grgpmhvncu,CaT,fbhbimbzoo
74,311,DOG,-0.018,iobyhelbho,-731,Dog
ktylizyadv,-0.2475,dog,dog,0.3355,-217,-95
oyozxlhmha,tiphpefmsc,0.0915,cAT,-0.003,Cat,0.187
fbgchuupor,ndiinwjpms,jdoqlqusco,-348,cat,-192,klxlqxmlpw
-0.221,omcwxiwion,-6,0.494,4,-0.4525,glovelbiii
-565,CaT,463,dOg,yfubbjehyz,wvrfycdenx,nlwivfohfa
olofduhavt,cAt,0.3455,807,mkywqyjvno,376,-232
tnjjrmqraw,dOg,-0.319,zzmiunosof,akpezubdsv,-0.216,yzophjrimh
zsixdthqqt,usbeddjeir,CAt,0.4495,0.0765,208,DOG
vichgbldqp,ugqimlujak,-0.4305,532,itdlucrdrw,-0.046,dvosevvmeo
-693,0.151,431,cAT,CAT,0.3725,0.257
-0.289,cat,823,-434,-356,0.3525,rsraxofdok
lwhhwbizng,0.0835,-463,oklivtexhy,592,xhklsyxxwu,-621
vancivsljk,rtrruavkgj,tyovtbxsvg,yibbigdkdi,-0.1635,614,hysnwxtyvz
116,-0.014,anevkrrlxs,-973,-205,0.454,0.001
928,Cat,-0.45,-212,gjfswvejgo,0.0505,zrulskwfax
nhiafmrijh,dsfmkwrvne,0.408,cxptketlmz,doG,dog,uheguvgssl
-471,-948,cwphteqmio,0.2915,0.0645,zwjvgmcjof,cakphhmrgj
wgrytokgoz,-630,Dog,0.375,joucpcnkgo,0.3705,zowcxoxkxr
846,90,CaT,-0.0245,dOG,kmieylxwnh,-0.3595
719,nwlxowavzl,cat,owyxaofbzm,lsbjvflfcv,lclagvzjga,qumuwtyfgz
DOG,-438,CAt,-0.3255,-0.147,-0.133,395
0.191,0.0065,kmtsfpflla,-0.256,-0.052,CAt,CAT
-592,uhlmhpphkn,dOg,-964,cjbnkmpzrb,0.1555,qmpogwdubf
fzbwekrkcd,-718,0.3225,zbjcbsjekw,gznbburilk,-615,0.0715
257,0.005,pzugqkwtyt,cAT,CAT,-34,xlsbibffhi
-0.2785,nvpzbtioqi,-0.3315,-0.251,CAT,-879,-253
xyrggcohxn,qoxkbmyaia,ebdnuumgaa,0.2925,-0.1155,-616,-17
295,cAt,-380,Dog,-0.462,0.4685,cat
-0.21,-713,0.129,ucfnvzfulw,fevwfhtrcu,-582,DOg
dog,-5,Cat,cAT,520,caT,0.4515
iwkkyxapra,301,632,-885,caT,0.154,CaT
CaT,772,807,dog,-0.227,ovgxssxveb,246
0.088,0.0975,rbakaqcyfy,-0.175,zowxxnhbwq,afyitiegas,azitilkcmn
hlywllmlik,cAT,dOg,cat,520,hbefsranta,-351
-0.2685,ptzpgcnimc,839,ivgkawvvrd,hucscjnjja,vprgettcjm,-757
cAt,-128,0.411,jcphdiqfnr,537,-0.1745,qeuyoszlig
-678,CAT,DOg,zzsnuxtwdr,-0.2285,iedoopuobh,doG
CaT,-0.328,-521,-44,xqhgyfxhxd,-439,205
759,dOG,vglluzkdnw,-145,-0.228,592,xxapmqsnrp
-0.367,cAT,223,-363,0.1885,0.401,294
647,-0.384,eyboefbddi,-81,80,-665,-0.4915
0.365,-834,DoG,-0.4925,0.4665,txshrdzyvt,dOg
-0.486,-989,0.232,0.307,-556,-0.0175,-683
0.065,-0.44,ucrzdaroqg,xumftwjupl,-0.2145,esybjzsted,cAt
-0.32,DOG,-638,-284,dbgksershp,dOG,0.408
426,cAT,229,931,0.4285,0.063,893
-361,jrwqfxotsh,-0.4765,-215,yerglyyiwz,856,-565
cat,601,0.36,auigfphlmc,-0.4105,-0.457,-0.4345
-714,btgjokrani,Dog,CaT,-950,900,uejtdkuoei
vppgbyhddh,lwiaotqozx,-715,546,pnrpiirkvz,-795,635
-188,Cat,CAt,DOg,0.113,0.088,568
