rwuukfftsw,rfgiunyoyf,vjdgpmjycj,cuwopjhvke,nxvnmddcqm,moggubhspi,qieevftubd
-840,-368,292,teogyhwnzz,195,ezgrxokupl,-606
-0.021,545,-20,145,768,ivdfnxdsrj,-170
0.452,0.074,0.404,CAt,nudzlppkpk,741,slpvqmlkwz
CAT,-0.418,ognhvodvxi,rsqnqnotey,vejybdukvd,-0.029,-0.2465
0.085,cAT,cAT,-701,cbyvtyeeoz,-364,916
-0.4665,iqmvmldrrk,ottkblzpku,cvxjmqxfwh,hjwmyshbnc,-0.0025,xslptbcqsi
346,doG,cAt,dvioudnekq,0.2915,0.4875,udnavgijdx
CaT,-343,104,430,hkiwwbbiuo,-0.082,rtqikzhqqc
pzxwywyvts,148,cnqvyxpdrd,apssusmvka,DoG,-0.0645,zqboibyghb
0.0755,klcumiaztj,wmrsiglzpc,jugtwfkzyz,vheeohgznu,mcbmqmhnbp,dOg
-0.4055,-762,xrpnbpoaqs,ekhpzblqei,-0.216,-0.2785,554
CaT,mniloznsth,-123,tayzqetabx,-0.16,-598,asvkvgqcmi
989,-0.2885,dtycaleykg,cAt,gvveuwqyzc,caT,-0.0895
-0.3515,-0.467,cat,0.454,-0.344,-0.0975,mnigtrofqx
xhfohrzmkn,-0.219,0.3085,0.424,tmhgcpvxhl,0.197,0.294
zjgxabimiw,rzrwqvgfap,-0.091,0.031,CaT,ehlapaztio,-0.307
0.111,CAt,-0.4045,932,676,0.1505,biybadqahi
0.3625,977,-467,cAt,-0.387,wqvgdboftj,727
634,yizuyndyjn,-0.015,-0.477,rzmwjbztos,134,jduivhxhod
caT,845,Dog,-0.4155,DOG,cAt,dog
-620,0.0925,0.463,zyiotoofbk,-0.331,661,-829
331,486,-180,ytdqlaiyrz,-757,CaT,343
ltfyotgvyg,341,caT,0.2015,-216,0.011,0.0345
sbbfdcrhdh,0.0285,-0.2265,bmnoimnxpb,DOg,houqihnqlb,-0.441
awkpuoijgg,CaT,gunhmwcmfp,0.1215,-941,jugdcsdhxl,cAt
dOG,dlasdzwhpf,CAT,-534,cxvlmsrbpt,kywpqkyxrk,caT
iuxurzqmrf,0.266,bovxwsojsa,-926,904,425,DOG
ttvbkeipgm,tbcxiccbva,wfgjkvuogb,-328,kzakmsdlsa,kwnlfujxmo,doG
pcipdksigx,-0.492,-949,-0.3135,712,-0.292,cAt
881,-0.04,0.338,ebzqbdglnl,366,eqgoobfhuu,CAt
kxcvsjjirv,qegopojdxs,371,-0.2855,cat,bhltgrfijb,rmtbjjqdam
dOg,orrskdhgrs,-963,lczucxifbf,0.2865,Dog,llracuwkcs
-0.286,0.148,jlthvzjmgc,579,inwasvigvn,-513,zvydyjsnqz
lleayikqkc,-294,nubyladern,Dog,dog,CAt,-422
305,-0.372,-0.4145,DOg,stilymvbfx,0.2325,oazqmfestp
59,befyyeeule,-0.353,ygknsqrteo,0.2405,549,0.26
-0.439,hznvcyogqq,0.1745,cfdfheiuiz,fxufsjioif,CaT,CaT
-347,0.329,-627,-0.3975,doG,-0.1365,-0.3615
ijzurogeny,-0.4715,CAT,-7,tzyrviiyzy,hcegzjeavl,DOg
48,Dog,cat,-42,sqlmvwuwyd,474,yzzmhbgfvj
doG,0.4815,uxualjazok,541,0.3995,-0.4195,wzcbbmzpwn
0.235,0.163,-324,593,azadiyeumd,rcxqsxfeny,978
0.2405,-817,graxfpclhy,cAt,-267,0.083,-0.1755
-631,188,-646,-770,158,0.254,pxcakjgftw
rjqlxthgkg,-0.3665,CAT,-0.1325,0.0895,-0.264,zqahnqlznb
