tfjaagqzno,peT,ofhsqrywsc,glldzelowk,lcawzzumcr,phrcsqlnmf,yplvntnnxy
-0.2685,dOG,Dog,tysvekjtag,-0.295,-0.176,0.071
-857,caT,-0.144,666,vezmfkyohw,DOG,802
cat,cat,gbikqpvynk,-0.4105,jfscqgaiej,-0.4415,nsgkwseztf
CaT,CAT,gcujssaedg,-0.1995,tqjxttxjnh,Cat,-0.1545
DoG,0.3995,frtskiutvo,-512,-672,kcihkdmhlu,0.1375
-34,-0.452,-954,DoG,-41,-0.1045,caT
njfgpkameh,DoG,-0.2085,-494,fgepdtocam,umvyanrxyx,-0.356
elepkpnfoy,-0.092,0.1265,0.4275,iingvsejca,0.471,tjcwptrkqn
cyqxdzsmyx,DoG,404,ukdmjtprou,799,esuocptlvb,-0.341
0.3315,Cat,279,pcikfawmqh,308,nqhclgikoi,537
cat,DoG,cAt,0.4395,Cat,DoG,ipqhmwxixy
-0.3665,doG,Dog,-0.127,0.4425,0.246,nnhzfpjcnr
-0.317,Dog,0.1205,doG,ukqptpnwnk,-334,ktshpllbis
-0.431,-0.213,qwyhczxvcj,-0.2085,xenvrxtxxg,tkxfknzbpn,-249
yeybwbonaw,-686,qzvtostrca,doG,-0.1655,cAT,0.099
0.4785,Cat,0.007,CAT,0.3615,tafwtujcil,620
vzflxvgmcm,cAt,0.336,cat,0.43,-367,-674
sbnkkywswy,0.352,0.2885,447,CaT,zbjcwdrbxc,eqmrzbxxlg
ghulcwrkxx,0.2275,-0.339,caT,orjepbbzam,Cat,-991
-521,DOG,mzemhhsevi,daklmfssdm,kdpfflqlml,-28,oncnfwmlwp
757,lmlshfhmjh,0.331,-0.4725,vjsqgudokg,-0.2865,0.058
-476,caT,0.193,qkcmzevfjp,oezmiodksw,ygapbidwyk,CAT
-774,CaT,-848,-0.415,-309,cAT,udlmwcegpv
-568,cAt,ynjnffhrah,jhfwopjatl,DOg,-74,0.2415
DOg,cAt,vaeepuxfww,-556,-0.4915,cAT,0.4285
-274,0.1595,-0.409,ownfbphelf,449,lluzdndjjo,0.322
0.441,cAT,-162,caT,860,CaT,kwekmtkilj
CAt,doG,0.459,accbzfrymz,-67,dlkxoguwdv,0.4615
828,CAT,xijxcesunw,mvgpworkvm,-669,-267,DOG
-502,-0.0185,DOG,-0.22,-0.1895,0.2545,-212
-0.202,caT,DOg,Cat,-959,ybwbqhyzod,-609
949,-35,vnqatcjnkj,cphidechhc,ngthkbsbtv,joffuuscua,Dog
-859,-0.2235,CAt,935,295,-440,mkqpckhjkw
cat,dog,bndlmmhpdo,-66,794,lgfvmpzdql,uacyonnzmu
-28,exjhdetzzr,qxskvqmdmv,oherojakiu,0.071,rclyrpoxip,doG
alstvahkot,Cat,rezcobhshn,-0.374,doG,CAT,Cat
-0.3275,cAt,-329,DOg,CaT,0.423,-236
xchpskodyp,Dog,-0.2055,-484,-76,209,mukhwtazlx
vrkknpbhqb,-0.401,xgwuszomps,vzgsfcaclw,qudsinisxr,cat,0.4945
0.1165,dvmspxmyhq,-150,qsdnsgdhcj,-0.0345,DOG,0.111
-0.2805,Dog,dOg,-561,-0.219,meriqcyrki,-467
-294,204,820,fjisfqaaeu,-206,maebnldxiy,dioexyntyj
-312,0.239,-0.045,dog,-0.494,aqkmfuhdlv,zajsupxtug
CAt,cat,rpnqubhlrd,-69,0.1955,-0.447,dOG
138,CaT,0.375,277,541,522,kewlrtlmoq
0.338,DOg,0.057,-0.2725,-498,0.4725,vtplsqakwp
763,cAt,-0.0005,-30,751,jabdkcekhj,ydikckqftx
zzqtdxmrzs,cAt,-0.1805,-0.372,0.4255,DOg,-0.039
cAt,728,cat,eybhwsnrja,644,740,0.2955
-0.0345,CaT,520,tlduhumrfl,dfwhyewycq,qdfahamyve,tdcxyqdxbc
0.176,dOg,sizpcrjmpo,-973,-568,-0.4295,dOG
-61,-0.09,-0.073,caT,uvnnjvgppt,elmgttbgys,-0.0755
nophipdyee,CaT,rrfwhxocct,znbpjlxter,887,291,mwdqjrgfvh
ebvxdmcian,cAT,yaxidqtzlw,cat,xjxemacrzj,fatmlixfjn,0.4485
sztczropkx,0.413,ldfhuootey,doG,yokslvnluy,Cat,-0.4305
0.408,0.2165,105,-0.246,nrzurcfpvj,DOG,-396
-311,Cat,DOG,0.408,-0.1745,rlrahnsjtn,DOG
0.496,dOg,lyjglsdmfa,lvlitaywox,0.2745,xnuasdxvyq,-984
fezxjmeiuj,DOG,0.2035,cdyszkdatw,ntjlxllveg,-0.0855,dog
-0.003,dog,gjmqmplwdr,dOg,qcnotrnlbq,cat,17
bahaxfxwrd,cAT,0.0575,0.287,-0.413,zkdcymrije,-0.4775
-0.378,CAT,-104,rpymdrpcgh,0.127,pjwzuykiqv,244
214,caT,-28,-519,713,672,cAT
846,321,ewrmoalzis,0.266,dktgkglzoc,390,0.1415
CaT,CaT,-0.2885,jtjbfamvnk,931,-665,DOg
82,728,-142,-881,-14,rtldqgzbpf,Cat
-271,CaT,doG,-0.188,260,0.1215,-0.174
guddadodnz,617,gjwmslylnv,xafkfjmxmk,wzshykkjup,655,-608
0.0565,vxzrahqetv,0.495,119,-0.123,-0.2135,-0.1925
0.134,dOG,doG,caT,efdfqfymtm,vtsbadoexe,852
CAT,cat,-325,0.287,565,-0.0215,cAT
-143,0.1465,0.417,-0.3345,-607,415,-0.436
cAt,dOG,-0.078,-0.17,mzqgvkjkbq,cAt,-0.4985
-0.122,cAt,DoG,0.2445,wtmxsgpmzy,-0.2525,gmgkplnjck
-758,cAt,tlnriubtga,-742,-0.067,-823,-0.385
ytaajrjrij,CAT,-41,-305,dOg,-0.429,-795
cat,630,-205,iapbyckakg,DoG,ngaideyqhu,ivndmmkvsy
-0.023,eirwedgxrn,376,-0.374,kmwlpicgiq,bfqssvgbtf,-406
0.269,dog,caT,0.243,DOG,-572,sxadntetdx
CAt,DOG,0.2835,948,DOG,dicscrqgfp,cAt
paebrpwcww,Dog,CAt,butodtqutt,158,-867,dpivpaytqh
-0.3115,DOg,0.5,239,ttzgbxhzdv,eqhoqdztyq,392
41,Dog,ywbblaanvt,-78,tcjzrzoxtq,DOg,blllqtxbja
0.0435,-0.3275,-961,330,919,0.4985,saoavsjhyz
