gwiwddmmmd,vlrnkpqdjb,bbjicgkdnj,nrmqbygszk
-0.2575,747,qfwpwtegto,963
znujihstet,0.02,cAt,glvjiwitol
-840,-0.189,qvkzvgeplu,njjzfqjaah
317,-265,pphzvmcmno,gdlelawbjk
-0.4635,ewhvmptnfq,-95,rczyzrfpwp
923,-0.1635,cat,bavvmpnasg
ipjjgqnpfr,-161,0.1535,-0.0145
0.478,hipggrfonp,0.1825,0.47
0.0305,gfxanaydlb,gepirvnqcg,-0.356
0.4025,-139,aobjqlaqgb,dog
644,DOG,caT,tizvaqbtny
0.09,cAt,104,36
siqddvkjhx,0.211,-0.4015,-287
hcmjplerrc,0.4895,qblpysibbs,798
0.0545,gooyonvahe,ayvrlxspnh,0.31
834,ihtyeraofn,-0.003,cat
-298,rdfalllyus,-0.302,-938
vpfxxdwufg,401,-950,0.143
0.4345,-962,-665,-0.0025
-376,-0.443,0.1565,ryeftqqowc
-716,894,epfydolrqd,dOG
DOg,-0.0195,kuiujtwmuk,sdsvqousiq
-817,fwezreczhn,vcoomjouzo,-0.241
972,193,-199,wbwatvcziy
0.1895,caT,-958,depdfcamsw
ovtnaiwrjr,-0.134,zwjebnlzcp,CaT
444,qkrmauraym,DOg,967
541,960,209,DOG
hmoxtqrdem,DOG,-310,ovjnwajuep
-313,cat,-702,120
768,900,nqquvkybke,-276
DoG,bfajcuwtkd,dOG,258
51,cAt,fguifaudlj,-0.358
0.4575,-0.157,sdjfkqxhss,bpwfvaisut
doG,dsuyotmbmd,-0.1915,296
cAT,-181,-385,-0.46
jwnxplaloa,gibxkdftml,rljmwyrkqb,0.386
-417,CAT,0.4275,634
rcbzrrlyeg,ypkvypxzuz,0.0645,-11
kolwjvrett,-874,nsahtzjzrb,-0.3815
Cat,-0.3695,0.022,doG
