cbxredgvrf,kserffqzsr,yczdnbpiqk,nxxpzmxdqo,caoekdfsrm,qsnvkgough,iiplkmamqh
Dog,zmipedsvwm,hoootctdod,0.065,cAt,0.3785,DoG
-509,0.011,ygfpualwuj,Cat,-881,doG,doG
0.1925,ffqelmdxkd,CAT,-0.0455,-0.3205,ldackzulvh,uwigdimgcm
cAt,0.345,cAT,-0.05,-0.0845,dOG,776
-0.2495,0.1445,354,-0.0765,fqporjioyc,-371,834
94,-894,-0.1495,-0.219,tifmrqssmn,0.1955,lnllfboxnh
nrpbomuwjh,-475,-0.2685,221,-62,-0.0365,CAt
-0.255,paksjohxts,-0.3965,wmzqwlivpa,mabuqatmtp,240,DOg
0.3955,iqbgkxzqbg,CAT,0.4635,dOG,-296,74
-0.3935,791,DOg,wufljbjdrz,0.4185,-0.4285,-86
ttsjqyeymu,iqejapmwir,zgyymhvprz,cAt,-0.462,-0.159,evgwexbgpv
-0.1885,ulypcxtxmg,-0.006,ubosqyvgxa,lwzrjaxtac,qwnigkexcz,pyfwfdysqd
epodjprcst,297,0.146,-0.2835,ibjxanxnea,obltpqjkym,896
417,-73,-912,xwszkmutwk,advcllmllp,660,737
0.234,CaT,-234,44,0.412,vgglrkbxjc,-814
-0.4015,162,hkcaacdzsz,-32,Dog,-806,-0.1
-0.0555,0.181,560,oyouabbnbe,offbnnkzpb,DOG,ryxqxcjhsu
0.0345,cAt,txplcowmfi,742,dOg,12,0.4615
-0.4355,adtxlppfof,ieymwdlrva,dOg,-172,onvgmjqcrl,-0.286
lzncrbkuzl,-467,8,-0.08,caT,Cat,459
zhnuxvddnl,697,ibreqkejsd,0.3205,0.009,dog,dog
-0.1875,DOG,0.25,403,kyvqonogou,290,548
CaT,760,799,dOG,14,-597,caT
-0.168,0.339,0.268,hczupzktzu,afrusyqmdd,323,566
caT,cAt,100,502,916,DOG,cat
-184,271,-718,CAT,cat,-0.163,-568
caT,0.042,cAT,dog,0.306,ykcjwhdmic,0.4745
suiegfkgik,73,0.3715,0.416,lpxnwiiasu,CaT,dOG
-0.328,ltgbebnkib,kohqdtvjna,-170,-632,-563,588
-60,hvvmkgfcjo,0.4105,DOG,Cat,-0.099,xrdrzzffsi
twzuzmyyls,459,cAt,411,321,0.4325,qraesgnfvp
-698,157,doG,tlmzvdvdkm,-546,98,-747
akhxhmcbmn,-0.388,-993,179,-0.158,xnmlnshiub,lyzisclknc
228,-0.402,DOg,CaT,-461,dog,upyvjyfair
-794,dOg,DOG,-638,555,-0.366,500
asqwbyicvw,45,18,edzhjvygfj,-388,sueircsghx,-0.2045
0.2685,-716,-0.175,kezxoenywa,CAt,413,DOg
-0.375,0.3575,637,254,dOg,0.48,-0.4495
-760,0.3535,fwfafjewpk,0.4755,llptxmvjzu,CAt,-389
dhpxjgwkbl,twiiomsyrg,qgvyujvcmb,emtujwabox,dOg,0.0695,-0.142
-0.159,iebnxrbhvj,dog,-0.3475,cat,-0.1505,-0.043
-981,dOG,lbyskibtvz,imskawmuos,0.011,121,cAt
0.0005,400,0.4455,ibrcjahuvb,0.36,guojadylwy,-0.403
DoG,dlgkbkjgss,-0.462,0.112,95,0.38,sdexjwnvon
nfmixrbqeo,722,nkjrgnxfta,doG,sodgfjslnp,0.2985,CAt
