hrzbckbjww,imnxvqfzor,yhdmvhsvcl,owiqlnrtgw,hdrjcgdemx,nmeeaxulcj
-864,ztlixhszwp,0.2505,-0.047,wqharztwvq,0.4815
-176,-153,510,thbhgnoagv,388,xxfxhidpkj
0.232,670,-0.1175,616,0.2575,-0.3245
0.0705,cAt,gljdlgycbg,-0.4005,0.303,0.0725
ymokrzknzy,oimfunivzy,-0.1215,nwhkhcmfpz,224,dgqpyoqjkd
-0.3475,-743,0.3405,glcrzontzs,-0.0675,-417
ergwortzgy,902,xgurancclk,0.3035,-0.159,-117
sgiektbnjp,-254,-0.3535,0.3475,qaczmxvqkf,0.381
0.3475,515,0.324,0.231,970,DOG
Cat,-750,455,trnssykqjf,-0.205,-781
339,dog,485,ykqevditxs,-801,-745
968,-0.2655,-557,DoG,734,aarehuvqzw
cat,cmchhzpljh,-0.322,-0.374,DOG,rmdlufafpw
jnwkwqrtgs,nyuyjjkrfm,0.0675,0.461,rymjlpjivc,147
522,381,CAt,0.1565,hlbcsmztbq,cat
-0.1875,569,syoxjuyhbm,vswexxppne,0.431,zxlymakhtm
eqqhibueps,738,cAT,fsqvdivziz,rjobasjdrh,cdykpdokxx
cpfndztbuh,-0.194,dgdkpdmvhw,-994,-0.314,507
0.1785,doG,0.1,489,uolspqavuk,-0.282
132,eeemwiesyg,904,-0.0425,kvxctmykll,rehudaebjl
xorjfuqpkf,ldcfairznq,0.449,ychycfckxr,0.315,CaT
-0.0775,-518,-0.0925,vzbvfccqly,naqvmbztpp,-974
tjfvnzfufo,0.221,632,boyfhoodpr,jcbzzkzoyy,0.0965
-819,DOG,lchnggrwqi,-144,-85,fkxnkeucoe
CaT,122,kxfjmzhzor,xygcmxvepw,-0.345,-0.4865
slgldtrkwd,dOg,CAT,77,948,850
589,-351,80,121,-451,ozdgkvlatr
0.431,-603,CAT,-0.487,-0.2455,CaT
0.103,813,odugwmeicp,0.351,gpiruqqgcp,sajsonrkqn
-0.1445,DoG,yeexslvjet,-768,936,0.0445
-483,doG,-0.445,widshcrzya,DOG,CAt
caT,svwkntdwas,-269,DOg,603,-792
0.2755,0.2145,-0.0155,0.2395,0.2605,-993
jutuqoohqk,793,CaT,slttlcjcap,-686,714
0.343,51,572,450,fcvggaghvy,621
-0.079,-0.4095,445,0.072,27,cAT
-0.3835,szscblfjmx,caT,0.485,-0.2635,0.151
907,431,-833,DoG,0.251,0.267
-0.3865,436,dOG,CAT,0.281,0.491
doG,-247,0.238,-594,DoG,wcgmeayffy
tlwaryzsyy,yofkoahnxl,rhrisjpjgt,dOG,0.044,DOg
juinaeifrv,DOG,huowhrqeqg,cAt,CAt,695
-0.439,Cat,888,-188,urtghkjczt,kzzhbesusv
yjxcdalpwt,-0.218,lqhbpxnvyg,287,30,dOG
-449,-0.013,-0.3585,0.18,-0.2735,caT
DOg,pkozaieocx,rtngnqbcax,dOG,-816,-600
mzafqbthir,0.1375,CAT,530,-0.3175,149
jbgbknngyi,-0.2215,doG,-0.402,dtzcldpgoz,vnfljkubeq
247,DoG,agjtrltkhh,-0.316,-0.318,fcohscngjs
ojpdcvgwxp,484,Dog,0.107,vltqqkssky,738
0.0375,pdjyjyszbo,glykqpgdlt,0.3875,xhxjzamtfk,caT
gzwbrlyooe,0.065,-63,-99,483,458
-0.4805,-0.198,ujpourtkck,-0.107,yytnjmedcn,0.2695
279,76,-0.1905,-0.048,-371,stfbxgubjo
341,CaT,dOG,-491,242,-0.0405
491,lypgqgnhwi,doG,DOg,CAT,lknoteyhot
0.2385,0.3045,-818,gunqdfgwjg,0.1935,xiwvajwgfz
-448,-0.4575,-0.0925,craspnkcdi,-612,odlkhggqmu
