irclsqvnab,dehgwhlswk,kblsivqdpv,yjmbcvwclm,rnzgmqnofh,xnpxtustaw
caT,-0.371,0.2995,fhmdvdbiln,-237,-657
dOG,-309,-385,wrhwupplbu,CAT,cAT
sxfnjjdprh,-38,toseqcvpvh,ypcxtebhvv,0.0635,-0.412
achlzixmax,hmcwptrdsl,inuljigeck,DoG,0.4925,-190
0.437,-0.4535,0.4345,514,lkjimfymke,CaT
bgdbsymzdx,0.0355,-677,0.3635,efrgafpcik,0.09
-0.3395,flxpizooum,0.1315,uaqipaxcro,caT,cxvrmlmuxw
-523,211,-0.4625,miergthwlm,0.213,0.011
gfeylzbgcp,-880,CAt,712,-883,Cat
fqefpeogds,cAt,rafjkmymay,820,lqsjhpllkh,ifgufkjrtv
0.3845,-0.115,cAt,0.432,jyjwggepvd,-0.086
cAT,DoG,dOg,cat,dOG,cAt
bygkzhbgzs,0.2525,Cat,twrsirvzqk,0.1625,caT
CaT,-364,emcxcihytp,360,vhvnipxhbn,CAt
mecnsjxrxh,kjjugzyxjw,-206,-0.49,633,-243
wyvqcmkpdf,-682,dog,DOG,49,ynyszbvomu
jvrnilloaq,DOg,666,0.099,doG,-0.449
-955,-638,-0.222,doG,0.345,561
uunyrviahp,-554,-19,vdlzgjupwc,-947,evixhqnxok
-735,rfxwvdltpm,DOg,420,0.421,-0.345
0.0035,343,tgodvvlule,0.4095,0.389,772
ymtrvexzqt,seweblftnt,0.2855,0.367,0.381,-798
145,-534,0.0655,wzlecbwjqh,btsdrhqbbv,bhoetodths
0.2555,-219,999,-822,429,-658
dtpwunjfje,Dog,-0.003,-270,-0.3425,gpejeyuocv
-477,750,0.2855,jwhkbrzlsx,Dog,mifvbzxmjo
