wxhjeisopv,ldodiuixjx,xhrgwrxbub,peeapuzjqj,snrpgyhofi,xfbzhxgzgf
tqxodhwfyz,unnjnshvmk,132,-0.1,-0.3075,CAT
cat,wkcolgkltw,CAt,0.2725,-73,-0.2895
dOG,vkcyesrmsw,nlzhjtciwh,398,-610,woluafxcfb
-61,0.3205,ilxtovmyhe,0.0345,0.209,-0.2505
uzxvsvcqys,0.4645,DOg,-0.249,0.119,-423
552,mjxcuvtzha,DOG,0.0515,DOg,gejtmhbyxp
lregkqcgii,vfycukwrba,-995,xmtjrwkevf,dOG,zlskrwehue
-717,0.278,CaT,CAT,uvukcammhd,cpxqavyhiy
0.485,CaT,-0.154,apdzcaswoc,-0.413,CAt
0.19,caT,fckskqttwk,wkobdtdtfb,cat,DoG
fnedpxsnkk,0.4515,-102,ttqxpnvbbv,bvsihiaxmi,enjbihyhlb
cAT,252,yjczzmeyxw,khhjpgasll,900,cqbkjtrgym
friemivktx,atyeesqksl,mcbbrmwkdo,-0.312,-335,-0.414
0.4915,vfnjxoybgo,-713,642,0.349,934
-0.3255,tzgyazsfbq,srkphbaedm,-0.4875,-710,638
0.4845,rtxswkkzcz,cAt,pzwmrubcce,CAT,sunfocrkpq
0.1985,-353,-332,dOg,-998,tdnrmdnerh
qrbedxajgr,CAT,0.2375,kikizujnmw,CAt,27
0.2785,doG,DoG,tsnepmmrbg,DoG,dOg
qlogboepri,caT,0.0595,145,454,926
CAt,0.0555,0.1425,Dog,-0.017,0.0435
ozcnpsejlb,-343,110,CAt,DOG,tsomebcnqx
0.3105,0.1535,DoG,cat,CAt,-428
xrgnpairwn,CaT,0.342,ypjopwazaq,-0.3955,-0.237
-646,hwjgdqyrwo,fbqhoejjtr,-172,dcogfurclr,cAT
CaT,wlksvfaxff,0.027,242,rjxwnkoujt,0.201
dOG,0.276,0.267,767,cAT,DOG
0.318,0.4055,998,569,ipsozkuszy,nscfaxhltq
-767,xjlnhvaghq,csmucoepyz,jzgzydowor,dOg,tnpewklkzn
-11,dtqkvhrize,-951,-858,464,Cat
-969,ukubwzqfwy,fxdnjastsu,430,euajpznshu,dOG
czallqmutf,-926,-499,DoG,-590,hyqhkzjxwk
hdpsgjszpd,3,toljfaclot,-329,-876,fftfnvzbsl
DOg,uyqdxywqha,-0.1365,-755,0.274,-0.1455
-181,0.2015,Cat,mdtzvdrcbk,rlhyrrvvoy,-0.3545
-607,907,0.0815,-0.25,0.21,cat
gnhpsulije,sjrvzatnkc,-497,-0.4925,ytxumlxnyd,DOg
0.3205,-277,-0.3505,wdyeefzxdc,-870,-0.3355
42,0.45,-0.409,hhxwwsqcmc,-0.012,0.4985
34,-0.033,nkoenszmzi,lchuwruaky,cat,-727
-895,-0.2945,-183,mkdnktswak,-0.2375,-476
-788,jbqknxhbxm,-0.2685,-426,hmsrqtvhuq,-262
cneysyvkgd,590,790,-0.062,0.216,eoxowwkzgh
-339,doG,-197,0.0,ktwhhiuomt,-0.0775
814,-0.2815,-601,bbrvyzvlmb,DOg,lyndqzkgvo
276,0.2345,gyyfighfzj,Dog,Dog,dgvtszezrc
-320,647,780,cAT,Dog,goccjslvdo
507,dOG,304,-896,0.3565,82
oryhqvsuff,0.0765,-529,Cat,mfsszzjbmb,0.2775
cat,18,-0.378,CAT,439,-567
ygjkgmhvwh,0.3375,dOG,Dog,rjgraujykd,-545
pzistrevan,-268,trydvsewkf,dog,-842,doG
-788,azfafsitkd,0.2695,-243,-143,glmgqwkiwm
420,-0.0495,-302,0.069,0.246,tinkhmeris
vkvyqpikqk,-209,0.4285,cAt,ypwzqwfooe,598
881,dOg,0.3965,-0.3165,0.2995,-0.1195
-988,0.324,jxstndxrbk,240,dOG,agdsmlgyuh
-0.418,598,923,DOG,61,-0.0845
787,cat,ugryuhhadw,-0.035,dawwcjffqk,-0.381
-0.192,860,DOG,pztlssoerh,125,0.4995
hnpiitbypa,objoykrnjx,0.3235,caT,0.0485,-0.288
148,quaeqcmjdo,ckoinhzjga,488,Dog,0.1565
-721,chzsmihtou,pmfksgzldu,wjslnxqruf,-280,vlvuhgebdm
ycdkgckcuw,550,0.181,mvzuklapmd,89,-0.209
Cat,0.191,rbxtdbxhjn,jwafrrunya,dog,-363
CAt,933,avxhvalohv,cyntmvmcit,-495,DOG
wppjilssum,-655,0.1625,houjepqjzt,-0.1225,463
-481,0.0985,wonbzknxbj,mkfbxhzebo,Dog,aorhepkbrf
pssmxpsrhn,ecmaexmnyg,-0.0735,292,DOg,qqyfeidqxm
-809,uqupwubpik,-0.4305,0.3045,-407,gvyhtmldso
0.465,tczwybugey,-233,-642,CAT,0.15
foosnwsvit,-580,DOG,0.136,CAT,ywlvbqdthx
-0.17,-0.35,-631,mabxdsyvdx,-0.329,dog
602,0.388,dOg,-353,cat,CAt
-484,vmpmpbubxw,106,0.3265,-0.2975,dOg
932,0.4555,CAt,atjkibtpgr,dOg,-19
ejdejbixmr,0.0235,-0.0245,gycojhltrj,CAt,-0.3925
tmaskftdma,imqezqycov,-0.287,-823,-0.1985,qiapjsgnsu
gaxiqarnsh,-591,Dog,0.4095,ihnvvsqssh,ajvjprzmyq
-0.2995,zzjutalftu,0.0315,ldukrmiuhd,0.2495,276
