nxnppvzdiw,ogateiagar,ypkpzizkhb,usqlgcrvae,zcocupofod,ifuhxlemig,lzduqspcli
466,wxuqvbexyu,xbxjtrclxx,-0.043,0.308,505,-110
0.1595,DOg,jylrqvihhp,caT,llthdhnzpt,487,0.322
rrcqjpyeln,eteiqjlajh,0.4735,207,jyhsepapxb,259,Dog
wqhyjkahnx,hymunfeddg,lbwtfgewvl,340,-0.408,0.257,0.3655
-0.38,mjcfhriber,555,838,-942,0.286,868
rwjaqcazhf,abpfpdlkqy,654,qeiwmhlwvt,0.443,-421,859
rxrdiumsvx,758,0.3665,ekxjjidohr,691,232,-0.3695
djaoofojpv,0.227,-0.367,-56,dOG,-95,-0.4465
-149,0.133,swaweazbtl,0.3615,-0.3425,-357,DoG
dmdbutocda,0.317,-0.417,-0.389,79,0.2505,rayvamafae
-520,71,-749,cAT,caT,-0.314,468
-647,-0.133,DOG,bjmlhaiamk,ryqqapigwo,btqstkqnxu,-0.009
0.28,cAt,208,xrwdapqczk,0.025,-87,23
ckwmerzgtd,-984,-364,0.409,cAt,-0.101,0.241
-0.284,0.294,0.4485,344,0.4985,-0.253,DoG
hrhlcxrvyw,-0.011,uymgsihmay,-903,varcmllsxh,0.3105,-0.365
fpdpnellpk,-565,-0.389,0.0935,-770,-782,0.1375
joiilpbkjc,CaT,msmwpowlce,koiemekowk,0.1435,mhmvlaqqmy,fadkdjawof
-0.1555,hjqfhwhysh,-155,ghlumrykbj,-488,dlnrhzrntj,-0.2865
yxkjkhfwhm,ssprdtgjdz,xnimfohusx,dOG,dOG,vsjpmnpzoy,0.2825
-433,438,cAT,jfiuzcgyhu,0.326,dmiymjnzsl,-0.2555
-496,cAT,CaT,dog,-993,stzrzhhpaj,rcbizgjnqo
618,943,-0.414,mramydbmhq,-0.1655,nozoyxrdhb,-0.1125
CAt,0.0755,bvmxuoegwb,wrxidkxjpw,-0.3275,-503,-0.276
-0.239,0.436,-732,-724,0.208,doG,0.264
0.098,xtgtnmzbop,pegxlthhpx,57,-0.024,qwfgrmvpxi,-0.256
0.4595,CAt,yhfdazhzwv,721,caT,zffekzjiab,wanrrwdgbn
-291,0.4625,mkljfoikhw,294,-0.3295,0.225,-0.2545
609,-0.3005,0.49,0.4235,349,-0.019,0.2585
dOG,CAT,428,0.328,826,351,-0.3345
-275,-229,0.394,Cat,azosjpmvvl,-522,cAT
CaT,CAT,bgntljnikh,Cat,791,-239,tyldwnnbdb
-623,DoG,0.342,mnyvxcatqm,572,DoG,ukhymhvsla
967,-292,-642,499,-0.479,0.2105,kejekjiqhz
dog,Dog,uwsjicjyyh,cAt,-60,owasdjfjqx,-0.0925
0.1395,-851,-0.2955,773,cAt,sozvvkgmzx,707
0.3995,cAT,cAt,-658,0.214,-225,0.3295
888,DOg,-0.081,CAt,doG,-0.2965,923
trkzaqnbhk,vymbubtufg,-852,klgvmsdqbw,cstisqjoll,-728,-0.4435
lduesivxpz,-390,-0.133,-538,0.4935,qacnlvzckm,uvyeyhesla
DoG,-983,DoG,832,410,-0.0585,CaT
iavsbiepag,lwmcxfakbx,Cat,0.158,caT,ygferabojc,103
DOG,zazfooybey,0.3075,641,jpimmboykb,cAt,cAT
-783,-425,cAT,ktchbcdjkq,ytcczoinob,hufvhynrzt,0.0405
122,727,zzbmyqfbow,-0.4965,gbtvoxuxhb,200,-0.0385
CAT,276,gdohmcbwwo,-686,220,0.0945,393
-0.0215,-767,onpenwxhnl,-192,ljgjcrcsds,-0.4325,twydhtzebh
wgtlbmkeby,-181,888,saaxvfvuxw,-0.4025,dOG,mnxyoocciz
-0.0485,0.497,114,0.4205,yjklprgjtl,Dog,630
0.315,ewchwoskrl,893,-0.079,0.146,0.1095,ojaifvbqfu
70,afttxsovld,mhwjivzrgw,0.0755,0.481,0.4935,mdmbteoxgc
0.3725,uwgydiazfj,CaT,ujzkuruepd,inodgppuqk,-614,119
0.165,0.3745,czzaznnmbd,doihokokhe,-0.201,hsvhkbdouj,0.359
-0.2945,wcxmkrhqbi,-0.1755,-0.2625,qaanedgzsl,nzwyfqlnyd,ausarugzif
-45,-0.1955,cAt,DoG,-738,jrvecvhbht,-196
gtwharytft,CAt,CAT,0.093,-0.3655,0.0715,-0.1165
tkgobqrziv,-0.0575,aiwdfcauwa,0.4775,-0.118,203,-0.001
waslyostyz,iuqvpnlcbo,-0.443,0.4025,-0.4985,CaT,-0.328
0.4,tptstkpuwo,-0.0435,0.1645,0.13,-518,157
-0.0565,737,Cat,0.4165,-0.3285,917,0.4
