ezavaiscxy,dewhyxzfxu,svofsvjzck,sgybnjogap,vtxwzcqxxt,xcmpzfxpvo
CaT,-615,0.318,0.1015,zwsqtavfhn,vycaqsjumr
xktxajnrid,899,968,cAT,pnoszslmca,-0.2945
DOg,0.361,0.23,vhtwfllezw,-100,-0.154
tlorjniney,CAt,-857,frjkieacmj,xkutkczvho,-0.179
CaT,wlwnnppqrk,-0.428,klfnghplqa,bfjdzbbslf,0.392
fsrgwzmuih,297,gefihosaiz,dOg,dlwaxjvkqe,-326
0.369,whpeizphjp,0.4535,-0.022,vgvtggtwrf,0.2285
ltvdxiqzlk,CAt,-420,-655,ywznmmvsbu,-416
-295,sfhvxvgiby,bknmogfxla,uxgxiyzfgi,0.119,CAT
DOG,uxxkifrosd,919,xgqatjveay,-227,DoG
doG,kagyacivpn,wvabfgfrxp,pqueilltiz,kkudjwglqc,jvindqkwht
-790,DOG,DOG,-0.086,430,uczznjsdhr
147,448,ubbawzazjd,-0.0655,67,DoG
-691,-0.234,-0.293,ancazncvjx,mmghxqdrib,yqlhgekbsn
-737,0.255,118,0.233,-0.3535,trdaqjhiqo
Dog,0.2065,DOg,81,cAT,-0.397
caT,awmliqzxjy,919,-0.313,-68,-81
0.068,0.487,287,exurnpmnwt,-0.278,-0.1525
djghwrnhki,ojgnehftai,cat,-0.2925,vwhxrzqawp,-27
-0.14,0.0885,dOg,0.3325,eehikskqrh,-0.296
0.238,-0.3595,633,DoG,0.334,-866
-775,89,frggyfqbfr,gadbbllxxl,-949,cAT
cbwugzqlqg,-0.362,-0.2735,44,195,892
-0.3425,550,-373,390,-0.4735,390
caT,vkqghzkozc,-0.492,DoG,kvbrsqoqpq,caT
-0.0835,cAT,doG,-583,bsbrgjddlp,0.072
CAt,0.246,0.1445,cat,-0.2445,676
pldrwdxwzf,zurrribdpu,caT,CaT,-0.121,bjtzzbgkaj
DOG,-236,0.487,-0.222,-139,CAT
-74,0.076,0.494,0.291,208,uqsmtpxyop
qqeaacthpo,uefsefwccw,-980,0.3655,-56,0.389
nbiebmdiwx,0.0745,929,0.177,dog,0.038
ruhygdelrz,dOg,0.1305,xxcwlkomvy,664,mltzosbwzg
-0.338,-0.0785,0.3025,0.2195,-0.4165,772
0.2895,980,-695,0.1885,0.3485,-934
-570,-0.1245,tvbmvggrbq,uyxkkyvltd,0.268,-0.2765
uhbyfekxat,ufkohrttdq,rkfbakmjce,266,-0.375,qjhxrivbyh
-516,0.4185,-0.2225,0.36,-618,cpigwgofjn
doG,-0.074,-0.432,zlgnnpvnhf,132,474
dOg,559,0.3585,900,0.439,0.0925
0.11,-0.0585,819,ullhtljlpb,0,0.1035
DOG,0.416,0.271,DOG,810,522
vqbdqjoxll,CAT,khxyeoqztm,-127,-0.039,-146
doG,-0.046,812,-0.2805,doG,0.2845
0.4675,0.0475,dOg,DOG,dOg,555
897,cAt,774,-672,hxmrpqqmfr,69
kyarwavpay,876,hxxregeueo,0.0745,-608,ahtmkvwpra
-385,672,-0.142,581,obnzpjtrsm,isskcxkwaz
-183,cAT,0.0015,0.4725,0.031,0.128
kxjgkteruy,clnwvzrijq,ebhrwzkswo,-0.397,hosufezvwm,905
0.231,Cat,jsigoylyqi,0.3645,cAt,-713
-0.18,ghfblsmyqf,DoG,156,0.1185,jtfprychux
gyllujjfxa,kqvkqgvifc,105,-0.47,DOG,fhtnteaciv
rkwkfotwwh,lvolwjknio,DoG,587,-0.053,ugetanpxyi
-369,whmjtwccda,-677,rcagoafyrd,ttvnlkfovg,DOG
-343,-0.204,-0.19,749,kophgtxglv,25
swfwxjadvd,-0.1815,etuieagyla,osgvsjlicd,0.4965,-225
-0.327,0.0635,CAt,gxjgodgxfa,miesdphzxp,CAt
-0.0835,ufdyexpsyt,ulhyfvqmut,zxikvxubzb,cAT,-0.0015
npegucnkel,0.3705,-0.037,kugjdgqksf,oarudxoewa,izmhyddopx
-169,-0.2105,phwulrslru,xfrwwmjfes,0.0045,dOG
DOg,icimbasahf,158,0.2545,psjimtvimm,CaT
qsrmcdaeok,-870,65,lmxfabqrme,0.071,hjhhfvodtk
-94,oymxvntjse,407,657,srrwegayud,-0.2645
0.181,CaT,Dog,-37,-0.188,-0.3065
cAT,0.0215,fyvfcsryjk,cAt,0.2765,-822
kekhutrazj,-0.301,-373,ghrlcntfrt,0.0,wcdkixzynd
hyofxifzpj,eoyghrkzsq,-97,363,0.1995,598
DOG,-910,0.2045,0.397,-0.328,-700
-698,-0.4375,0.1265,-0.264,-0.1055,467
nxbrxdeohn,38,0.1195,771,cAt,0.3465
-0.0895,jkxvqgwuni,0.1825,cAT,0.2845,-705
DOG,dOG,-238,ngbkhvhkhl,949,CAt
-599,DOG,zmdidcuclt,DOg,0.3605,900
ikxpqoywgg,382,wkckayxmax,0.4125,-911,-0.471
doG,hgeauzixmr,0.209,nqdeyzywwv,lmcculglsm,-0.2805
-986,aqkgmvmokl,-573,DOg,761,doG
-717,-141,0.3945,ejcbbuywvs,-885,CaT
-597,0.2815,0.0035,-0.454,hxugsweuds,DoG
-937,0.372,0.306,-0.164,xhaahhahcw,bhxdghwibw
tmxtmvjosv,sghisbkxpg,-0.1585,ujtewhnsio,ajveddpjwe,72
-729,-0.1035,629,iflssvdztr,rucsacqbuq,-0.492
ekxxrxzkce,jnmtcnhqmj,533,-0.1985,eqfcycywrm,770
cAT,0.3965,0.22,DOG,-894,-0.2835
DOG,-0.0035,-0.345,-966,DoG,449
zvdcbuelze,-932,xibalrplzd,dog,-130,CaT
0.3555,Dog,-0.18,yyzfldkcat,376,qeltzhjqyi
CaT,-0.2985,0.042,740,0.127,CaT
cAt,ovpkhettle,cAt,xsyjrlsshv,-0.3165,0.3125
mlnjuavoyu,DOg,dOg,0.353,tjrvxxhhxm,475
aupghsshrv,0.0185,-0.143,0.0545,-0.253,ayyolmwqkt
ohsxjbxodj,-740,DOg,ahxlrgvnlr,46,470
dog,lsnmjblzli,rzmrrqaobr,vcwblrlnri,0.358,Cat
wgrjtnpifm,cat,Dog,-84,-0.3505,cAT
0.4995,733,gbznrdcmyk,-406,66,Cat
CAt,218,-332,-0.1795,cAt,cAT
