hsnmowqxkm,yrqlcpqsbu,ibqkmtmbhd,kzultupbgi,ucxqtyiigd,duychhslrw
nszpfirnjs,pldewlqhro,0.4515,kypjjzqday,-0.1685,ujcqwpjalf
Dog,hwfelgyzpj,-777,DOg,-0.2595,-0.079
daegcnxrts,198,0.4715,fadzdxqmtq,0.316,huoskgekaf
52,Dog,gfeoghemss,umublajbhk,-0.2115,0.147
ktpwhriyat,0.3915,wlodmtjdvs,0.4405,pulzfjbdgo,ypxgambrnv
-781,-0.363,28,vjcegkaqik,-255,0.487
-0.016,-329,0.3405,CAt,263,lgainsqvpo
240,-128,962,0.0955,afqgsixulh,pqtfxeleyh
-0.185,ozmggkldie,-93,-0.1235,pxvkyqzcbp,400
kzvjfuooqs,qxkjzgrnzh,tfcydxsskx,ubjgelyesz,0.1865,aoardxchie
-0.354,-0.2905,gpqudmrnzn,caT,-736,pspputfahg
-954,926,oruodogxdc,0.0325,-674,ndwcpjogyf
cAT,899,0.233,0.123,-199,-0.0415
okubvpsgoc,bimtitkleg,zbgzqtndlt,0.072,-650,rikrspraru
biptvptuho,891,-0.3475,-344,sviijosvwb,vjvzdfxexb
109,-0.3225,862,nanxvhwyjv,CAT,-374
-0.2385,wxknhpxjno,0.4195,523,887,dOG
206,-0.2405,0.1715,0.038,0.255,dOG
-255,xauzzcxllm,-459,0.428,-241,0.01
airjvwifei,0.1585,kosnlqtogc,doG,doG,zsgnypzmwx
809,837,cccksokxrd,tkxracfnzy,0.212,Dog
cAT,wqrcxivfte,-302,cAt,0.292,hmscgpulcy
-186,-0.425,uxzjkykqvc,Dog,Cat,Dog
543,0.2655,zubojuadom,iwbcaepisj,0.23,DOg
-0.0355,sbwxnondqh,eanpwbtebx,0.0115,-707,-138
rpoowqmmyl,gqwmpwchgp,edhwslytue,dmrzssiwgv,-65,0.0205
CAt,0.293,-251,wsagwffbwg,Dog,nnepbtgqns
-335,-529,-0.07,0.479,-304,CaT
0.32,128,pamxfngunw,djzbbmfahj,DoG,-524
917,0.031,69,qhahtjpdma,Cat,dog
0.3155,CAT,-0.3525,-0.0905,-789,caT
0.129,556,Dog,opqbjdahhs,-0.1365,CAT
jtvjzvmzyx,CAt,cAT,-487,-0.162,665
oqrpsvkufd,pdzveotmmx,-0.466,gjylgnwvzj,-447,zwdwtvxoxa
-0.407,cAt,lviwadusmw,doG,-430,347
-651,dvlcjcaswz,-0.18,yzwvnkkuup,0.064,dOG
-128,0.167,-404,-885,704,-0.047
bmokholeku,0.2815,ylnwdwfxdo,cAt,bfnqnpreyx,Dog
327,stpdfsnzaw,0.482,cAt,340,-841
gcyxotouoi,-192,0.004,eyvpyeeret,fiadlrjxda,caT
827,enanffhgar,cAT,hvbydmejzs,xmrubroldr,kroxxbsbet
0.4655,-792,nyhbtcodcs,-761,fhygpjrxbe,-60
caT,cAT,398,hpgmaahrgj,0.2435,qyjpfvlbwi
wiwaqmkgst,tcsyobqlau,kkbvubkkpn,-633,153,Dog
jthwnnxmub,CaT,0.273,gpiqgeirgq,DOG,599
0.1715,ofxhkzhmtw,-0.32,yjwxdxlaoy,dOG,wpgmxdmkfh
718,-0.017,dog,frsbkpuqsa,0.167,-957
cAT,0.1195,0.403,-631,0.114,0.478
-517,DOg,-0.3435,-765,720,46
iceqhfmwou,-744,0.281,dog,166,-909
xjcripjzjg,DOG,rbdkfmnigk,qteyuvrmok,-604,DOG
-615,-0.3215,538,-0.1905,-60,202
irymdygdml,0.3485,-521,-0.14,ahiwbknfsf,0.3855
kbbanozrsq,vcmozdcztp,DOg,-0.3095,589,-37
-196,0.306,lfkayhtsox,Dog,DOg,909
DOg,hyyhhygyhm,dog,-0.0075,0.0385,349
ylpdprmqkf,-0.1715,CAt,-215,934,257
-0.277,-212,ueykjyjrpg,vbzmljnqgq,909,dOG
388,0.34,0.2515,280,daxyhzilfn,orxbsvrrww
