oyejrochnz,rtwsyikhph,eqivkcrumm,swhgnyadkm,nyhfbxksoo,weegbcoxgi
whxzsgmecx,bexejtkvpy,sdirfglook,CAt,uorfygoysq,anskkxiyuf
doG,854,560,-889,dog,400
254,caT,0.158,nkjbadmzbz,asvjzttggr,0.1985
cAt,0.348,dog,0.196,0.4685,kxzzyhesof
588,yvoibivqcm,hplhhvrkxc,gfjvoebqpi,0.199,ecxfjzfono
dOG,ieumvzefxs,fzbswpzylh,qwqpysptow,-951,-204
ulrvfgyryh,cat,rltvtjvvyd,745,303,0.229
-9,opckcfejac,lwgcibxpha,-215,-335,-0.157
0.234,rriyveoerg,797,442,944,687
Cat,0.2955,927,Dog,0.472,devigrmmea
-0.3205,eraaslayga,-0.104,-629,487,111
dfuwymhwff,0.2945,501,eanqockvqf,0.231,DOg
0.0885,dOg,-0.4085,oqpwjhgkhw,369,-382
208,0.1015,eylxxyhqlg,Dog,cdltnjozbr,ltaihslvuz
vosjjbxuht,174,yzeaiscruh,0.43,gnhwassroy,Cat
0.4435,oebraadfub,0.1825,822,0.006,385
812,vqqblyfuwm,160,923,xhjcbwmxhs,-0.137
296,-238,334,latqekkjhp,ixtbmftwub,-0.2735
sinuhrzzjg,cehsiewxky,DOg,-0.319,-0.065,608
0.4315,dikmwlozst,-0.0845,CAT,cxzvcrdgdv,-265
kjxoscmzrf,tcnifgeoba,0.4505,umxccbtoup,DOg,dOG
jszxqihtkm,caT,706,cAt,ofpchrcoxn,-421
940,942,393,cat,-955,wwwswqwaxz
cAt,0.4315,0.0675,343,diuitehbnz,0.2355
528,0.171,dog,498,xltgeqjtzg,lfcoxcdypm
0.464,doG,0.4985,caT,0.415,DOg
293,-0.0915,cAt,0.411,ucpsktzhdo,DOG
rhfahannjx,avqxxkwwxz,-0.3735,qnsszuvxap,0.124,573
ophcmssoyu,cAt,kddkxomwjb,-201,-346,cAT
-831,-300,zepwgjsuqc,0.282,nkbeghlqtb,-571
0.025,-460,doG,-0.076,otiasttrxh,doG
gfgxrgulhj,0.116,-567,DOG,dOg,rmuvqfdbkv
krusbuqadb,-913,-0.128,461,sixxxftbay,ghzylznura
-0.1885,xdzyikwwne,0.273,urxcbdquxf,-0.2505,cAT
899,ptfkocebic,597,717,DOG,451
853,-546,Dog,-297,0.136,mfytgpxxbe
zdjwubiclz,mfpeuzxsgy,hrrfpmbaez,-604,-0.3425,-483
eufinzgehm,qjzjhvgols,-865,787,0.057,-0.349
-784,doG,-0.4795,488,758,dxbbtycdle
-549,CAt,edgehwrqdj,154,0.3885,qevgszalmp
doG,uzzpkpcehr,-590,886,ofcajuujts,-474
dOg,uvqakpdlpl,DOG,togumiulie,batnckdpno,0.4045
DOg,Cat,-408,0.3265,-35,ocrjlrfnil
-856,-0.4695,xtoghtfhli,-0.478,drelqtvaom,0.293
-0.484,-0.2995,CAT,Cat,-384,cdegqavulq
-874,610,hbstzdccvm,0.0315,-0.163,dnikfruphf
-329,-0.156,0.3125,-0.469,0.292,cAt
lodfovmlby,doG,-0.32,cAT,DOg,-128
vzsiuctbsu,tgryomozih,697,-0.0485,madvjqhrxt,0.156
-0.3645,-185,-872,zrsprhfmft,-183,kukzhgflra
0.221,Cat,aufrrmlngp,-975,139,-0.1425
0.249,-538,-0.0365,-129,-221,pgyxmhwkna
lgdswpbttm,CAT,caT,xbrqngfdye,216,851
kdaruheoem,473,zsrvvvsalx,reoufiejfc,bklvvivukg,470
