qhlpykoxzh,qoiybgfjpt,euegsahkny,zdhctvrfph,argzyxnjip
705,vpnqrwywdr,0.459,-214,suckygvbzx
-303,rddebwgfen,qstsnaqqyj,0.3895,-421
0.303,627,-0.106,tuwhufhkfq,0.0835
hdpajwbclo,hbznibjtol,0.0075,-0.13,rczhtsqfsc
-0.1495,891,-362,556,-0.1795
0.2645,fremowcghx,ofjgnpvoey,847,-854
dxdwkujnti,buyfeaqeyi,DOG,-0.41,prdfagcseq
cat,-130,-771,-0.4295,DoG
0.3205,Dog,shhsdabria,-0.142,-0.2225
CaT,-931,-898,175,352
0.3105,0.45,cAt,2,-284
0.401,-0.0345,-0.039,870,caT
-680,-0.419,cAt,876,mfxhxiyzqj
-557,0.069,-959,-0.209,-406
yffjdtutkr,Cat,139,pqhymxzfrh,gkdterikcm
sogapvgdks,296,DOG,0.4735,ufjarhwdls
0.1095,204,jlhjfjudnx,drcahhrhte,0.426
314,tcpatvpusk,0.0285,dOg,-0.2195
658,abmjvcgrsi,0.0135,452,-736
CAt,dOG,-764,156,ibnpednqyu
wzfedvpwdo,doG,cAT,caT,ngxvvdpkwv
0.437,-0.2275,DoG,183,-0.4085
86,davfujhqil,dgfszetkth,caT,-0.051
-0.1885,0.267,Dog,caT,0.105
-0.4145,CAT,fgcixmwoll,tznyciichw,cat
tqqnvnmaxz,0.0535,monzythcwo,0.1605,810
CAT,0.056,0.3115,iyjssqroei,hyxkqmocan
fdnkmilqtw,0.175,-827,caT,0.4295
0.206,0.2645,522,0.4095,301
-0.2185,ruwejzcjcu,-0.273,-729,pivhljwsrp
tomahvdvqv,0.4485,cceyuqcpvj,698,365
-0.4205,mhnxalhrrx,142,0.499,-617
caT,DOG,431,caT,0.3
jmhmubuyfe,tdrdqkucph,gdppqiybqo,0.4755,jidbmzsgfj
-431,CAT,232,Cat,-681
-287,-818,CAt,0.3195,-0.402
-324,715,-268,-99,cat
446,0.291,xdgunfhxfc,0.101,0.069
306,dkpcdabcas,caT,pdlbaxszst,udvsgfnakx
rlgyldoltv,uozozdzbdi,-483,chaqjkfgcw,CAT
-392,wrploofuwy,urpuzrtvcb,0.4565,-537
-287,pmrvpsaqfq,421,730,0.2315
DoG,978,-0.4525,doG,-992
484,CaT,-498,0.136,-0.1885
564,cat,209,-903,qcmyqibbpd
rnqsdiblbd,487,-0.0815,995,exetqwmlmj
