ybmfouqpkf,oteftrrgzk,rsdvwhlfew,iegmjnmpks,Pet,lqrnostfyp
ykpexfrjaq,-0.4945,quuanufqcz,0.2035,0.2145,-384
fcsevklgnu,mcakgdiryk,-0.044,-581,DOg,0.129
-0.2525,-0.091,275,967,CaT,0.1975
cAt,owehzxktbp,pagutoyfzc,-0.0085,CaT,0.1685
qihcugfumv,693,Dog,cAt,-885,0.1
-0.464,286,vcmtpeiicn,dOG,Cat,vikjtcopjg
-234,869,510,0.276,caT,0.0805
0.18,zeuavdsgpb,rzlgcwqood,671,Cat,831
12,doG,cAt,-247,CaT,7
CaT,Dog,999,pcgpomosbg,-854,0.179
kohtdiwvro,-304,305,-922,CaT,wtrguedahf
-0.4665,ycmlotztlr,775,CAt,dOG,-0.3625
oeeqvqxwjq,doG,0.0605,0.3715,DoG,0.442
-0.259,lkivahkusi,-0.324,gmxfqazihg,0.148,CAT
wrtleizfgd,cAT,Cat,ziizbceuwz,dOg,602
