ktfokdnstc,drgzjkybrh,uqxbdpfowl,mkwdudmjfg,sfmsqsriwn
jcdyeifluw,638,774,efxcacxmhd,590
793,jgmdqmqbws,431,0.24,bdszuajjek
0.1505,cat,ltcmnzucwx,jenceempnk,cat
-0.4175,-587,acbcnknzpk,-0.3125,0.2375
xydzgtcdww,-0.3215,-0.014,0.3185,0.1035
qpjedhmfsj,801,cat,nwsqfcyehq,hobcncsunf
0.43,dog,361,cuqxklkklo,-0.1935
-0.107,-292,hcmqasyiyj,qppydbmkwe,nyagrsiwdd
DOg,-0.128,274,CAt,0.2075
-93,cAT,-69,olbgpobsde,yeztcuhtsr
Cat,665,-602,bxkotyezue,0.0345
mkszawaipn,-0.4565,-515,0.2555,-0.472
-0.0275,880,dybhgujzjv,Cat,441
0.08,eiqecqmawg,-0.4855,bzoxlqhmww,dOg
zthhtevycq,kltvnikzxb,-397,-218,cat
rtclpwdrog,867,-620,iauulmfzkr,nbtpclerkr
-0.4915,DOg,57,DoG,cat
0.168,ucegapptnl,0.0075,-0.174,-0.1
-0.026,109,tdagxsqtok,CaT,-0.085
-880,888,lxvibmmepp,993,dOg
-448,cat,822,-0.3615,Dog
316,0.2835,DOG,dog,wdzcqeyvxy
-181,-349,zbsbzunqdc,-297,cat
dOG,dOG,734,-0.158,monrukpbip
472,doG,-618,0.164,0.4375
aurhoxiqhw,Dog,-889,crdovvccnh,-0.4255
0.203,xhjvkkkwol,0.1665,323,-540
emnwwnqznn,996,dohrolyuib,-440,xmbngerwni
685,0.113,0.2085,-557,0.3965
-777,ytecldzsnf,0.077,DOG,0.2205
0.1785,0.0595,DOg,-0.319,0.046
0.1865,-0.391,597,-330,awcpsvqlxh
nmfoipxzdv,pdnsfuxyif,dog,Dog,znxtbodcaf
xygcqwjqlv,-222,-0.36,-806,ykwyhvietd
394,-0.177,qmjltmziig,514,DOG
-0.4515,-0.2855,-298,omjggdsgjz,cat
-254,vzldcbpbip,cAT,eeerxegahd,-0.161
xgvmgoilyp,cxgoebipzv,denllnutws,xebxdvamem,568
-0.1385,-0.037,cat,-92,0.0225
-0.045,158,0.3805,-724,-0.105
DOG,caT,-0.0135,hlkzrratws,dykpbddfcj
jbohykogel,unzkldrdkn,Cat,qncvjgaxag,-770
0.0425,xgvpsujplz,ygzagjituv,-0.316,zuslodsofe
zhmjtfvfsj,-417,Cat,doG,gzyoxwqjyh
-0.259,-297,Cat,398,-633
0.0005,0.4035,295,0.0125,0.365
nnsijquqpj,0.156,-810,184,0.4385
361,iplrwocbct,cAT,cAT,592
0.219,0.1245,doG,735,-0.138
cat,-628,CAT,eztwinwway,bzahkbrxte
CAT,-744,ryqehemzqq,dOg,tukkfjggbj
cAt,fxrbywhyun,-509,520,-0.184
doG,-0.4255,nhwapwqqti,54,336
-475,0.3135,0.342,372,896
703,opsywhxtua,dOG,-0.0005,0.007
-131,doG,DOG,-0.367,0.313
