rcnvxcgwjl,nlhrhnnetz,ztxxwzjqol,ozmkoktcqy,yzgwqnthnf,PeT
caT,-0.3235,-496,caT,-0.3765,-0.1155
bcjnwphxub,987,0.354,0.1675,971,cAt
CaT,aepogmclxy,dog,wlkatnxmhm,DoG,dOG
wqmxntvfrl,892,0.256,920,oqbyqtxhyz,DOG
501,0.302,nupiimsrvo,-0.068,-0.4715,dOg
-0.1135,-0.0805,-0.05,csefnswttt,vuhvnkwxmv,xqolzvnhmx
qkxetuqjmv,662,-0.075,750,0.4315,caT
-0.443,CAT,-0.1125,dOg,pvdcetirov,DoG
DOg,0.416,lagqsjbfzl,-0.4385,-0.2835,cat
0.4855,-667,-0.4875,0.103,Cat,CAt
dmqygkzirv,0.173,-630,505,depddtdxml,lrzglpprob
-928,abbtvaphfh,wkahwxjdwx,kswgnmvgox,opoaodqdrt,CaT
0.3345,xgjmefytvt,0.4555,34,-525,dog
-0.3215,Cat,0.209,0.4385,-464,caT
dOg,0.355,-0.405,ydxpfszgvr,50,cAT
0.131,DOg,cat,-10,0.403,956
-14,0.1185,cukxujehxz,596,Cat,dog
-329,795,0.4345,0.1185,Cat,-0.227
-833,-0.032,-0.417,ybgardezqu,-149,681
0.293,372,CAT,qrulmsmtsq,avwleisbzd,947
zoqclnxidc,dzyxlftgja,-0.416,0.345,ggcbfttuad,-347
429,0.14,804,-888,aeutlqrgfk,dOg
nrjfaycuyw,kwclqggqkx,dOG,-0.261,-0.0965,dOg
-952,-909,cAt,-0.321,khrpuknaxu,-355
0.3765,ewbwrzjocm,517,DOg,kbiwjopwnk,DOg
955,oklnzvzoxb,21,qdjdahipul,dhyfrgeqwt,636
0.424,dzfmgxqojc,Dog,cAT,540,0.2745
0.126,CAt,-0.133,0.382,rfooopsnbh,cAt
-341,-171,zojkaihrbr,-805,-66,uboywpbcra
0.214,183,0.19,dOG,-0.124,Dog
0.167,slgipebwra,-0.4715,0.3905,352,caT
0.045,DOg,-0.3225,0.246,-0.457,DoG
-0.3905,-393,0.2015,677,559,CAt
512,dog,-0.3165,0.0905,422,CAT
0.3905,-700,mnyehkowsg,Dog,0.41,-575
409,675,659,921,-340,dOg
dOg,DOg,-0.079,Cat,wkemysqrzj,CAT
qjvvfvtkql,0.43,901,qupopgmldc,ibhmxjytct,dOG
yszkdrbtmv,eghxolhhus,dnrxczcpfo,dOG,0.216,cat
-0.2195,643,dOG,-0.476,-384,dOg
dog,CAT,tobsqxofkl,CAt,fgizeejogv,dOG
udzfvollun,cAt,-0.462,-634,-617,dOg
331,901,0.0595,-796,tzmzcynmge,-0.038
englnttvxv,mkkvfhelfu,CAT,CaT,0.4055,cAt
-0.226,0.1215,-985,ykduxxqxip,DoG,doG
jgzeviiwzg,0.238,0.1745,DoG,enjuedfvdw,Cat
-421,-0.3885,jutngzihoy,982,407,DOG
0.4295,cAt,fmowyfhhdr,0.1065,DOg,cAt
hewjjwwxdj,-0.326,dOg,qbgiaydnla,-0.1015,0.188
cAt,0.171,-251,fkzkvponqv,-140,cAt
doG,caT,-0.0235,-0.422,CAt,-374
wlcnbetzyr,-889,DOG,Cat,ccjfaqqsnp,DOg
dog,0.449,ldjzhraiwj,cat,uruejehvds,dxbtbdkfdz
-638,938,0.305,0.1305,687,cAT
duopidvdgt,dog,-858,omgchoasze,-0.361,CAt
-722,egbngwpshe,jiyaugvswc,140,0.307,DOG
-0.3765,dOg,-236,mticutbmlu,640,cAT
935,hhncqutuwr,-3,0.037,DOg,doG
-918,652,0.276,lhgdmamfwj,ithjubpvjs,fnmeaygwdw
172,-0.1065,doG,-480,gwqsculdfv,CAt
643,-0.496,-669,0.061,-0.264,Dog
vpnmfefbwh,xvfugodime,zdwviihhgv,-0.2975,evhzetojgu,doG
0.426,-39,510,qduxhitnjs,mmqtyhcjda,dog
DOG,ydsucygier,0.1065,qgwhookimc,cAT,Cat
0.033,0.48,0.3265,0.0705,296,DOG
-0.2835,899,dOg,-0.456,DOg,CAT
907,0.324,335,722,130,dOG
-832,cat,-0.4565,aeotvzhrgj,iqgvwwxmrf,cAt
doG,-161,-189,-75,ccyqdrhlrj,dOg
Dog,sxhczynqzs,wjavombyyh,-329,-0.0235,Cat
0.3775,-599,-66,DOg,hvehrqbsfn,cAt
0.019,-55,indxlyabfa,0.0235,CaT,0.343
