vxdzhslvbv,sxghqqvirl,ormsiokatx,cyvuntgsaa,lcnhhonjxc,lkrsgbdcvo,peT
zsbqzwcqjs,-665,0.3535,778,0.121,965,doG
-0.248,639,0.089,iodflsnlpn,668,lagypyrzxm,dOG
-0.226,0.4085,dOG,exosmaconi,oefezuriho,DOg,doG
-373,amwhzukcij,-0.3535,-0.4695,-0.1395,-0.1015,DOG
-0.2765,Dog,865,-109,-448,0.4315,DOG
230,-0.008,0.153,cAt,elscfvatkp,0.412,dog
0.2445,hyczdymhsf,791,doG,-0.1675,0.0935,DoG
765,gngaoxnexu,-0.0955,ormmmkiuff,-0.098,448,cAT
0.037,-17,0.4445,0.421,jobgdeasal,cAT,cat
-0.1315,-0.2475,dalgarfrzc,Cat,cAt,-964,dOG
194,244,dog,Dog,0.437,-348,krpnccgath
miokkxfons,emgilgljqp,oeailkigyb,CAT,-0.1815,0.4765,nptnnhbtiw
-0.3995,cAT,0.124,fewljnrgdy,cogirhwxks,doG,dog
doG,-660,-582,0.429,-0.218,-161,dOg
emtppcbtah,0.208,-610,-0.485,-0.1195,gpwxluvtiu,760
0.424,-973,-939,-147,169,0.1885,cAT
sfusbojmjl,rdvxqqgasd,480,0.117,-0.4195,cat,doG
lgcrwxltyu,aszlbmdokk,701,fbwcamkieg,163,0.3245,mphnxoqhjs
-0.3315,esisldcodg,bfmpxncqnj,Cat,Dog,-272,zkhlwdloyi
ohilaziukc,0.105,jghuzfqiyq,-378,wnvzroroou,Cat,DOg
-757,0.247,pqytxppmfi,orumbylmqx,380,CAt,dOG
-552,cat,cat,-0.17,-0.2065,-0.0335,DOG
DoG,pnwlondjzt,doG,0.1675,-640,-106,cAt
-492,dog,ubdxzbryiv,977,304,0.415,657
dOG,DOg,CAT,tcuatxfbvi,522,-0.343,dOG
CaT,0.137,0.0,-280,186,-0.3265,dOg
kxsnjkefqd,DOG,-741,-976,zwhhpocgue,vwfxcmuqyr,hxyxagthan
doG,gebqmpwcwf,dOG,-0.2155,-152,-0.18,643
dOg,pfoudtbmhx,493,qgoxkfbyns,-0.096,0.094,-0.4595
-0.233,rfzrgvmmml,0.406,-0.0985,CaT,0.17,Dog
-0.2655,0.165,-364,Dog,pbhzmsdnwe,249,dOG
rxazukeglt,doG,931,-0.0675,-0.0595,424,DOg
0.2585,CaT,dOg,-340,-0.1335,0.148,-0.049
-0.4795,fghorgztgw,nhhkhdkkzn,DOG,lnwzhxldra,0.4055,bvuncnwftu
-0.4965,0.064,jmiivdagav,940,CaT,224,0.3895
wjyuuofdfe,903,0.24,wzbopblfxv,Cat,-868,DOg
-76,-742,-0.1345,887,37,0.2765,CaT
DOG,0.316,657,-0.0745,DoG,0.06,DoG
-611,-0.222,hruioxtlvm,469,754,760,caT
0.036,CAT,-783,181,tpfzhwfnfu,-668,awdebjsnnb
-193,cAt,vnziyecwma,-9,-37,qvgdowczkx,dog
CAT,zcrckrsjpp,0.2715,mfnnqydoin,zioclggyio,lnvnzlefpf,-0.4885
wsshcwqfjy,bcuezadjmk,evijyhbxwr,0.4925,caT,qfzkgopugi,caT
logcuwfvjt,ffmkrjbdyp,bqnugmyrtj,juoaqfevte,binfaskfpv,anbcthxnks,DOG
323,-0.495,esheiyobbd,vmgtzhmckl,dpjvllessg,-193,cAt
caT,ilaydsymjq,-0.177,-689,qhahxbjdja,429,DOg
0.3575,-0.3735,186,0.3435,0.2765,-0.14,caT
DoG,-0.353,-0.479,dgupiijvth,blyjdkqvzm,-0.4555,cAT
CAt,krcshfkxji,-696,DOg,doG,CaT,CaT
-0.005,-397,-467,abutmftetw,-0.482,dOG,dOg
CAT,tixhfrbcod,ezhnbjniva,-420,199,357,cAT
0.411,0.4345,nsyyundjyl,5,-649,yozyzybzkh,cAt
Cat,-0.0055,568,oyhwsglney,200,CAt,caT
cAt,dog,cAT,-693,0.066,0.3965,CAt
-464,yzqqbnefai,qqgyghwozn,czbtntscmy,dOg,cAt,cjjaubmoob
0.312,0.499,mtnzqhaugf,lrbthotoke,nusxufsows,CAt,73
-962,-968,tpzjpiphqy,-0.125,139,0.045,cAt
-0.3125,DoG,343,CAT,thomwvslbw,-0.3005,DoG
fgoasiiexx,hoyazeqstw,bgqsarkdcl,fesfqzcgcp,dllrkhljex,cAt,caT
exgtkocowm,vtqcowliig,ussviaboxm,cat,-0.339,DOg,dOg
ynoqvtzqva,900,ljtzlrqmqt,ccoqrcytxm,0.444,cat,0.3985
0.394,dOg,-0.305,-323,-279,cmoyyogyqy,CAt
613,Dog,-0.173,rhndixlydz,0.1215,oqmymfwopc,cat
