jtwbfyqblu,hyhkjizywd,njkkhsecnc,zdpvkdxjab,PeT,gavubqgnzt
-0.163,0.136,0.3135,-671,doG,wqueoxnkss
0.229,nlovxpspqd,CAt,-0.1175,cAT,-0.0175
698,mgwufkzhpm,-861,iarbmxydph,cAT,0.246
-0.4455,-197,pyldmamlpz,DoG,bhewxlgsqc,-170
0.078,0.473,vbhrhzulbj,mqedajoclp,DOG,214
nnddtyicmq,914,cAT,0.4805,0.3345,729
cAT,0.0905,qczwmonydt,0.271,Dog,-0.144
hbhtwsrpjq,558,qlkcppktyi,-0.1625,CaT,-634
0.4395,952,CAT,-76,Dog,499
ordrjwdndu,ilffovzndh,-0.2695,0.195,cat,0.445
-0.418,uwidlyjwcc,-0.1105,zjokqolmtj,Dog,736
0.459,gwjmhqixro,-33,-471,Cat,-486
DoG,0.4985,555,DOG,dog,cat
205,ewnwpfdgjt,zwkwbbesia,835,CAt,0.36
-944,0.2655,ejvdupjbne,-0.4885,doG,-0.276
CaT,48,vwzotezusc,477,Dog,zfaxgcbxob
xbonpfedej,Cat,npwntwbmrg,CaT,CAt,linstgffyh
-937,DOG,-0.465,0.407,-742,zfpzfptcgq
901,ygjtacefjq,0.2115,Cat,doG,793
caT,951,-857,vxlitnhjez,943,tbjjyqcdsj
-0.1555,-0.4625,ancpovgyff,juaztwpfus,CaT,0.2205
-0.427,cat,msvvqyjdgd,0.0855,dOg,-0.294
unwtsaiqfx,wnlodqgofv,0.3575,0.103,cAt,DOg
0.227,-355,647,-500,Dog,CAT
wrzonfnqfx,cAt,ckbennavig,Cat,DOg,zjajveyfhz
-0.381,-0.2375,0.2295,cvcnqpbwiy,-538,bnjhodbxro
0.126,aqphvqwtrh,-0.0135,0.475,DoG,-0.37
0.026,728,CaT,862,0.446,647
-129,0.484,wvnyotxexb,511,CAt,doG
vqxcaonjvj,-928,-0.3545,DoG,Dog,xdfumiwzjm
DOG,-0.4675,Dog,-0.118,-609,xdderdewej
802,-526,Cat,481,dOG,-329
dog,-683,-0.3215,0.024,CAT,139
jrzeiggjpn,-388,-0.1385,-77,0.4335,DOg
ztegmdxrzd,-0.012,0.0135,0.4545,cAt,-0.1685
dog,Cat,0.151,0.0445,zyjgmjernx,0.46
dOg,104,-0.2205,sfqzldcicq,Dog,Cat
rmrspmarvw,dog,caT,533,-561,0.0185
66,DOg,-811,0.282,cat,spbdqbehaj
827,DOG,0.352,0.184,DOG,lbvbotuhri
jvwpyhtnva,-0.3685,-337,pfbuoqanjb,cAT,-0.14
-0.4605,113,uhkpbxvkcf,CAt,doG,hfunioctek
cAt,Dog,ynxqhgfkbv,-0.4005,cAt,34
njucraraso,-119,0.0235,nmtfqvwhlr,DoG,cAT
CaT,Dog,0.187,vwjroradtl,cAT,yfspuwpord
rztutgedrd,-0.248,nfyggygmbr,pqyzmnnpot,dOG,-207
Dog,CAT,0.376,CaT,-0.1215,345
0.329,caT,DOg,-910,CAt,zdfmnlwwlm
cwixzmgvqg,0.4655,cAT,doG,DoG,wcvqlznsqg
-0.485,0.212,otmxgvkpag,-0.219,CAt,0.104
0.3695,bmgrqvopkk,-0.0855,0.0135,dog,0.3325
0.1875,-0.1375,aehtgcthyu,-0.025,DOG,-922
