lhxzcsxeko,vpjfwhchdr,rjvsltayue,ckfsmmbduw,iavoxcusgh
-0.172,0.256,dhtlmbwzkz,-535,yiabavnbzp
-0.2835,212,195,939,atsgukgcpp
546,0.31,0.3955,dog,ojpsbrseqv
-0.4205,dpfkylqvfx,455,395,-941
0.015,-177,cAT,mqbqqnmssy,cAt
CAt,pnzafcrafc,apzudyagpu,-438,cfkxocxvyk
-0.217,Cat,110,qizzxphwhw,dOg
kkdkjsspxf,-734,-0.1725,cAt,Cat
409,-545,fjvvdpidwa,chekptxpnf,zlycfpnmpn
0.2025,-0.365,-275,psqcfafajo,0.374
-0.247,oigxnavmqj,dOg,caT,CaT
142,CaT,-0.272,kgbhwrsssy,0.152
779,llqkyrbaso,dkamtwmune,cAT,968
jsidfmtyfq,-0.0125,ezpdnumtmm,DOg,-0.1145
eqhwbsxeyo,-731,-0.291,DOg,rwkeqczxcn
DOG,520,168,319,603
jppzqhubxw,lyyburmppb,-475,0.218,drkpkfrnvy
-0.1695,999,rbqsmdeidj,55,ywcpncfcyw
-52,yfiusxkdit,pwnvkshggk,208,588
syzstongsv,xfyxozrrbb,108,-221,0.2205
wczyuljrri,DOg,wbknnonyoa,cAt,-0.386
-0.1,991,zttvxexend,0.2865,doG
Dog,-0.344,gezllfkiqz,esvhxdxhtz,-647
-0.479,doG,272,-765,-682
-0.4595,quqaiqjiwv,cat,685,-0.47
DOG,ixqbrhdwjb,DOg,-763,0.214
cddkhmxsqx,0.188,464,-0.1745,cAT
CAt,-0.4155,0.474,gxpnwsbvsp,-0.491
-0.1405,-0.4195,-0.279,cat,-695
0.3905,obvoyoygtg,716,0.3035,-0.483
244,-0.039,541,abddjriavw,0
-0.233,0.373,0.3265,Dog,DOG
-0.4725,rzkgtqnblc,0.202,uwzdcwetvs,-0.0325
