qtjafccccv,xluqqztcmq,dkjpgjurgh,stfclphatg,epnujdkfjn,wqxwkktkvt
CaT,cAt,cAT,CAT,DOg,ijihaldqbo
-957,caT,-721,oaooalbaru,760,dOG
CAt,rvcwcnyvqf,-0.136,aitgdgjxkq,-0.247,augfhajklr
bsiaspwkir,virzvkcxho,gbvewwwseu,-307,-0.3095,doG
-0.0425,602,0.091,Dog,DoG,-0.1885
0.2665,0.001,dOg,DOg,-0.275,otirnqrdcx
-0.4935,cAT,-0.174,-0.0475,543,-0.0525
0.283,wjcegkhahs,Cat,-569,-552,0.233
brhbamshpg,Dog,eiezsxhpqp,-0.3555,891,-0.431
rbqhtqoalo,ggbyrkarky,dOG,458,448,62
-635,-0.087,cmokdhiqzc,-0.3685,rulrpbqfoa,-0.0235
DOg,-0.357,dOG,0.057,686,-621
0.365,-127,-229,cAt,0.143,-399
xmeupzdxkj,-0.35,0.267,zsfnrftcjd,-0.1635,763
-0.33,0.228,-414,ldmluojhlr,704,qkebvusygj
799,-0.1195,-505,rvvahsfpkt,129,650
bxzxxysxrb,0.339,sqsutebfpp,-0.1505,ehbnfgfvuy,gokguncmqh
915,-0.2475,539,-0.125,215,xykfvmwupy
-0.013,642,0.1115,aqphshdhmw,zfpzoffrpk,DOG
-103,cAt,-376,349,-0.294,vxrwnoveyr
doG,-0.368,527,-0.36,ueotjfpnjp,734
199,80,memwxciwtv,-413,0.1625,-456
-0.173,0.0965,kszlwbixbs,926,-0.4255,912
-816,dOG,-673,mkjxazinix,-0.4595,0.129
upxfdxrmfo,-216,0.187,bgtumrcuhz,966,0.188
DOg,cejmeiwtmp,CAT,0.1735,0.4205,CaT
354,tmjmwjhhgg,209,yeciofmprp,hdueepubnq,0.072
0.3475,-199,0.141,CAT,-0.2995,67
uhewnjxwvy,CAt,yadxddakby,0.3225,-0.0295,-772
gnfspdllyv,dog,-115,prgobsxkhn,-148,-883
jmowhgtmgj,-448,xfzibvhkmu,-0.3515,0.0215,0.0645
lqgjrqoqzf,natyybvjuj,-0.324,ppnfwbsktn,mgpmwaulqi,lqqbnlvwap
0.2315,521,caT,DoG,598,ityoymlyzn
74,DOg,-0.263,-0.3905,ucauplkcbv,-0.222
0.322,0.3755,805,dog,224,uasgjtwoga
