kfwlzeraff,ejxyujufdh,oemgxixmts,ttntgoicgy
471,0.313,-319,ogflbmsesr
-0.471,mtsnewjbke,gsqhtxvykg,iuadivahmg
mbpdhtyrwj,-0.2545,-693,fmghpvbflc
-584,998,354,jkvoxeambe
-692,-419,fxehexsknx,-0.208
0.2375,okgczfkdel,oevdjgwjlu,963
0.228,orqlrziear,402,Dog
-804,685,uyjnpmhcxe,731
-0.432,394,0.009,dOG
622,0.3365,599,bnxmeiythc
-744,-178,346,-41
axundsphtv,-0.2345,mfyocjrgkc,oznbzoysws
DOG,603,-0.057,-0.0115
-596,0.401,fcymmctezd,cAT
-0.473,-855,-552,-860
tfhvjghpzd,Dog,mfhoxlmbyq,CAT
-16,0.179,mqctagpyxd,647
690,331,0.483,huddkxkion
-665,-689,cAT,Cat
kbirgcmhfz,-902,trrxjiilfj,-413
jizumirgcs,ecqtcevyuy,CAt,cAT
mkeoniynvj,0.37,544,-0.057
-384,gwqfdqzfeo,321,0.4255
-0.088,480,Cat,0.301
0.188,zeykqeumkr,CAt,-346
cat,wwkiurngti,ustlgvlcod,768
-329,-749,-534,nxmjqvwqer
-0.3295,blmoyhiksj,0.1175,fkglpndolv
238,nnivgqwjpm,-545,exdpuiytlj
-494,cAT,641,ceyitjkzlq
185,346,lkwzubiark,wqujcasgll
0.3705,dcilrubflf,0.478,0.398
doG,tczkblmomk,709,-296
xynzoucgip,Dog,0.4865,-0.293
43,trfjwhqgej,bsioxppxug,usjhzzaybg
0.251,caT,sxjtawzvxn,-0.152
314,-549,DOG,652
zdufemdqci,CAt,-779,crlctxktif
35,racyqovhvt,dog,DOG
0.099,0.0945,ripjwdrxof,cqjsfavvpo
0.418,-0.048,zyokdxxisa,-935
vxhjarmazf,0.2965,doG,optycssndj
lwmocjrllz,465,dOG,977
397,CAT,uqavgvrujm,706
tvnkpekfsm,pceacdjzyr,755,yqgqgmdkli
cAt,kkplroyhwz,-0.4505,-0.0285
0.078,agacalabic,416,231
121,-262,oggxdnbajb,-0.1815
-0.033,caT,hfuguukkmu,DOG
Dog,htfsbzhvkb,-993,fkeimfthwz
-0.407,-882,92,-424
CAT,107,-240,-0.142
Dog,0.4425,aieisrboet,0.1095
0.4855,0.027,0.1315,slvpvjfnmw
-0.3935,-0.4395,-638,olcwbkwvlz
768,880,-381,rwacltgpnj
opekbdzlrl,-0.2375,932,sdzpeyvyoc
-0.269,-0.132,0.1695,194
-44,jxjuctykbv,rzxpvfaojh,167
CAT,-0.0775,0.4485,cat
0.328,jldpbhxjkm,tazapptmgk,183
-493,-882,zhepioongy,-0.3115
DOG,blknxqbxuf,-962,-907
