ddrononejj,ccjzcfvagr,pet,raedjghveg
cat,917,DOG,dog
jappxwqbgk,rlqznorxup,dOg,dlxtkmpwyd
igypzlbxjq,kwpekwsvgi,cAt,jnpksqrwnf
988,nakywpeutf,cAt,CAT
wvcsycgieu,jqrtigntzi,cajnplztkq,-0.3555
teruifxsvu,qdzgcgzcvf,CAt,icpakkllru
556,yfvyqcpqib,nwpsrtjzns,sjwfgkcmpg
mtnmlreaba,840,doG,gdcouwlwjy
-0.311,qgyvdmurny,dOg,963
843,-752,CAt,-0.3075
doG,-111,cAT,ujrruseyhy
677,tzssrqavtm,CaT,-0.132
cAt,0.4665,CAt,caT
866,0.371,Cat,-745
80,994,cAt,-348
0.352,-587,-466,tolvtvzhfa
CAt,0.271,dOG,vvkqhrynia
-355,hjsksgofnx,cat,-0.3005
0.1155,-641,DoG,-0.1605
osstdfrkdl,dog,doG,-0.259
0.4055,pibozhdwse,CAt,-0.312
lrgjwgvhjg,dog,zldpdwdfom,fzdmlhrwcg
-587,opsezbayiy,dOG,-23
-512,iqngkiwtwg,xrejrpoyzf,-812
CaT,Cat,CAT,875
